,german,french,Distances
938,stell,adjoint,0.0
939,geschenk,cadeau,0.16666666666666666
940,bar,bar,1.0
941,tasche,sac,0.5
942,gelesen,avait lu,0.0
943,gekauft,acheté,0.0
944,wussten,connaissait,0.3333333333333333
945,gestohlen,volé,0.16666666666666666
946,hunger,faim,0.0
947,leg,jambe,0.0
948,lügen,mensonge,0.2
949,beziehung,relation,0.2
950,ben,ben,1.0
951,verschwunden,disparu,0.1111111111111111
952,steh,supporter,0.3333333333333333
953,nächstes,suivant,0.14285714285714285
954,gearbeitet,travaillé,0.16666666666666666
955,preis,le prix,0.4
956,witz,plaisanter,0.16666666666666666
957,meinte,censé,0.25
958,liste,liste,1.0
959,geist,fantôme,0.2
960,neben,prochain,0.2
961,gesucht,cherché,0.3333333333333333
962,firma,compagnie,0.0
963,süße,douceur,0.0
964,rücken,mouvement,0.0
965,schrecklich,horrible,0.3333333333333333
966,letzter,dernière,0.2
967,verliebt,amoureux,0.2
968,öffnen,ouvrir,0.0
969,redet,pourparlers,0.14285714285714285
970,boot,bateau,1.0
971,seltsam,étrange,0.0
972,versteckt,caché,0.14285714285714285
973,fürchte,craindre,0.16666666666666666
974,verschwinde,s'en aller,0.0
975,erwischt,attrapé,0.0
976,verkauft,vendu,0.2
977,tante,tante,1.0
978,erwarten,attendre,0.0
979,pferd,cheval,0.0
980,wunder,merveille,0.0
981,sauer,fâché,0.0
982,vermutlich,prétendument,0.2222222222222222
983,näher,plus proche,0.125
984,major,majeur,1.0
985,jung,jeune,0.6666666666666666
986,majestät,majesté,0.6666666666666666
987,aussehen,voir,0.0
988,ans,à,0.0
989,de,fr,0.0
990,and,autre,0.0
991,links,la gauche,0.2
992,großes,gros,0.75
993,beschützen,protéger,0.0
994,geboren,née,0.0
995,erreichen,atteindre,0.0
996,punkt,indiquer,0.0
997,kindern,enfants,0.0
998,kirche,église,0.0
999,verraten,révéler,0.0
1000,selber,moi même,0.0
1001,befehl,commande,0.0
1002,colonel,colonel,1.0
1003,fährt,se déplace,0.0
1004,zieht,tire,0.0
1005,geburtstag,date de naissance,0.1
1006,haut,peau,0.0
1007,wette,pari,0.0
1008,reich,riche,1.0
1009,sekunde,deuxième,0.0
1010,fahre,conduire,0.25
1011,schwöre,jurer,0.16666666666666666
1012,geredet,a parlé,0.2
1013,james,james,1.0
1014,madame,madame,1.0
1015,eigene,posséder,0.0
1016,zeiten,fois,0.0
1017,traurig,triste,0.5
1018,anruf,appel,0.0
1019,nachrichten,messages,0.0
1020,frieden,paix,0.0
1021,karte,carte,0.6666666666666666
1022,güte,qualité,0.25
1023,diesmal,cette fois,0.0
1024,schade,dommage,0.0
1025,persönlich,personnellement,0.5
1026,kriege,obtenir,0.0
1027,stirbt,meurt,0.4
1028,bleibe,rester,0.0
1029,verändert,changements,0.125
1030,sonne,soleil,0.3333333333333333
1031,lieb,chère,0.0
1032,nämlich,à savoir,0.0
1033,letztes,dernière,0.0
1034,bekam,a obtenu,0.25
1035,ruft,appels,0.0
1036,professor,professeur,1.0
1037,gericht,rechercher,0.42857142857142855
1038,nase,nez,0.5
1039,ewig,éternel,0.0
1040,singen,chanter,0.2
1041,bank,banque,0.6666666666666666
1042,beschäftigt,employé,0.0
1043,computer,l'ordinateur,0.2857142857142857
1044,yeah,oui,0.0
1045,toten,tuer,0.3333333333333333
1046,weihnachten,noël,0.14285714285714285
1047,offensichtlich,apparemment,0.1
1048,naja,tant pis,0.16666666666666666
1049,henry,henri,0.75
1050,gefühle,sentiments,0.0
1051,fuß,le pied,0.0
1052,show,afficher,0.2
1053,überraschung,surprendre,0.1111111111111111
1054,geheimnis,secret,0.0
1055,fbi,fbi,1.0
1056,kontakt,contact,0.6
1057,gold,or,0.0
1058,drogen,drogues,0.75
1059,regierung,gouvernement,0.2857142857142857
1060,wein,vin,0.5
1061,kriegst,obtenir,0.0
1062,ermordet,assassiné,0.0
1063,fotos,photos,0.5
1064,entfernt,une façon,0.5
1065,geschlafen,dormi,0.0
1066,erledigen,prendre soin de,0.3
1067,ran,couru,0.0
1068,gegenüber,l'opposé de,0.0
1069,schlaf,dormir,0.0
1070,lust,désir,0.25
1071,wunderschön,très beau,0.1111111111111111
1072,witzig,drôle,0.0
1073,nick,hochement,0.16666666666666666
1074,zerstört,détruit,0.42857142857142855
1075,übrigens,d'ailleurs,0.16666666666666666
1076,willen,saké,0.0
1077,heim,domicile,0.25
1078,richtigen,droit,0.16666666666666666
1079,namens,appelé,0.0
1080,zeigt,indique,0.0
1081,geliebt,aimé,0.0
1082,gehören,appartenir,0.16666666666666666
1083,brachte,amené,0.0
1084,herrn,m,0.0
1085,blick,voir,0.0
1086,besuch,visite,0.25
1087,schlechte,mal,0.14285714285714285
1088,bewegen,mouvement,0.2
1089,haare,cheveu,0.3333333333333333
1090,antworten,réponse,0.0
1091,präsident,président,0.8571428571428571
1092,sagtest,a dit,0.2
1093,hoffnung,espoir,0.0
1094,stecken,mettre,0.2
1095,lebe,direct,0.0
1096,rechts,à droite,0.0
1097,interessant,intéressant,0.875
1098,entscheiden,décider,0.2857142857142857
1099,miteinander,point en commun,0.2
1100,meint,moyens,0.5
1101,liebst,aimer,0.0
1102,bleibst,rester,0.2
1103,kümmere,prenez soin de vous,0.0
1104,wohnen,résider,0.0
1105,weder,ni,0.0
1106,möglichkeit,occasion,0.125
1107,kaputt,cassé,0.0
1108,bekomme,obtenir,0.25
1109,flugzeug,avion,0.0
1110,vergangenheit,passé,0.0
1111,zweite,deuxième,0.0
1112,armee,armée,0.6666666666666666
1113,jim,jim,1.0
1114,tee,thé,0.3333333333333333
1115,entweder,soit,0.2
1116,weiss,blanc,0.0
1117,don,enfiler,0.0
1118,detective,détective,0.8333333333333334
1119,aufhalten,arrêt,0.2
1120,stellt,met,0.2
1121,verspreche,promettre,0.14285714285714285
1122,überrascht,surpris,0.25
1123,sauber,nettoyer,0.2
1124,hau,hau,1.0
1125,mark,marque,0.6666666666666666
1126,schlag,souffler,0.4
1127,sheriff,shérif,0.6
1128,untertitel,sous-titre,0.3333333333333333
1129,setzt,met,0.25
1130,frag,interroger,0.3333333333333333
1131,vaters,père,0.25
1132,nervös,nerveux,0.6
1133,gesellschaft,société,0.2222222222222222
1134,verstecken,cacher,0.14285714285714285
1135,schuldig,coupable,0.16666666666666666
1136,hals,cou,0.0
1137,schützen,protection,0.2857142857142857
1138,besuchen,visiter,0.2
1139,of,de,0.0
1140,passen,adapter,0.0
1141,überleben,survivre,0.16666666666666666
1142,erhalten,recevoir,0.2
1143,teilen,partager,0.2
1144,gebäude,imeuble,0.25
1145,schicksal,sort,0.14285714285714285
1146,zeichen,pancarte,0.2
1147,richter,juge,0.0
1148,besorgt,concerné,0.16666666666666666
1149,küche,cuisine,0.0
1150,lief,couru,0.0
1151,vergnügen,jouissance,0.14285714285714285
1152,wüsste,connaissait,0.5
1153,volk,personnes,0.0
1154,lhr,tu,0.0
1155,herausfinden,trouver,0.14285714285714285
1156,königin,reine,0.2
1157,soldaten,soldats,0.8
1158,feiern,célébrer,0.14285714285714285
1159,situation,situation,1.0
1160,lag,allonger,0.4
1161,gelassen,calmement,0.3333333333333333
1162,allerdings,en effet,0.0
1163,soweit,jusqu'à présent,0.16666666666666666
1164,gefahren,dangers,0.2
1165,verstand,entente,0.3333333333333333
1166,bord,planche,0.0
1167,schönes,belle,0.0
1168,jimmy,jimmy,1.0
1169,billy,gamelle,0.25
1170,angefangen,commencé,0.16666666666666666
1171,lee,lee,1.0
1172,fühlst,se sentir,0.0
1173,bob,bob,1.0
1174,mussten,devait,0.2
1175,rat,conseils,0.0
1176,worauf,quel,0.0
1177,gebeten,a demandé,0.16666666666666666
1178,tony,tony,1.0
1179,kamera,caméra,0.5
1180,achtung,danger,0.2
1181,lieutenant,lieutenant,1.0
1182,ganzes,ensemble,0.0
1183,schuhe,des chaussures,0.3333333333333333
1184,sarah,sara,0.6666666666666666
1185,glückwunsch,félicitation,0.2
1186,niemandem,personne,0.0
1187,gibst,donner,0.0
1188,statt,à la place de,0.0
1189,übernehmen,reprendre,0.2857142857142857
1190,gegend,région,0.25
1191,wald,forêt,0.0
1192,al,al,1.0
1193,la,la,1.0
1194,nimmst,prendre,0.0
1195,danny,dany,0.75
1196,erkennen,reconnaître,0.42857142857142855
1197,glas,verre,0.0
1198,falsche,mauvais,0.2
1199,verantwortlich,responsable,0.2
1200,jesus,jésus,0.75
1201,stöhnt,gémit,0.16666666666666666
1202,herein,dans,0.0
1203,kleid,robe,0.0
1204,zerstören,détruire,0.2857142857142857
1205,jawohl,oui monsieur,0.0
1206,london,londres,0.6
1207,gegessen,mangé,0.0
1208,abendessen,dîner,0.16666666666666666
1209,gesetz,droit,0.25
1210,gemeinsam,ensemble,0.2
1211,geholfen,aidé,0.0
1212,erster,première,0.4
1213,wohnt,réside,0.0
1214,schritt,marcher,0.3333333333333333
1215,guck,voir,0.0
1216,nahe,environs,0.2
1217,aussieht,regards,0.0
1218,beginnen,début,0.0
1219,dachten,pensait,0.2
1220,band,ruban,0.3333333333333333
1221,ungefähr,approximativement,0.0
1222,aufgabe,tâche,0.0
1223,neun,neuf,0.5
1224,furchtbar,terrible,0.2857142857142857
1225,drinnen,à l'intérieur,0.1111111111111111
1226,zuvor,avant de,0.0
1227,charles,charles,1.0
1228,freue,suis heureux,0.16666666666666666
1229,amerika,amérique,0.5
1230,übrig,laissé pour compte,0.08333333333333333
1231,spur,piste,0.0
1232,falschen,mauvais,0.16666666666666666
1233,sergeant,sergent,1.0
1234,melden,signaler,0.0
1235,helfe,aider,0.0
1236,werfen,jeter,0.0
1237,bill,facture,0.0
1238,haltet,tenir,0.0
1239,erinnert,rappeler,0.2
1240,hängt,bloque,0.0
1241,freude,plaisir,0.0
1242,ehemann,mari,0.25
1243,erschossen,tir,0.0
1244,verzeihen,pardon,0.4
1245,schwein,cochon,0.6
1246,uh,euh,1.0
1247,monster,monstre,1.0
1248,entschieden,décidé,0.2857142857142857
1249,mission,mission,1.0
1250,verdammten,zut,0.14285714285714285
1251,brauch,besoin,0.25
1252,gewusst,connaissait,0.5
1253,vorne,devant,0.25
1254,stopp,arrêt,0.0
1255,übel,mal,0.3333333333333333
1256,schlampe,salope,0.5
1257,schöner,plus beau,0.0
1258,adresse,adresse,1.0
1259,unsinn,absurdité,0.16666666666666666
1260,messer,couteau,0.0
1261,gesund,en bonne santé,0.2
1262,respekt,respect,0.8
1263,pro,par,1.0
1264,leisten,s'offrir,0.0
1265,davor,avant de,0.0
1266,richard,richard,1.0
1267,bedeuten,moyenne,0.25
1268,ball,balle,1.0
1269,mitnehmen,emmener,0.3333333333333333
1270,gespielt,joué,0.0
1271,to,à,0.0
1272,schwierigkeiten,des difficultés,0.18181818181818182
1273,hälfte,demi,0.0
1274,kannte,connaissait,0.5
1275,stehe,supporter,0.3333333333333333
1276,maria,marie,1.0
1277,planeten,planète,0.6
1278,schwanger,enceinte,0.2857142857142857
1279,gruppe,groupe,0.75
1280,anna,anne,1.0
1281,verhaftet,arrêté,0.3333333333333333
1282,deal,accord,0.0
1283,irgendwelche,n'importe quel,0.0
1284,händen,mains,0.2
1285,versteht,comprend,0.0
1286,drehen,tour,0.25
1287,eis,la glace,0.0
1288,danken,remercier,0.0
1289,erfolg,succès,0.0
1290,zufrieden,satisfait,0.0
1291,schließen,fermer,0.0
1292,besorgen,obtenir,0.2
1293,wochenende,fin de semaine,0.0
1294,worüber,à propos de quoi,0.1
1295,stimmen,voix,0.0
1296,nehmt,prendre,0.0
1297,martin,martin,1.0
1298,m,m,1.0
1299,witze,blagues,0.0
1300,beine,les jambes,0.14285714285714285
1301,verbrechen,la criminalité,0.1111111111111111
1302,bericht,rapport,0.2
1303,nachts,la nuit,0.2
1304,prinzessin,princesse,0.7142857142857143
1305,schmerz,la douleur,0.16666666666666666
1306,klingelt,anneaux,0.16666666666666666
1307,position,position,1.0
1308,echte,réel,0.0
1309,gleichen,même,0.0
1310,fernsehen,regarder la télévision,0.13333333333333333
1311,wünsche,vœux,0.0
1312,schließlich,après tout,0.0
1313,gefangen,attrapé,0.0
1314,schätzchen,bébé,0.0
1315,seh,voir,0.0
1316,schwierig,difficile,0.0
1317,angebot,offrir,0.0
1318,nah,proche,0.25
1319,jane,jeanne,0.6666666666666666
1320,gewartet,attendu,0.0
1321,kümmert,fait attention,0.125
1322,ring,bague,0.3333333333333333
1323,rennen,cours,0.0
1324,lied,chanson,0.0
1325,eier,des œufs,0.0
1326,sorry,pardon,0.25
1327,fantastisch,fantastique,0.625
1328,schaut,regards,0.0
1329,hielt,tenu,0.0
1330,falle,cas,0.0
1331,drink,boisson,0.0
1332,insel,île,0.3333333333333333
1333,dauern,dernière,0.6
1334,daher,par conséquent,0.0
1335,zufällig,par coïncidence,0.0
1336,dorf,village,0.0
1337,clark,clark,1.0
1338,bewegt,émotionnel,0.0
1339,mitten,au milieu,0.0
1340,bullen,flics,0.25
1341,feind,ennemi,0.3333333333333333
1342,einverstanden,je suis d'accord,0.09090909090909091
1343,neuer,nouvelles,0.2
1344,bauen,construire,0.16666666666666666
1345,trägt,porte,0.4
1346,hängen,pendre,0.2
1347,freunden,copains,0.2
1348,deren,à qui,0.0
1349,halb,demi,0.0
1350,verpasst,perdu,0.16666666666666666
1351,sprach,parlait,0.4
1352,leise,tranquillement,0.1111111111111111
1353,armen,pauvre,0.0
1354,wusstest,connaissait,0.3333333333333333
1355,fanden,trouvé,0.0
1356,unternehmen,entreprises,0.42857142857142855
1357,träume,rêves,0.0
1358,schläft,dort,0.14285714285714285
1359,kostet,frais,0.0
1360,spiele,jeux,0.0
1361,entlang,sur,0.0
1362,johnny,johnny,1.0
1363,versprechen,promettre,0.125
1364,tiere,animaux,0.0
1365,freiheit,liberté,0.2
1366,verdienen,gagner,0.2
1367,aha,ahah,0.5
1368,unterhalten,converser,0.14285714285714285
1369,eingeladen,invité,0.2
1370,schaden,dégâts,0.0
1371,genannt,appelé,0.0
1372,beenden,rompre,0.0
1373,ray,des rayons,0.2857142857142857
1374,geändert,modifié,0.16666666666666666
1375,thomas,thomas,1.0
1376,lächerlich,ridicule,0.25
1377,geschlagen,battu,0.0
1378,park,parc,0.6666666666666666
1379,schätzen,estimation,0.42857142857142855
1380,männern,hommes,0.0
1381,t,t,1.0
1382,beginnt,commence,0.2
1383,ehren,à l'honneur,0.25
1384,größte,le plus grand,0.1
1385,energie,énergie,0.75
1386,fleisch,chair,0.2
1387,besonderes,spécial,0.16666666666666666
1388,besteht,consiste,0.2
1389,reichen,passer,0.0
1390,robert,robert,1.0
1391,zeitung,un journal,0.16666666666666666
1392,worum,quel,0.0
1393,nachgedacht,pensait,0.125
1394,betrunken,ivre,0.16666666666666666
1395,sowas,comme ça,0.0
1396,patienten,les patients,0.5
1397,gespräch,conversation,0.14285714285714285
1398,leiden,souffrir,0.0
1399,taxi,taxi,1.0
1400,tötet,tue,0.25
1401,see,lac,0.0
1402,unterschied,différence,0.0
1403,wind,vent,0.3333333333333333
1404,singt,chante,0.25
1405,schreien,pousser un cri,0.2222222222222222
1406,daniel,daniel,1.0
1407,sahen,vu,0.0
1408,wand,mur,0.0
1409,bus,bus,1.0
1410,lhre,ton,0.0
1411,angriff,attaque,0.0
1412,verhalten,se comporter,0.125
1413,loch,trou,0.0
1414,interesse,intérêt,0.5
1415,treten,avancer d'un pas,0.18181818181818182
1416,quatsch,déchets,0.16666666666666666
1417,trifft,se rencontre,0.25
1418,polizist,officier de police,0.0
1419,blumen,fleur,0.25
1420,neuigkeiten,nouvelles,0.2
1421,bringst,apporter,0.0
1422,flasche,bouteille,0.0
1423,rief,a crié,0.25
1424,schuss,tir,0.0
1425,fassen,saisir,0.5
1426,meer,mer,1.0
1427,konntest,pourrait,0.16666666666666666
1428,schafft,crée,0.16666666666666666
1429,maschine,machine,0.8
1430,spreche,parler,0.4
1431,bein,jambe,0.0
1432,eddie,tourbillon,0.0
1433,bekommst,obtenir,0.16666666666666666
1434,verbringen,dépenser,0.14285714285714285
1435,bücher,livres,0.0
1436,blöd,idiot,0.0
1437,frühstück,petit-déjeuner,0.0
1438,tommy,tommy,1.0
1439,meter,mètre,0.75
1440,bilder,des photos,0.0
1441,aufpassen,regarder après,0.1
1442,claire,claire,1.0
1443,muß,aller à,0.0
1444,freuen,soyez heureux,0.14285714285714285
1445,engel,ange,0.6666666666666666
1446,offenbar,apparemment,0.0
1447,gelegenheit,occasion,0.16666666666666666
1448,fang,attraper,0.0
1449,lüge,mentir,0.0
1450,ohren,oreilles,0.0
1451,au,aie,
1452,angetan,fini,0.25
1453,beeil,dépêche toi,0.0
1454,brechen,pause,0.0
1455,brüder,frères,0.2
1456,zeitpunkt,temps,0.16666666666666666
1457,ecke,coin,0.5
1458,brücke,pont,0.0
1459,druck,pression,0.2
1460,mitgebracht,amené,0.125
1461,seufzt,soupirs,0.25
1462,date,rendez-vous,0.14285714285714285
1463,haufen,tas,0.0
1464,oma,mamie,0.5
1465,auftrag,mission,0.0
1466,leer,vide,0.0
1467,entkommen,échapper,0.0
1468,bobby,policier,0.0
1469,weißen,blanche,0.2
1470,lösung,la solution,0.3333333333333333
1471,wart,attendez,0.0
1472,pause,casser,0.25
1473,irre,fou,0.0
1474,gestellt,mis,0.16666666666666666
1475,keller,"sous-sol, cave",0.1111111111111111
1476,gebrochen,cassé,0.0
1477,weinen,cri,0.0
1478,nutzen,utiliser,0.0
1479,wünschen,souhaiter,0.14285714285714285
1480,fragt,demande,0.0
1481,maul,bouche,0.0
1482,verantwortung,responsabilité,0.1111111111111111
1483,schloss,château,0.3333333333333333
1484,hut,casquette,0.2
1485,lächeln,le sourire,0.16666666666666666
1486,ryan,ryan,1.0
1487,red,rouge,0.5
1488,grad,diplôme,0.0
1489,zweiten,deuxième,0.0
1490,hinaus,dehors,0.5
1491,mitkommen,venez,0.0
1492,vorhin,plus tôt,0.0
1493,fahrt,périple,0.2
1494,gemeint,censé,0.0
1495,ernsthaft,sérieuse,0.14285714285714285
1496,gebaut,construit,0.16666666666666666
1497,bombe,bombe,1.0
1498,hasst,déteste,0.4
1499,versteh,comprendre,0.14285714285714285
1500,kosten,frais,0.0
1501,zeige,afficher,0.0
1502,traf,rencontré,0.2857142857142857
1503,eigenes,posséder,0.16666666666666666
1504,haar,cheveu,0.3333333333333333
1505,fragte,a demandé,0.0
1506,jason,jason,1.0
1507,operation,opération,0.8
1508,befehle,commande,0.0
1509,schmerzen,des douleurs,0.14285714285714285
1510,erklärt,expliqué,0.16666666666666666
1511,steve,steve,1.0
1512,dach,"haut, toit",0.0
1513,folge,épisode,0.0
1514,gelaufen,couru,0.0
1515,schwarze,le noir,0.16666666666666666
1516,dankbar,reconnaissant,0.125
1517,gehirn,cerveau,0.25
1518,töte,tuer,0.3333333333333333
1519,mädels,les filles,0.2857142857142857
1520,mut,courage,0.0
1521,heilige,saint,0.0
1522,laura,laura,1.0
1523,tier,animal,0.0
1524,system,système,0.8333333333333334
1525,mannes,homme,0.0
1526,wahnsinn,folie,0.0
1527,nee,nan,0.5
1528,rose,rose,1.0
1529,club,club,1.0
1530,geschlossen,fermé,0.0
1531,hintern,bout,0.2
1532,is,est,0.5
1533,thema,thème,0.75
1534,fiel,abattre,0.0
1535,gehalten,tenu,0.4
1536,dorthin,là,0.0
1537,urlaub,vacance,0.0
1538,steig,monter,0.25
1539,vorwärts,vers l'avant,0.2222222222222222
1540,überprüfen,valider,0.125
1541,besseres,meilleur,0.2
1542,beweis,preuve,0.0
1543,baum,arbre,0.3333333333333333
1544,gebt,donner,0.0
1545,funktionieren,fonction,0.5714285714285714
1546,anscheinend,apparemment,0.14285714285714285
1547,lehrer,prof,0.25
1548,hoffen,espérer,0.0
1549,bessere,meilleur,0.25
1550,isst,mange,0.0
1551,nachmittag,après midi,0.0
1552,nem,nan,0.5
1553,risiko,risque,0.6666666666666666
1554,chuck,mandrin,0.0
1555,knast,prison,0.25
1556,entschuldigt,pardon,0.1111111111111111
1557,gilt,est applicable,0.1111111111111111
1558,held,héros,0.25
1559,daraus,à partir de cela,0.09090909090909091
1560,erstes,première,0.2
1561,fräulein,jeune femme,0.0
1562,rachel,rachel,1.0
1563,prima,génial,0.0
1564,brauchte,nécessaire,0.16666666666666666
1565,gewalt,la violence,0.16666666666666666
1566,dean,doyen,0.6666666666666666
1567,liebes,cher,0.0
1568,schaffst,fais-le,0.14285714285714285
1569,nachdenken,pense,0.14285714285714285
1570,tor,portail,0.25
1571,erfahrung,vivre,0.16666666666666666
1572,pläne,des plans,0.2857142857142857
1573,jagen,chasser,0.0
1574,katze,chat,0.0
1575,runde,tour,0.0
1576,deutsche,allemand,0.0
1577,schwanz,queue,0.0
1578,taten,a fait,0.0
1579,lord,seigneur,0.0
1580,dringend,instamment,0.14285714285714285
1581,commander,le commandant,0.5555555555555556
1582,großvater,grand-père,0.375
1583,sommer,été,0.0
1584,gezeigt,montré,0.0
1585,hinterlassen,abandonner,0.125
1586,gewissen,conscience,0.3333333333333333
1587,getrunken,ivre,0.16666666666666666
1588,wahre,réel,0.0
1589,luke,la trappe,0.16666666666666666
1590,kunden,clients,0.2
1591,kate,kate,1.0
1592,zeugen,procréer,0.0
1593,geplant,prévu,0.2
1594,amanda,amandine,0.75
1595,erreicht,atteint,0.2
1596,stören,déranger,0.16666666666666666
1597,stein,pierre,0.0
1598,atmen,respirer,0.0
1599,hose,des pantalons,0.1111111111111111
1600,weiße,blanche,0.0
1601,sprichst,parler,0.2857142857142857
1602,größer,plus grand,0.125
1603,schickt,envoie,0.0
1604,city,ville,0.0
1605,prinz,prince,0.75
1606,behandelt,traité,0.0
1607,tote,morte,0.3333333333333333
1608,überlegen,pense,0.0
1609,karten,cartes,0.5
1610,it,ce,0.0
1611,d,c'est à dire,0.1111111111111111
1612,restaurant,restaurant,1.0
1613,roger,roger,1.0
1614,natur,la nature,0.6
1615,carter,charretier,0.6666666666666666
1616,emily,emilie,0.6666666666666666
1617,mami,maman,0.6666666666666666
1618,verschwindet,disparaît,0.2222222222222222
1619,lautet,lit,0.6666666666666666
1620,streit,dispute,0.25
1621,küssen,embrasser,0.3333333333333333
1622,sprich,parler,0.4
1623,längst,il y a longtemps,0.25
1624,fängt,attrape,0.0
1625,drüber,plus de,0.0
1626,gingen,est allé,0.0
1627,erlaubt,permis,0.0
1628,einzigen,célibataire,0.0
1629,bad,bain,0.5
1630,schmeckt,goûts,0.0
1631,kugel,balle,0.3333333333333333
1632,normalerweise,d'habitude,0.0
1633,schwarzen,le noir,0.14285714285714285
1634,rauf,en haut,0.0
1635,flug,voyage en avion,0.125
1636,beruhigen,calmes,0.0
1637,walter,walter,1.0
1638,halbe,demi,0.0
1639,dan,dan,1.0
1640,geschieht,arrive,0.0
1641,entdeckt,découvert,0.16666666666666666
1642,morgens,du matin,0.0
1643,schlechter,pire,0.125
1644,vollkommen,totalement,0.2857142857142857
1645,gelogen,menti,0.0
1646,verfolgt,suivi,0.0
1647,college,collège,0.8
1648,weiteren,plus loin,0.16666666666666666
1649,chris,chris,1.0
1650,louis,louis,1.0
1651,eh,euh,1.0
1652,schwert,épée,0.0
1653,hunde,chiens,0.5
1654,steigen,monter,0.0
1655,verdammter,zut,0.14285714285714285
1656,dürfte,devrait,0.6
1657,riecht,sent,0.25
1658,labor,laboratoire,0.6
1659,bat,a demandé,0.0
1660,tim,tim,1.0
1661,arthur,arthur,1.0
1662,mindestens,au moins,0.2857142857142857
1663,fisch,poisson,0.25
1664,füße,pieds,0.0
1665,stehst,supporter,0.3333333333333333
1666,erschießen,tirer,0.0
1667,kuchen,gâteau,0.0
1668,versuchte,a essayé,0.16666666666666666
1669,zustand,statut,0.4
1670,wunsch,souhaiter,0.0
1671,gäste,invités,0.0
1672,erwähnt,mentionné,0.16666666666666666
1673,farbe,couleur,0.0
1674,van,van,1.0
1675,zufall,hasard,0.0
1676,garten,jardin,0.5
1677,junger,plus jeune,0.0
1678,autos,voitures,0.5
1679,abgesehen,excepté,0.0
1680,fair,équitable,0.0
1681,vertraut,de confiance,0.0
1682,koffer,valise,0.0
1683,hieß,a été appelé,0.0
1684,kurs,cours,0.6666666666666666
1685,wirkt,œuvres,0.0
1686,idioten,idiots,0.6666666666666666
1687,netter,plus gentil,0.125
1688,seitdem,puisque,0.0
1689,angegriffen,attaqué,0.0
1690,geschichten,histoires,0.125
1691,wahnsinnig,fou,0.0
1692,ähnlich,similaire,0.16666666666666666
1693,lily,lis,0.3333333333333333
1694,aufgeben,abandonner,0.16666666666666666
1695,england,angleterre,0.5
1696,entführt,kidnappé,0.0
1697,ms.,m / s.,0.5
1698,mistkerl,bâtard,0.3333333333333333
1699,ner,ner,1.0
1700,geschossen,tir,0.0
1701,lager,entrepôt,0.16666666666666666
1702,besprechen,discuter,0.2857142857142857
1703,reihe,ligne,0.0
1704,polizisten,officiers de police,0.09090909090909091
1705,vogel,oiseau,0.0
1706,legt,pose,0.0
1707,strand,plage,0.0
1708,amerikaner,américain,0.4
1709,schwarz,le noir,0.16666666666666666
1710,fern,télécommande,0.1111111111111111
1711,fick,merde,0.0
1712,scherz,plaisanter,0.16666666666666666
1713,san,san,1.0
1714,erzählte,raconté,0.16666666666666666
1715,wichser,branleur,0.2
1716,jake,jacques,0.25
1717,langweilig,ennuyeuse,0.16666666666666666
1718,womit,par lequel,0.0
1719,geschäfte,entreprises,0.0
1720,my,ma,0.5
1721,kapiert,j'ai compris,0.25
1722,nachher,plus tard,0.14285714285714285
1723,verlangt,obligatoire,0.3333333333333333
1724,schlägt,beats,0.0
1725,überzeugt,convaincu,0.0
1726,irgendjemand,quelqu'un,0.125
1727,rot,rouge,0.5
1728,soldat,soldat,1.0
1729,vorbereitet,préparé,0.16666666666666666
1730,geschah,passé,0.2
1731,reisen,voyager,0.0
1732,termin,rencontre,0.16666666666666666
1733,gang,équipement,0.16666666666666666
1734,stehlen,voler,0.2
1735,rechte,droit,0.25
1736,rache,vengeance,0.0
1737,bemerkt,remarqué,0.4
1738,frankreich,france,0.5714285714285714
1739,stört,dérange,0.0
1740,radio,radio,1.0
1741,beruhige,calmer,0.0
1742,pferde,les chevaux,0.0
1743,vertrag,contrat,0.4
1744,arbeitest,travailler,0.16666666666666666
1745,dienst,service,0.0
1746,zählt,compte,0.2
1747,fragst,interroger,0.16666666666666666
1748,wesen,étant,0.25
1749,bürgermeister,maire,0.2222222222222222
1750,emma,emma,1.0
1751,fluss,rivière,0.0
1752,woran,sur quoi,0.25
1753,geblieben,resté,0.0
1754,durcheinander,confus,0.25
1755,me,moi,1.0
1756,ted,ted,1.0
1757,nette,agréable,0.0
1758,test,test,1.0
1759,mister,monsieur,0.5
1760,dadurch,ainsi,0.0
1761,direktor,directeur,0.8
1762,wichtiger,plus important,0.1
1763,kevin,kévin,0.75
1764,scott,scott,1.0
1765,karriere,carrière,0.6
1766,akte,dossier,0.0
1767,erinnerung,mémoire,0.16666666666666666
1768,großmutter,grand-mère,0.375
1769,erzähle,raconter,0.2
1770,lösen,résoudre,0.2
1771,bravo,bravo,1.0
1772,griff,gérer,0.25
1773,verfolgen,poursuivre,0.16666666666666666
1774,zweifel,doute,0.0
1775,such,chercher,0.3333333333333333
1776,sprache,langue,0.0
1777,nerven,ennuyer,0.25
1778,officer,officiers,0.8
1779,andy,andy,1.0
1780,langer,plus long,0.2857142857142857
1781,ziehe,tirer,0.0
1782,entlassen,feu,0.0
1783,zweimal,deux fois,0.0
1784,abholen,recueillir,0.2
1785,washington,washington,1.0
1786,kollegen,collègues,0.5
1787,doc,docteur,0.5
1788,fass,baril,0.0
1789,szene,scène,0.5
1790,robin,rouge-gorge,0.16666666666666666
1791,scheinen,semble être,0.125
1792,bösen,mauvais,0.25
1793,schaffe,faire en sorte,0.0
