,english,german,Distances
981,everywhere,"überall, überallhin, allerorts",0.13636363636363635
982,listening,hören,0.16666666666666666
983,knock,klopfen,0.2
984,escape,fliehen,0.0
985,cheers,prost,0.25
986,aah,äh,0.5
987,bother,sich kümmern,0.2
988,er,äh,0.0
989,address,die anschrift,0.2222222222222222
990,foot,fuß,0.5
991,yo,ja,0.0
992,moon,mond,0.6666666666666666
993,turns,wendet sich,0.125
994,mate,kamerad,0.25
995,drinking,trinken,0.6666666666666666
996,grand,großartig,0.3333333333333333
997,worst,schlechteste,0.2222222222222222
998,match,passen,0.0
999,nervous,nervös,0.8
