,german,spanish,Distances
940,bar,bar,1.0
941,tasche,bolsa,0.0
942,gelesen,ha leído,0.2
943,gekauft,comprado,0.0
944,wussten,supo,0.2
945,gestohlen,robado,0.0
946,hunger,hambre,0.5
947,leg,pierna,0.0
948,lügen,mintiendo,0.2
949,beziehung,relación,0.0
950,ben,ben,1.0
951,verschwunden,desaparecido,0.2222222222222222
952,steh,pararse,0.0
953,nächstes,siguiente,0.14285714285714285
954,gearbeitet,trabajó,0.4
955,preis,precio,0.6666666666666666
956,witz,broma,0.0
957,meinte,quiso decir,0.0
958,liste,lista,1.0
959,geist,fantasma,0.2
960,neben,próximo,0.0
961,gesucht,buscado,0.4
962,firma,empresa,0.25
963,süße,dulzura,0.0
964,rücken,muevete,0.0
965,schrecklich,terrible,0.2222222222222222
966,letzter,ultimo,0.4
967,verliebt,amoroso,0.2
968,öffnen,abrir,0.0
969,redet,negociaciones,0.0
970,boot,barco,0.3333333333333333
971,seltsam,extraño,0.2
972,versteckt,oculto,0.2857142857142857
973,fürchte,miedo,0.0
974,verschwinde,vete,0.125
975,erwischt,capturado,0.0
976,verkauft,vendido,0.2
977,tante,tía,0.3333333333333333
978,erwarten,suponer,0.0
979,pferd,caballo,0.0
980,wunder,preguntarse,0.2857142857142857
981,sauer,enfadado,0.0
982,vermutlich,presuntamente,0.25
983,näher,cerca,0.0
984,major,importante,0.3333333333333333
985,jung,joven,0.3333333333333333
986,majestät,majestad,0.6666666666666666
987,aussehen,mira,0.0
988,ans,a,0.0
989,de,es,0.0
990,and,otro,0.0
991,links,izquierda,0.0
992,großes,grande,0.5
993,beschützen,proteger,0.125
994,geboren,nacido,0.0
995,erreichen,alcanzar,0.0
996,punkt,punto,0.75
997,kindern,niños,0.2
998,kirche,iglesia,0.0
999,verraten,revelar,0.2
1000,selber,mí mismo,0.0
1001,befehl,dominio,0.0
1002,colonel,coronel,0.75
1003,fährt,se mueve,0.0
1004,zieht,tira,0.0
1005,geburtstag,fecha de nacimiento,0.0
1006,haut,piel,0.0
1007,wette,apuesta,0.3333333333333333
1008,reich,rico,0.6666666666666666
1009,sekunde,segundo,0.75
1010,fahre,conducir,0.2
1011,schwöre,jurar,0.16666666666666666
1012,geredet,habló,0.0
1013,james,james,1.0
1014,madame,señora,0.0
1015,eigene,propio,0.0
1016,zeiten,veces,0.0
1017,traurig,triste,0.5
1018,anruf,llamar,0.0
1019,nachrichten,mensajes,0.0
1020,frieden,paz,0.0
1021,karte,mapa,0.0
1022,güte,calidad,0.0
1023,diesmal,esta vez,0.0
1024,schade,una pena,0.0
1025,persönlich,personalmente,0.5
1026,kriege,obtener,0.0
1027,stirbt,muere,0.2
1028,bleibe,quédate,0.0
1029,verändert,cambios,0.0
1030,sonne,sol,0.3333333333333333
1031,lieb,estimado,0.0
1032,nämlich,a saber,0.0
1033,letztes,ultimo,0.4
1034,bekam,obtuvo,0.3333333333333333
1035,ruft,llamadas,0.0
1036,professor,profesor,0.8333333333333334
1037,gericht,tribunal,0.2
1038,nase,nariz,0.3333333333333333
1039,ewig,eterno,0.0
1040,singen,cantar,0.25
1041,bank,banco,0.6666666666666666
1042,beschäftigt,empleado,0.0
1043,computer,computadora,0.8333333333333334
1044,yeah,sí,0.0
1045,toten,matar,0.3333333333333333
1046,weihnachten,navidad,0.14285714285714285
1047,offensichtlich,aparentemente,0.2
1048,naja,oh bien,0.0
1049,henry,enrique,0.5
1050,gefühle,sentimientos,0.0
1051,fuß,pie,0.0
1052,show,mostrar,0.2
1053,überraschung,sorpresa,0.2222222222222222
1054,geheimnis,secreto,0.0
1055,fbi,fbi,1.0
1056,kontakt,contacto,0.6
1057,gold,oro,0.0
1058,drogen,drogas,0.75
1059,regierung,gobierno,0.4
1060,wein,vino,0.5
1061,kriegst,obtener,0.0
1062,ermordet,asesinado,0.2
1063,fotos,fotos,1.0
1064,entfernt,lejos,0.0
1065,geschlafen,dormido,0.0
1066,erledigen,cuidar de,0.0
1067,ran,corrió,0.25
1068,gegenüber,opuesto a,0.0
1069,schlaf,dormir,0.0
1070,lust,deseo,0.3333333333333333
1071,wunderschön,muy hermoso,0.0
1072,witzig,gracioso,0.0
1073,nick,asentir,0.25
1074,zerstört,destruido,0.42857142857142855
1075,übrigens,de paso,0.16666666666666666
1076,willen,motivo,0.0
1077,heim,hogar,0.3333333333333333
1078,richtigen,correcto,0.16666666666666666
1079,namens,llamó,0.0
1080,zeigt,indica,0.0
1081,geliebt,amado,0.0
1082,gehören,pertenecer,0.0
1083,brachte,trajo,0.2
1084,herrn,señor,0.25
1085,blick,vista,0.0
1086,besuch,visitar,0.25
1087,schlechte,malo,0.14285714285714285
1088,bewegen,muevete,0.0
1089,haare,pelo,0.0
1090,antworten,respuesta,0.16666666666666666
1091,präsident,presidente,0.8571428571428571
1092,sagtest,dijo,0.0
1093,hoffnung,esperar,0.0
1094,stecken,poner,0.0
1095,lebe,en vivo,0.0
1096,rechts,a la derecha,0.14285714285714285
1097,interessant,interesante,0.8571428571428571
1098,entscheiden,decidir,0.2857142857142857
1099,miteinander,comunalidad,0.3333333333333333
1100,meint,medio,0.3333333333333333
1101,liebst,amor,0.0
1102,bleibst,quédate,0.2
1103,kümmere,cuídate,0.0
1104,wohnen,residir,0.0
1105,weder,ninguno de los dos,0.08333333333333333
1106,möglichkeit,oportunidad,0.0
1107,kaputt,roto,0.25
1108,bekomme,obtener,0.25
1109,flugzeug,avión,0.0
1110,vergangenheit,pasado,0.0
1111,zweite,segundo,0.0
1112,armee,ejército,0.2
1113,jim,jim,1.0
1114,tee,té,0.5
1115,entweder,o,0.0
1116,weiss,blanco,0.0
1117,don,don,1.0
1118,detective,detective,1.0
1119,aufhalten,deténgase,0.0
1120,stellt,pone,0.0
1121,verspreche,promesa,0.2857142857142857
1122,überrascht,sorprendido,0.125
1123,sauber,limpio,0.0
1124,hau,hau,1.0
1125,mark,marcos,0.5
1126,schlag,explotar,0.0
1127,sheriff,alguacil,0.0
1128,untertitel,subtitular,0.3333333333333333
1129,setzt,pone,0.0
1130,frag,pedir,0.0
1131,vaters,padre,0.25
1132,nervös,nervioso,0.8
1133,gesellschaft,sociedad,0.2222222222222222
1134,verstecken,ocultar,0.14285714285714285
1135,schuldig,culpable,0.16666666666666666
1136,hals,cuello,0.3333333333333333
1137,schützen,proteccion,0.14285714285714285
1138,besuchen,visitar,0.2
1139,of,de,0.0
1140,passen,adaptar,0.0
1141,überleben,para sobrevivir,0.2222222222222222
1142,erhalten,recibir,0.2
1143,teilen,cuota,0.0
1144,gebäude,edificio,0.0
1145,schicksal,destino,0.0
1146,zeichen,señal,0.0
1147,richter,juez,0.0
1148,besorgt,preocupado,0.0
1149,küche,cocina,0.25
1150,lief,corrió,0.0
1151,vergnügen,disfrute,0.0
1152,wüsste,supo,0.2
1153,volk,gente,0.0
1154,lhr,tú,0.0
1155,herausfinden,descubrir,0.14285714285714285
1156,königin,reina,0.2
1157,soldaten,soldados,0.6
1158,feiern,celebrar,0.2
1159,situation,situación,0.6
1160,lag,poner,0.0
1161,gelassen,tranquilamente,0.125
1162,allerdings,por cierto,0.14285714285714285
1163,soweit,hasta aquí,0.16666666666666666
1164,gefahren,riesgos,0.0
1165,verstand,comprensión,0.25
1166,bord,junta,0.0
1167,schönes,hermoso,0.3333333333333333
1168,jimmy,palanqueta,0.0
1169,billy,porra,0.0
1170,angefangen,comenzado,0.16666666666666666
1171,lee,sotavento,0.0
1172,fühlst,sentir,0.0
1173,bob,beto,0.5
1174,mussten,tuve que,0.0
1175,rat,consejo,0.0
1176,worauf,qué,0.0
1177,gebeten,preguntó,0.3333333333333333
1178,tony,tony,1.0
1179,kamera,cámara,0.5
1180,achtung,peligro,0.0
1181,lieutenant,teniente,0.8
1182,ganzes,entero,0.25
1183,schuhe,zapatos,0.0
1184,sarah,sara,0.6666666666666666
1185,glückwunsch,felicidades,0.3
1186,niemandem,nadie,0.4
1187,gibst,dar,0.0
1188,statt,en vez de,0.0
1189,übernehmen,tomar el control,0.18181818181818182
1190,gegend,área,0.0
1191,wald,bosque,0.0
1192,al,alabama,0.3333333333333333
1193,la,la,1.0
1194,nimmst,tomar,0.2
1195,danny,dany,0.75
1196,erkennen,reconocer,0.4
1197,glas,vidrio,0.0
1198,falsche,equivocado,0.2
1199,verantwortlich,responsable,0.2
1200,jesus,jesús,0.75
1201,stöhnt,gime,0.0
1202,herein,en,0.3333333333333333
1203,kleid,vestir,0.0
1204,zerstören,destruir,0.42857142857142855
1205,jawohl,"sí, señor",0.0
1206,london,londres,0.6
1207,gegessen,comido,0.0
1208,abendessen,cena,0.16666666666666666
1209,gesetz,ley,0.0
1210,gemeinsam,juntos,0.2
1211,geholfen,ayudó,0.0
1212,erster,primero,0.25
1213,wohnt,reside,0.0
1214,schritt,paso,0.0
1215,guck,mira,0.0
1216,nahe,vecindad,0.2
1217,aussieht,aspecto,0.5
1218,beginnen,comienzo,0.2
1219,dachten,pensamiento,0.16666666666666666
1220,band,cinta,0.3333333333333333
1221,ungefähr,aproximadamente,0.0
1222,aufgabe,tarea,0.0
1223,neun,nueve,0.5
1224,furchtbar,horrible,0.2857142857142857
1225,drinnen,en el interior,0.125
1226,zuvor,antes de,0.0
1227,charles,charles,1.0
1228,freue,estoy feliz,0.14285714285714285
1229,amerika,america,0.6666666666666666
1230,übrig,sobrante,0.4
1231,spur,pista,0.0
1232,falschen,equivocado,0.16666666666666666
1233,sergeant,sargento,1.0
1234,melden,reporte,0.0
1235,helfe,ayuda,0.0
1236,werfen,lanzar,0.0
1237,bill,factura,0.0
1238,haltet,mantener,0.2
1239,erinnert,recordar,0.2
1240,hängt,cuelga,0.2
1241,freude,placer,0.0
1242,ehemann,esposo,0.0
1243,erschossen,disparo,0.14285714285714285
1244,verzeihen,indulto,0.0
1245,schwein,cerdo,0.2
1246,uh,oh,1.0
1247,monster,monstruo,1.0
1248,entschieden,decidió,0.2857142857142857
1249,mission,misión,0.75
1250,verdammten,maldita sea,0.14285714285714285
1251,brauch,necesitar,0.0
1252,gewusst,supo,0.2
1253,vorne,al frente,0.3333333333333333
1254,stopp,deténgase,0.16666666666666666
1255,übel,malo,0.3333333333333333
1256,schlampe,puta,0.0
1257,schöner,más hermosa,0.25
1258,adresse,dirección,0.3333333333333333
1259,unsinn,disparates,0.16666666666666666
1260,messer,cuchillo,0.0
1261,gesund,saludable,0.2
1262,respekt,respeto,0.8
1263,pro,por,1.0
1264,leisten,solventar,0.3333333333333333
1265,davor,antes de,0.0
1266,richard,ricardo,0.8
1267,bedeuten,significar,0.0
1268,ball,pelota,0.3333333333333333
1269,mitnehmen,llevar,0.0
1270,gespielt,jugó,0.0
1271,to,a,0.0
1272,schwierigkeiten,dificultades,0.0
1273,hälfte,mitad,0.0
1274,kannte,supo,0.0
1275,stehe,pararse,0.0
1276,maria,maría,0.6666666666666666
1277,planeten,planeta,0.8
1278,schwanger,embarazada,0.0
1279,gruppe,grupo,0.75
1280,anna,ana,0.5
1281,verhaftet,detenido,0.0
1282,deal,acuerdo,0.0
1283,irgendwelche,ningún,0.125
1284,händen,manos,0.2
1285,versteht,entiende,0.16666666666666666
1286,drehen,giro,0.25
1287,eis,hielo,0.0
1288,danken,agradecer,0.0
1289,erfolg,éxito,0.0
1290,zufrieden,satisfecho,0.0
1291,schließen,cerrar,0.16666666666666666
1292,besorgen,obtener,0.2
1293,wochenende,fin de semana,0.0
1294,worüber,acerca de,0.2
1295,stimmen,voces,0.0
1296,nehmt,tomar,0.25
1297,martin,martín,0.8
1298,m,metro,0.3333333333333333
1299,witze,chistes,0.2
1300,beine,piernas,0.25
1301,verbrechen,delito,0.0
1302,bericht,reporte,0.4
1303,nachts,por la noche,0.125
1304,prinzessin,princesa,0.5714285714285714
1305,schmerz,dolor,0.16666666666666666
1306,klingelt,anillos,0.3333333333333333
1307,position,posición,0.6
1308,echte,real,0.0
1309,gleichen,mismo,0.0
1310,fernsehen,mirar televisión,0.3
1311,wünsche,deseos,0.16666666666666666
1312,schließlich,después de todo,0.1
1313,gefangen,capturado,0.0
1314,schätzchen,bebé,0.0
1315,seh,ver,0.0
1316,schwierig,difícil,0.0
1317,angebot,oferta,0.25
1318,nah,cerca,0.0
1319,jane,jane,1.0
1320,gewartet,esperado,0.2
1321,kümmert,cuida,0.0
1322,ring,anillo,0.0
1323,rennen,correr,0.0
1324,lied,canción,0.0
1325,eier,huevos,0.0
1326,sorry,perdón,0.2
1327,fantastisch,fantástico,0.625
1328,schaut,aspecto,0.5
1329,hielt,retenida,0.0
1330,falle,casos,0.0
1331,drink,beber,0.0
1332,insel,isla,0.6666666666666666
1333,dauern,ultimo,0.0
1334,daher,por eso,0.0
1335,zufällig,casualmente,0.0
1336,dorf,aldea,0.0
1337,clark,clark,1.0
1338,bewegt,emocional,0.0
1339,mitten,en el medio,0.0
1340,bullen,policías,0.2
1341,feind,enemigo,0.0
1342,einverstanden,estoy de acuerdo,0.0
1343,neuer,noticias,0.25
1344,bauen,para construir,0.1111111111111111
1345,trägt,lleva,0.0
1346,hängen,colgar,0.2
1347,freunden,amigos,0.0
1348,deren,cuyo,0.0
1349,halb,mitad,0.0
1350,verpasst,perdió,0.16666666666666666
1351,sprach,habló,0.0
1352,leise,en silencio,0.16666666666666666
1353,armen,pobre,0.0
1354,wusstest,supo,0.16666666666666666
1355,fanden,fundar,0.75
1356,unternehmen,compañías,0.0
1357,träume,sueños,0.0
1358,schläft,está durmiendo,0.1111111111111111
1359,kostet,costos,0.5
1360,spiele,juegos,0.0
1361,entlang,a lo largo de,0.25
1362,johnny,johnny,1.0
1363,versprechen,promesa,0.25
1364,tiere,animales,0.0
1365,freiheit,libertad,0.2
1366,verdienen,ganar,0.2
1367,aha,ajá,0.0
1368,unterhalten,conversar,0.14285714285714285
1369,eingeladen,invitado,0.4
1370,schaden,daño,0.2
1371,genannt,llamó,0.0
1372,beenden,disolver,0.0
1373,ray,rayos,0.6666666666666666
1374,geändert,cambió,0.0
1375,thomas,tomás,0.5
1376,lächerlich,ridículo,0.125
1377,geschlagen,vencido,0.14285714285714285
1378,park,parque,0.6666666666666666
1379,schätzen,estimar,0.2857142857142857
1380,männern,hombres,0.16666666666666666
1381,t,t,1.0
1382,beginnt,comienza,0.2
1383,ehren,al honor,0.2
1384,größte,más grande,0.125
1385,energie,energía,0.75
1386,fleisch,carne,0.0
1387,besonderes,especial,0.16666666666666666
1388,besteht,consiste,0.2
1389,reichen,pasar,0.0
1390,robert,roberto,1.0
1391,zeitung,periódico,0.0
1392,worum,qué,0.0
1393,nachgedacht,pensamiento,0.125
1394,betrunken,ebrio,0.3333333333333333
1395,sowas,como esto,0.2
1396,patienten,pacientes,0.6
1397,gespräch,conversación,0.25
1398,leiden,sufrir,0.0
1399,taxi,taxi,1.0
1400,tötet,mata,0.25
1401,see,lago,0.0
1402,unterschied,diferencia,0.2857142857142857
1403,wind,viento,0.3333333333333333
1404,singt,canta,0.5
1405,schreien,grito,0.2
1406,daniel,daniel,1.0
1407,sahen,sierra,0.3333333333333333
1408,wand,pared,0.3333333333333333
1409,bus,autobús,0.5
1410,lhre,su,0.0
1411,angriff,ataque,0.0
1412,verhalten,comportarse,0.14285714285714285
1413,loch,agujero,0.0
1414,interesse,interés,0.8
1415,treten,al paso,0.0
1416,quatsch,basura,0.2
1417,trifft,satisface,0.2
1418,polizist,oficial de policía,0.1
1419,blumen,flor,0.25
1420,neuigkeiten,noticias,0.2
1421,bringst,traer,0.16666666666666666
1422,flasche,botella,0.0
1423,rief,gritó,0.25
1424,schuss,disparo,0.0
1425,fassen,sujetar,0.0
1426,meer,mar,1.0
1427,konntest,pudo,0.0
1428,schafft,crea,0.16666666666666666
1429,maschine,máquina,0.4
1430,spreche,hablar,0.0
1431,bein,pierna,0.3333333333333333
1432,eddie,remolino,0.0
1433,bekommst,obtener,0.16666666666666666
1434,verbringen,gastar,0.14285714285714285
1435,bücher,libros,0.0
1436,blöd,tonto,0.0
1437,frühstück,desayuno,0.1111111111111111
1438,tommy,tommy,1.0
1439,meter,metro,1.0
1440,bilder,fotos,0.0
1441,aufpassen,cuidar después,0.1111111111111111
1442,claire,clara,1.0
1443,muß,tengo que,0.0
1444,freuen,ser feliz,0.16666666666666666
1445,engel,ángel,0.75
1446,offenbar,aparentemente,0.14285714285714285
1447,gelegenheit,oportunidad,0.16666666666666666
1448,fang,captura,0.0
1449,lüge,mentir,0.0
1450,ohren,orejas,0.0
1451,au,ay,0.0
1452,angetan,hecho,0.0
1453,beeil,apuro,0.0
1454,brechen,descanso,0.2
1455,brüder,hermanos,0.2
1456,zeitpunkt,tiempo,0.16666666666666666
1457,ecke,esquina,0.0
1458,brücke,puente,0.0
1459,druck,presión,0.2
1460,mitgebracht,trajo,0.25
1461,seufzt,suspiros,0.2
1462,date,fechas,0.0
1463,haufen,montón,0.2
1464,oma,abuelita,0.0
1465,auftrag,asignación,0.0
1466,leer,vacío,0.0
1467,entkommen,escapar,0.0
1468,bobby,poli,0.0
1469,weißen,blanco,0.25
1470,lösung,solución,0.2
1471,wart,espere,0.0
1472,pause,romper,0.25
1473,irre,loca,0.0
1474,gestellt,metido,0.16666666666666666
1475,keller,"sótano, bodega",0.0
1476,gebrochen,roto,0.16666666666666666
1477,weinen,llorar,0.0
1478,nutzen,usar,0.0
1479,wünschen,desear,0.14285714285714285
1480,fragt,pregunta,0.6
1481,maul,boca,0.0
1482,verantwortung,responsabilidad,0.0
1483,schloss,castillo,0.16666666666666666
1484,hut,gorra,0.0
1485,lächeln,sonreír,0.0
1486,ryan,ryan,1.0
1487,red,rojo,0.5
1488,grad,la licenciatura,0.0
1489,zweiten,segundo,0.0
1490,hinaus,afuera,0.0
1491,mitkommen,venir también,0.2222222222222222
1492,vorhin,más temprano,0.1111111111111111
1493,fahrt,viaje,0.0
1494,gemeint,quiso decir,0.0
1495,ernsthaft,serio,0.14285714285714285
1496,gebaut,construido,0.16666666666666666
1497,bombe,bomba,1.0
1498,hasst,odia,0.0
1499,versteh,comprender,0.14285714285714285
1500,kosten,costos,0.5
1501,zeige,mostrar,0.0
1502,traf,reunió,0.0
1503,eigenes,propio,0.0
1504,haar,pelo,0.0
1505,fragte,preguntó,0.5
1506,jason,jason,1.0
1507,operation,cirugía,0.25
1508,befehle,dominio,0.0
1509,schmerzen,esfuerzos,0.42857142857142855
1510,erklärt,explicado,0.16666666666666666
1511,steve,steve,1.0
1512,dach,"arriba, techo",0.25
1513,folge,episodio,0.0
1514,gelaufen,corrió,0.0
1515,schwarze,negro,0.16666666666666666
1516,dankbar,agradecido,0.0
1517,gehirn,cerebro,0.0
1518,töte,matar,0.0
1519,mädels,muchachas,0.3333333333333333
1520,mut,coraje,0.0
1521,heilige,santo,0.0
1522,laura,laura,1.0
1523,tier,animal,0.0
1524,system,sistema,0.8
1525,mannes,hombre,0.0
1526,wahnsinn,locura,0.0
1527,nee,no,1.0
1528,rose,rosa,1.0
1529,club,club,1.0
1530,geschlossen,cerrado,0.125
1531,hintern,extremo,0.4
1532,is,es,1.0
1533,thema,tema,0.6666666666666666
1534,fiel,cayó,0.0
1535,gehalten,retenida,0.2
1536,dorthin,allá,0.0
1537,urlaub,fiesta,0.0
1538,steig,subida,0.3333333333333333
1539,vorwärts,delantero,0.14285714285714285
1540,überprüfen,revisar,0.125
1541,besseres,mejor,0.2
1542,beweis,prueba,0.0
1543,baum,árbol,0.25
1544,gebt,dar,0.0
1545,funktionieren,función,0.42857142857142855
1546,anscheinend,aparentemente,0.14285714285714285
1547,lehrer,profesor,0.2
1548,hoffen,a la esperanza,0.125
1549,bessere,mejor,0.25
1550,isst,come,0.0
1551,nachmittag,tarde,0.14285714285714285
1552,nem,no,0.5
1553,risiko,riesgo,0.6666666666666666
1554,chuck,arrojar,0.0
1555,knast,celda,0.0
1556,entschuldigt,perdón,0.1111111111111111
1557,gilt,es aplicable,0.14285714285714285
1558,held,héroe,0.3333333333333333
1559,daraus,de eso,0.6666666666666666
1560,erstes,primero,0.0
1561,fräulein,mujer joven,0.2857142857142857
1562,rachel,raquel,0.5
1563,prima,estupendo,0.2
1564,brauchte,necesario,0.2
1565,gewalt,violencia,0.0
1566,dean,decano,0.6666666666666666
1567,liebes,querido,0.0
1568,schaffst,hazlo,0.14285714285714285
1569,nachdenken,pensar,0.14285714285714285
1570,tor,portón,0.2
1571,erfahrung,experiencia,0.3333333333333333
1572,pläne,planes,0.5
1573,jagen,a cazar,0.0
1574,katze,gato,0.3333333333333333
1575,runde,redondo,0.75
1576,deutsche,alemán,0.0
1577,schwanz,cola,0.16666666666666666
1578,taten,hizo,0.0
1579,lord,caballero,0.2
1580,dringend,urgentemente,0.2857142857142857
1581,commander,comandante,0.5
1582,großvater,abuelo,0.0
1583,sommer,el verano,0.2
1584,gezeigt,mostrado,0.0
1585,hinterlassen,dejar atrás,0.125
1586,gewissen,conciencia,0.0
1587,getrunken,ebrio,0.16666666666666666
1588,wahre,real,0.0
1589,luke,escotilla,0.2
1590,kunden,clientes,0.2
1591,kate,kate,1.0
1592,zeugen,procrear,0.0
1593,geplant,planificado,0.3333333333333333
1594,amanda,amanda,1.0
1595,erreicht,alcanzó,0.0
1596,stören,alterar,0.4
1597,stein,piedra,0.0
1598,atmen,respirar,0.0
1599,hose,pantalones,0.16666666666666666
1600,weiße,blanco,0.0
1601,sprichst,hablar,0.0
1602,größer,mayor que,0.0
1603,schickt,envía,0.0
1604,city,ciudad,0.3333333333333333
1605,prinz,príncipe,0.5
1606,behandelt,tratado,0.16666666666666666
1607,tote,muerto,0.3333333333333333
1608,überlegen,pensar,0.0
1609,karten,tarjetas,0.4
1610,it,eso,0.0
1611,d,es decir,0.2
1612,restaurant,restaurante,1.0
1613,roger,recibido,0.25
1614,natur,naturaleza,0.6
1615,carter,carretero,0.8
1616,emily,emily,1.0
1617,mami,mamá,0.6666666666666666
1618,verschwindet,desaparece,0.1111111111111111
1619,lautet,lee,0.3333333333333333
1620,streit,argumento,0.2
1621,küssen,beso,0.2
1622,sprich,hablar,0.0
1623,längst,hace mucho tiempo,0.1
1624,fängt,capturas,0.0
1625,drüber,sobre,0.4
1626,gingen,se fue,0.0
1627,erlaubt,permitido,0.2
1628,einzigen,único,0.0
1629,bad,bañera,0.3333333333333333
1630,schmeckt,sabores,0.14285714285714285
1631,kugel,bala,0.3333333333333333
1632,normalerweise,normalmente,0.5714285714285714
1633,schwarzen,negro,0.14285714285714285
1634,rauf,arriba,0.3333333333333333
1635,flug,vuelo,0.3333333333333333
1636,beruhigen,calma,0.0
1637,walter,walter,1.0
1638,halbe,mitad,0.0
1639,dan,dan,1.0
1640,geschieht,sucede,0.3333333333333333
1641,entdeckt,descubierto,0.16666666666666666
1642,morgens,en la mañana,0.0
1643,schlechter,peor,0.125
1644,vollkommen,completamente,0.25
1645,gelogen,mintió,0.0
1646,verfolgt,rastreado,0.16666666666666666
1647,college,colega,0.75
1648,weiteren,más lejos,0.0
1649,chris,cris,0.75
1650,louis,luis,1.0
1651,eh,oh,1.0
1652,schwert,espada,0.16666666666666666
1653,hunde,perros,0.0
1654,steigen,subida,0.25
1655,verdammter,maldita sea,0.14285714285714285
1656,dürfte,debería,0.4
1657,riecht,huele,0.25
1658,labor,laboratorio,0.6
1659,bat,preguntó,0.16666666666666666
1660,tim,tim,1.0
1661,arthur,arturo,0.75
1662,mindestens,al menos,0.2857142857142857
1663,fisch,pez,0.0
1664,füße,pies,0.0
1665,stehst,pararse,0.2
1666,erschießen,disparar,0.16666666666666666
1667,kuchen,pastel,0.0
1668,versuchte,intentó,0.0
1669,zustand,estado,0.6
1670,wunsch,deseo,0.2
1671,gäste,huéspedes,0.16666666666666666
1672,erwähnt,mencionado,0.16666666666666666
1673,farbe,color,0.0
1674,van,camioneta,0.25
1675,zufall,coincidencia,0.0
1676,garten,jardín,0.4
1677,junger,más joven,0.0
1678,autos,coches,0.25
1679,abgesehen,aparte de,0.0
1680,fair,justa,0.0
1681,vertraut,de confianza,0.0
1682,koffer,maleta,0.0
1683,hieß,fue llamado,0.0
1684,kurs,curso,0.6666666666666666
1685,wirkt,obras,0.25
1686,idioten,idiotas,0.6666666666666666
1687,netter,mejor,0.25
1688,seitdem,ya que,0.0
1689,angegriffen,atacado,0.0
1690,geschichten,cuentos,0.25
1691,wahnsinnig,loco,0.0
1692,ähnlich,similar,0.16666666666666666
1693,lily,lirio,0.3333333333333333
1694,aufgeben,abandonar,0.2
1695,england,inglaterra,0.5
1696,entführt,secuestrado,0.14285714285714285
1697,ms.,em.,0.6666666666666666
1698,mistkerl,bastardo,0.5
1699,ner,ner,1.0
1700,geschossen,disparo,0.14285714285714285
1701,lager,depósito,0.0
1702,besprechen,conversar,0.14285714285714285
1703,reihe,línea,0.0
1704,polizisten,oficiales de policía,0.09090909090909091
1705,vogel,pájaro,0.0
1706,legt,establece,0.0
1707,strand,playa,0.0
1708,amerikaner,americano,0.6
1709,schwarz,negro,0.16666666666666666
1710,fern,remoto,0.0
1711,fick,mierda,0.0
1712,scherz,broma,0.2
1713,san,san,1.0
1714,erzählte,dicho,0.16666666666666666
1715,wichser,gilipollas,0.0
1716,jake,jake,1.0
1717,langweilig,aburrido,0.0
1718,womit,por el cual,0.0
1719,geschäfte,negocios,0.14285714285714285
1720,my,mi,0.5
1721,kapiert,entiendo,0.0
1722,nachher,luego,0.0
1723,verlangt,requerido,0.16666666666666666
1724,schlägt,latidos,0.14285714285714285
1725,überzeugt,convencido,0.0
1726,irgendjemand,cualquiera,0.0
1727,rot,rojo,0.5
1728,soldat,soldado,0.75
1729,vorbereitet,preparado,0.3333333333333333
1730,geschah,sucedió,0.4
1731,reisen,viajar,0.0
1732,termin,reunión,0.25
1733,gang,engranaje,0.4
1734,stehlen,robar,0.0
1735,rechte,correcto,0.4
1736,rache,venganza,0.0
1737,bemerkt,observó,0.4
1738,frankreich,francia,0.5714285714285714
1739,stört,molesta,0.2
1740,radio,radio,1.0
1741,beruhige,cálmate,0.0
1742,pferde,caballos,0.0
1743,vertrag,contrato,0.4
1744,arbeitest,trabajar,0.2
1745,dienst,servicio,0.0
1746,zählt,cuenta,0.2
1747,fragst,pedir,0.0
1748,wesen,siendo,0.3333333333333333
1749,bürgermeister,alcalde,0.0
1750,emma,emma,1.0
1751,fluss,río,0.0
1752,woran,en que,0.0
1753,geblieben,se mantuvo,0.0
1754,durcheinander,confundido,0.375
1755,me,yo,0.0
1756,ted,ted,1.0
1757,nette,bonito,0.3333333333333333
1758,test,prueba,0.0
1759,mister,señor,0.5
1760,dadurch,de este modo,0.14285714285714285
1761,direktor,director,0.8
1762,wichtiger,más importante,0.1
1763,kevin,kevin,1.0
1764,scott,scott,1.0
1765,karriere,carrera profesional,0.2727272727272727
1766,akte,expediente,0.2
1767,erinnerung,memoria,0.16666666666666666
1768,großmutter,abuela,0.0
1769,erzähle,decir,0.0
1770,lösen,resolver,0.0
1771,bravo,bravo,1.0
1772,griff,resolver,0.0
1773,verfolgen,buscar,0.0
1774,zweifel,duda,0.0
1775,such,búsqueda,0.2
1776,sprache,idioma,0.0
1777,nerven,enojarse,0.25
1778,officer,oficiales,0.25
1779,andy,andy,1.0
1780,langer,más extenso,0.0
1781,ziehe,jalar,0.0
1782,entlassen,fuego,0.0
1783,zweimal,dos veces,0.0
1784,abholen,recoger,0.0
1785,washington,washington,1.0
1786,kollegen,colegas,0.4
1787,doc,médico,0.5
1788,fass,barril,0.0
1789,szene,escena,0.6666666666666666
1790,robin,robin,1.0
1791,scheinen,parece ser,0.16666666666666666
1792,bösen,demonio,0.25
1793,schaffe,administrar,0.0
1794,pflicht,deber,0.0
1795,wache,guardia,0.0
1796,neulich,recientemente,0.14285714285714285
1797,beeilen,apuro,0.0
1798,knie,rodilla,0.0
