,spanish,german,Distances
925,partido,passen,0.25
926,bonita,hübsch,0.16666666666666666
927,joder,scheiße,0.0
928,causa,weil,0.0
929,caliente,heiß,0.0
930,sargento,sergeant,1.0
931,cenar,abendessen,0.16666666666666666
932,compañero,mitarbeiter,0.16666666666666666
933,llevó,tragen,0.0
934,banco,bank,0.6666666666666666
935,existe,existiert,0.6
936,ben,gut,0.0
937,zona,zone,1.0
938,destino,bestimmung,0.42857142857142855
939,base,base,1.0
940,solía,gewöhnt an,0.0
941,cliente,klient,0.75
942,irse,verlassen,0.3333333333333333
943,perra,hündin,0.0
944,james,james,1.0
945,encuentro,treffen,0.0
946,encontró,er fand,0.0
947,pelea,kampf,0.25
948,san,heilige,0.0
949,norte,norden,0.5
950,quise,ich wollte,0.0
951,coronel,oberst,0.25
952,apuesto,gutaussehend,0.14285714285714285
953,peligroso,gefährlich,0.125
954,viva,live,0.5
955,max,max,1.0
956,vienes,du kommst,0.14285714285714285
957,necesitan,sie brauchen,0.14285714285714285
958,té,tee,0.5
959,excepto,außer,0.0
960,juicio,beurteilung,0.0
961,podamos,wir können,0.0
962,llave,schlüssel,0.125
963,equivocado,falsch,0.2
964,posición,position,0.6
965,trasero,rückseite,0.16666666666666666
966,irnos,geh weg,0.0
967,espalda,der rücken,0.0
968,excelente,exzellent,0.6666666666666666
969,éxito,erfolg,0.0
970,modos,modi,0.6666666666666666
971,ventana,fenster,0.4
972,veamos,mal schauen,0.14285714285714285
973,especie,spezies,0.5
974,diferencia,unterschied,0.2857142857142857
975,formas,formen,0.75
976,pedir,fragen,0.0
977,últimos,neueste,0.2
978,escúchame,hör mir zu,0.0
979,ejemplo,beispiel,0.5
980,ése,das,0.5
981,radio,radio,1.0
982,lee,lesen,0.3333333333333333
983,calma,sich beruhigen,0.1111111111111111
984,hogar,heimat,0.3333333333333333
985,volveré,ich komme wieder,0.0
986,fondo,hintergrund,0.25
987,humano,mensch,0.2
988,henry,henry,1.0
989,tí,sie,0.0
990,iremos,wir werden gehen,0.09090909090909091
991,unidos,vereinigt,0.2
992,jesús,jesus,0.75
993,planeta,planet,1.0
994,verme,sieh mich,0.16666666666666666
995,respecto,betrachten,0.2857142857142857
996,regreso,zurückkehren,0.2222222222222222
997,debido,fällig,0.0
998,leer,lesen,0.3333333333333333
999,parar,pause,0.3333333333333333
1000,lleno,voll,0.3333333333333333
1001,dejé,verlassen,0.0
1002,respeto,respekt,0.8
1003,debajo,unter,0.0
1004,harry,harry,1.0
1005,escribir,schreiben,0.6666666666666666
1006,estación,bahnhof,0.0
1007,pidió,fragte,0.0
1008,alta,hoch,0.0
1009,pista,hinweis,0.0
1010,estrella,stern,0.6
1011,enfermo,krank,0.0
1012,duele,tut weh,0.0
1013,sueños,träume,0.0
1014,veremos,wir werden sehen,0.18181818181818182
1015,miles,tausende,0.0
1016,darme,gib mir,0.2
1017,órdenes,aufträge,0.0
1018,ocupado,besetzt,0.0
1019,sigues,bist du noch,0.1111111111111111
1020,corre,läuft,0.0
1021,podido,ich habe,0.0
1022,dejes,lassen,0.25
1023,nivel,eben,0.0
1024,experiencia,erfahrung,0.3333333333333333
1025,darte,dir geben,0.3333333333333333
1026,salida,ausfahrt,0.2
1027,decirlo,sag es,0.0
1028,confiar,vertrauen,0.2
1029,hacerte,mach dich,0.14285714285714285
1030,necesitaba,erforderlich,0.0
1031,hermanos,brüder,0.2
1032,zapatos,schuhe,0.0
1033,color,farbe,0.0
1034,vistazo,blick,0.0
1035,nena,küken,0.25
1036,tratar,behandeln,0.0
1037,parecer,sehen,0.0
1038,juez,richter,0.0
1039,próximo,nächste,0.0
1040,paciente,geduldig,0.0
1041,bolsa,tasche,0.0
1042,arte,kunst,0.25
1043,mary,maria,0.6666666666666666
1044,jugando,spielen,0.0
1045,llevas,du trägst,0.125
1046,alegra,froh,0.0
1047,bailar,tanzen,0.0
1048,diablo,teufel,0.3333333333333333
1049,oí,i habe gehört,0.0
1050,sepa,kennt,0.0
1051,sur,süden,0.25
1052,banda,band,1.0
1053,aprender,lernen,0.4
1054,precio,preis,0.6666666666666666
1055,completo,komplett,0.6666666666666666
1056,santo,heilig,0.0
1057,culpable,schuldig,0.16666666666666666
1058,ganas,verlangen,0.16666666666666666
1059,you,sie,0.0
1060,verla,sehe sie,0.0
1061,volvió,zurückgegangen,0.0
1062,libros,bücher,0.0
1063,ojo,auge,0.0
1064,cielos,himmel,0.0
1065,matado,getötet,0.2
1066,azul,blau,0.5
1067,diferentes,anders,0.3333333333333333
1068,irte,geh weg,0.0
1069,ia,ia,
1070,comandante,kommandant,0.7142857142857143
1071,acción,aktion,0.25
1072,reglas,regeln,0.75
1073,obra,baustelle,0.2
1074,esperanza,hoffnung,0.16666666666666666
1075,cuestión,frage,0.0
1076,molesta,verärgern,0.0
1077,bill,rechnung,0.0
1078,informe,bericht,0.0
1079,jimmy,jimmy,1.0
1080,río,fluss,0.0
1081,bienvenido,herzlich willkommen,0.0
1082,abrir,offen,0.0
1083,tocar,abspielen,0.0
1084,bob,bob,1.0
1085,contar,zählen,0.0
1086,sigo,ich folge,0.16666666666666666
1087,interior,innerhalb,0.3333333333333333
1088,apartamento,wohnung,0.16666666666666666
1089,vea,sehen,0.0
1090,preocupa,sorgen,0.25
1091,tomó,ich nehme,0.0
1092,principal,haupt,0.16666666666666666
1093,empieza,start,0.0
1094,londres,london,0.6
1095,empezó,es begann,0.0
1096,vayan,gehen,0.3333333333333333
1097,jim,jim,1.0
1098,llaman,anruf,0.0
1099,ojalá,ich wünsche,0.0
1100,perdona,verzeihung,0.3333333333333333
1101,vuelvo,ich komme wieder,0.0
1102,golpe,schlag,0.2
1103,quedarme,bleibe,0.0
1104,llamaré,ich werde rufen,0.1
1105,acabado,fertig,0.0
1106,estilo,stil,1.0
1107,nueve,neun,0.5
1108,definitivamente,bestimmt,0.375
1109,quedar,bleibe,0.0
1110,cartas,karten,0.5
1111,bomba,bombe,1.0
1112,guardia,bewachen,0.0
1113,pistola,pistole,1.0
1114,probar,versuchen,0.16666666666666666
1115,majestad,majestät,0.6666666666666666
1116,traer,bringen,0.2
1117,marcha,marsch,0.8
1118,pareces,du scheinst,0.25
1119,común,gemeinsames,0.16666666666666666
1120,aquel,das,0.0
1121,hacerle,mach ihn,0.16666666666666666
1122,vuelo,flug,0.3333333333333333
1123,nota,hinweis,0.25
1124,danny,danni,0.75
1125,humanos,menschen,0.3333333333333333
1126,valor,wert,0.0
1127,objetivo,zielsetzung,0.14285714285714285
1128,repente,plötzlich,0.125
1129,debía,sollte,0.0
1130,rojo,rot,0.5
1131,bromeando,scherzen,0.16666666666666666
1132,irá,wird,0.3333333333333333
1133,entrada,eintrag,0.75
1134,doble,doppelt,0.4
1135,dejaré,ich werde gehen,0.1
1136,evitar,vermeiden,0.2
1137,máquina,maschine,0.4
1138,cuello,nacken,0.25
1139,conocí,ich traf,0.16666666666666666
1140,tiempos,zeit,0.0
1141,tome,nehmen,0.25
1142,nick,nick,1.0
1143,animales,tiere,0.0
1144,alex,alex,1.0
1145,acaso,vielleicht,0.16666666666666666
1146,pareja,partner,0.4
1147,verano,sommer,0.0
1148,escuché,hören,0.0
1149,ama,liebt,0.0
1150,mentira,lüge,0.0
1151,tarjeta,karte,0.5
1152,hagan,tun,0.3333333333333333
1153,perdí,ich vermisste,0.1111111111111111
1154,correr,lauf,0.0
1155,steve,steve,1.0
1156,traído,gebracht,0.16666666666666666
1157,llegue,ich kam an,0.0
1158,preparado,bereit,0.2
1159,haberlo,habe es,0.5
1160,tony,toni,0.6666666666666666
1161,usa,verwendet,0.0
1162,intentar,versuchen,0.0
1163,ayudarme,hilf mir,0.16666666666666666
1164,flores,blumen,0.25
1165,dando,geben,0.0
1166,vos,sie,0.5
1167,opción,möglichkeit,0.125
1168,isla,insel,0.6666666666666666
1169,cierra,nah dran,0.16666666666666666
1170,piel,haut,0.0
1171,enemigo,feind,0.0
1172,dejo,links,0.0
1173,exacto,genau,0.0
1174,imbécil,täuschen,0.16666666666666666
1175,jóvenes,jugendliche,0.14285714285714285
1176,pedido,bestellen,0.0
1177,larga,lang,0.6666666666666666
1178,entiende,versteht,0.16666666666666666
1179,justicia,gerechtigkeit,0.125
1180,nuevos,neu,0.3333333333333333
1181,obviamente,offensichtlich,0.1
1182,despierta,wach auf,0.0
1183,pido,ich frage,0.0
1184,calor,wärme,0.25
1185,luces,beleuchtung,0.2857142857142857
1186,refiero,ich meine,0.0
1187,batalla,schlacht,0.14285714285714285
1188,déjalo,lass es in ruhe,0.0
1189,intenta,versuchen,0.0
1190,sarah,sarah,1.0
1191,fantástico,fantastisch,0.625
1192,brazo,arm,0.3333333333333333
1193,absolutamente,unbedingt,0.14285714285714285
1194,llena,voll,0.3333333333333333
1195,hacerme,mach mich,0.2857142857142857
1196,salga,aus,0.3333333333333333
1197,recordar,erinnern,0.2
1198,escapar,weg,0.0
1199,bosque,wald,0.0
1200,gay,fröhlich,0.0
1201,señores,damen und herren,0.09090909090909091
1202,quedan,bleiben übrig,0.1111111111111111
1203,piernas,beine,0.25
1204,visita,besuch,0.25
1205,parís,paris,0.75
1206,usando,verschleiß,0.14285714285714285
1207,ganado,vieh,0.0
1208,movimiento,bewegung,0.2
1209,blanca,weiß,0.0
1210,rico,reich,0.6666666666666666
1211,inocente,unschuldig,0.2857142857142857
1212,pesar,wiegen,0.0
1213,absoluto,absolut,1.0
1214,vacaciones,feiertage,0.0
1215,um,äh,0.0
1216,mismos,sich,0.25
1217,tomado,vergriffen,0.0
1218,planes,pläne,0.5
1219,cine,kino,0.5
1220,toca,berühren,0.0
1221,brillante,funkelnd,0.3333333333333333
1222,confianza,vertrauen,0.0
1223,nombres,namen,0.4
1224,especialmente,besonders,0.0
1225,fbi,fbi,1.0
1226,embarazada,schwanger,0.0
1227,esperen,warten,0.25
1228,pantalones,hose,0.16666666666666666
1229,defensa,verteidigen,0.16666666666666666
1230,terminó,begriff,0.0
1231,salido,trat aus,0.0
1232,estupendo,großartig,0.0
1233,jane,jane,1.0
1234,presión,druck,0.2
1235,inmediatamente,sofort,0.14285714285714285
1236,testigo,zeuge,0.25
1237,deberían,sie sollten,0.14285714285714285
1238,olvidado,vergessene,0.0
1239,soldados,soldaten,0.6
1240,resulta,ergebnis,0.2
1241,tommy,tommy,1.0
1242,depende,beruht,0.0
1243,motivo,grund,0.0
1244,inglés,englisch,0.5
1245,estudio,lernen,0.0
1246,acabar,fertig,0.0
1247,sentimientos,gefühle,0.0
1248,tomando,nehmen,0.25
1249,dieron,sie gaben,0.2
1250,parecen,sie sehen aus wie,0.1111111111111111
1251,llaves,schlüssel,0.25
1252,perros,hunde,0.0
1253,propósito,zweck,0.0
1254,noticia,nachrichten,0.25
1255,partir,verlassen,0.16666666666666666
1256,metros,meter,0.75
1257,santa,heilig,0.0
1258,quedarse,bleiben,0.0
1259,clientes,kunden,0.2
1260,podrá,wird in der lage sein,0.14285714285714285
1261,cuántas,wie viele,0.0
1262,ridículo,lächerlich,0.125
1263,damas,damen,0.6666666666666666
1264,tranquila,ruhig,0.2
1265,operación,betrieb,0.0
1266,come,essen,0.0
1267,empresa,geschäft,0.0
1268,ayúdame,hilf mir,0.16666666666666666
1269,laboratorio,labor,0.6
1270,elección,auswahl,0.0
1271,menudo,häufig,0.0
1272,beso,kuss,0.3333333333333333
1273,copa,tasse,0.0
1274,conversación,gespräch,0.25
1275,brazos,waffen,0.0
1276,espíritu,geist,0.2
1277,dejas,sie lassen,0.16666666666666666
1278,cansado,müde,0.25
1279,interesa,interessiert,0.5714285714285714
1280,refieres,was meinen sie,0.125
1281,casado,verheiratet,0.0
1282,enorme,enorm,1.0
1283,asuntos,angelegenheiten,0.25
1284,fe,glaube,0.0
1285,muestra,probe,0.0
1286,trampa,fangen,0.0
1287,ray,strahl,0.2
1288,billy,billy,1.0
1289,memoria,erinnerung,0.16666666666666666
1290,johnny,johnny,1.0
1291,contrario,gegenteil,0.2
1292,soldado,soldat,0.75
1293,subir,geh hinauf,0.0
1294,turno,drehen,0.5
1295,encantaría,würde lieben,0.0
1296,preocupado,betroffen,0.16666666666666666
1297,restaurante,restaurant,1.0
1298,saliendo,herauskommen,0.14285714285714285
1299,escrito,geschrieben,0.42857142857142855
1300,cálmate,immer mit der ruhe,0.16666666666666666
1301,bienvenida,willkommen,0.0
1302,caer,herbst,0.2
1303,llevaré,ich werde nehmen,0.09090909090909091
1304,leche,milch,0.75
1305,estrellas,sterne,0.5
1306,prefiero,ich bevorzuge,0.125
1307,red,netz,0.0
1308,viejos,alt,0.0
1309,solamente,nur,0.2
1310,oiga,hör mal zu,0.0
1311,cuentas,konten,0.5
1312,taxi,taxi,1.0
1313,anillo,ring,0.0
1314,richard,richard,1.0
1315,preguntar,fragen,0.5
1316,victoria,sieg,0.0
1317,quiénes,wer ist es,0.14285714285714285
1318,héroe,held,0.3333333333333333
1319,pequeños,die kleinen,0.0
1320,decidido,beschlossen,0.125
1321,películas,filme,0.16666666666666666
1322,responsable,verantwortlich,0.2
1323,trago,getränk,0.3333333333333333
1324,volverá,zurück zu,0.0
1325,árbol,baum,0.25
1326,ibas,du gingst,0.14285714285714285
1327,dientes,zähne,0.0
1328,encantado,erfreut,0.2
1329,camión,lkw,0.0
1330,vender,verkaufen,0.2
1331,llame,ich rief,0.0
1332,detente,pause,0.0
1333,luchar,kampf,0.0
1334,cabo,kap,0.0
1335,ruido,lärm,0.25
1336,lucha,kampf,0.0
1337,muere,tot gehen,0.0
1338,reloj,uhr,0.0
1339,gato,katze,0.3333333333333333
1340,averiguar,herausfinden,0.14285714285714285
1341,volar,fliegen,0.25
1342,vayamos,lass uns gehen,0.1
1343,tanta,so sehr,0.0
1344,vendrá,wird kommen,0.125
1345,corriendo,in eile,0.0
1346,yendo,gehen,0.0
1347,colegio,uni,0.0
1348,sonido,klang,0.25
1349,caballero,ritter,0.2
1350,pasada,passieren,0.4
1351,código,code,0.5
1352,hagamos,lass es uns tun,0.09090909090909091
1353,imagen,bild,0.0
1354,riesgo,risiko,0.6666666666666666
1355,llegamos,wir sind angekommen,0.15384615384615385
1356,alguno,etwas,0.0
1357,pan,brot,0.0
1358,millón,million,0.8
1359,malas,schlecht,0.14285714285714285
1360,dama,dame,1.0
1361,hielo,eis,0.0
1362,coño,kegel,0.0
1363,cayó,es fiel,0.0
1364,prensa,drücken sie,0.375
1365,querer,wollen,0.0
1366,vengan,kommen sie,0.16666666666666666
1367,eddie,eddie,1.0
1368,caminar,gehen,0.25
1369,televisión,fernseher,0.16666666666666666
1370,pasará,es wird passieren,0.2727272727272727
1371,momentos,momente,0.8
1372,coger,nehmen,0.0
1373,posibilidad,wahrscheinlichkeit,0.16666666666666666
1374,mark,kennzeichen,0.0
1375,asiento,sitz,0.3333333333333333
1376,herido,verletzt,0.16666666666666666
1377,maría,maria,0.6666666666666666
1378,seguramente,sicherlich,0.2857142857142857
1379,proyecto,projekt,0.6
1380,pared,mauer,0.3333333333333333
1381,sentí,fühlte,0.0
1382,sospechoso,verdächtig,0.25
1383,naturaleza,natur,0.6
1384,ésa,dies,0.5
1385,silla,stuhl,0.5
1386,perdió,verirrt,0.2
1387,robert,robert,1.0
1388,policías,polizisten,0.3333333333333333
1389,arreglar,arrangieren,0.5
1390,sentado,sitzt,0.25
1391,papi,vati,0.0
1392,ideas,ideen,0.5
1393,obtener,erhalten,0.2
1394,felices,glücklich,0.25
1395,señoría,lordschaft,0.125
1396,cantidad,menge,0.2
1397,bebe,baby,0.6666666666666666
1398,mírame,schau mich an,0.1111111111111111
1399,chris,chris,1.0
1400,papa,papa,1.0
1401,llorar,trauern,0.25
1402,quedó,blieb,0.0
1403,familiar,familie,0.75
1404,desastre,katastrophe,0.42857142857142855
1405,locos,verrückt,0.14285714285714285
1406,escuche,ich hörte,0.14285714285714285
1407,quedarte,bleibe,0.0
1408,política,politik,0.6
1409,pedí,ich fragte,0.0
1410,will,wille,1.0
1411,enfermedad,krankheit,0.0
1412,encontraron,sie fanden,0.14285714285714285
1413,colega,kollege,0.5
1414,príncipe,der prinz,0.14285714285714285
1415,verde,grün,0.25
1416,bajar,gehen,0.0
1417,nervioso,hoch gespannt,0.1
1418,vengo,ich komme,0.0
1419,inspector,inspektor,0.8333333333333334
1420,sirve,es dient,0.2
1421,puertas,türen,0.0
1422,fuerzas,kräfte,0.2
1423,playa,strand,0.0
1424,cantar,singen,0.25
1425,déjeme,lassen sie mich,0.1
1426,velocidad,geschwindigkeit,0.2
1427,total,gesamt,0.0
1428,cabello,haar,0.0
1429,suficientemente,genügend,0.25
1430,huellas,fußspuren,0.0
1431,haberte,hast du,0.2
1432,debí,ich sollte,0.0
1433,unidad,einheit,0.3333333333333333
1434,estan,sind,0.3333333333333333
1435,cuchillo,messer,0.0
1436,t,sie,0.0
1437,oigan,hey,0.0
1438,gana,gewinnen,0.4
1439,tonterías,mist,0.16666666666666666
1440,emergencia,notfall,0.0
1441,perfecta,perfekt,0.8
1442,hable,ich sprach,0.125
1443,gustaba,gefallen,0.2
1444,lugares,setzt,0.0
1445,ryan,ryan,1.0
1446,show,zeigen,0.0
1447,robo,stahl,0.0
1448,permite,es erlaubt,0.3333333333333333
1449,parque,park,0.6666666666666666
1450,uds.,du.,0.6666666666666666
1451,roto,gebrochen,0.16666666666666666
1452,serie,reihe,0.0
1453,puse,ich lege,0.0
1454,nuevas,neu,0.3333333333333333
1455,evidencia,beweis,0.0
1456,conocerte,kenne dich,0.14285714285714285
1457,estúpida,dumm,0.0
1458,preocupe,sorge,0.25
1459,perdone,verzeihung,0.3333333333333333
1460,botella,flasche,0.0
1461,viento,wind,0.3333333333333333
1462,mando,ich sende,0.3333333333333333
1463,extraña,seltsam,0.2
1464,historias,geschichten,0.125
1465,aquella,das,0.0
1466,solos,allein,0.3333333333333333
1467,apoyo,unterstützung für,0.0
1468,bala,patrone,0.0
1469,verdadera,stimmt,0.0
1470,tiro,warf,0.3333333333333333
1471,época,epoche,0.3333333333333333
1472,puente,brücke,0.0
1473,olvídalo,vergiss es,0.0
1474,distancia,distanz,0.8
1475,desea,wollen,0.0
1476,dejarlo,verlassen,0.16666666666666666
1477,pelear,streit,0.25
1478,pierna,bein,0.3333333333333333
1479,echar,wurf,0.0
1480,descanso,unterbrechung,0.2222222222222222
1481,américa,amerika,0.5
1482,área,bereich,0.25
1483,orgulloso,stolz,0.2
1484,datos,daten,0.6666666666666666
1485,espectáculo,show,0.14285714285714285
1486,sube,steigt,0.25
1487,dejaste,du bist gegangen,0.2727272727272727
1488,acabas,du beendest,0.2857142857142857
1489,verá,du wirst sehen,0.1
1490,magia,magie,1.0
1491,nacional,national,0.75
1492,universo,universum,0.8
1493,llevaba,trug,0.0
1494,necesitar,brauchen,0.0
1495,nariz,nase,0.3333333333333333
1496,aquellos,diese,0.25
1497,clases,lektionen,0.0
1498,jake,jack,0.6666666666666666
1499,casas,häuser,0.25
1500,vergüenza,schande,0.16666666666666666
1501,monstruo,monster-,0.8333333333333334
1502,princesa,prinzessin,0.5714285714285714
1503,autobús,bus,0.5
1504,cuidar,sich kümmern um,0.16666666666666666
1505,ei,hey,0.0
1506,huevos,eier,0.0
1507,pocos,wenig,0.0
1508,podrás,du kannst,0.14285714285714285
1509,enferma,krank,0.0
1510,paseo,spaziergang,0.14285714285714285
1511,detalles,einzelheiten,0.16666666666666666
1512,llamadas,anrufe,0.0
1513,belleza,schönheit,0.0
1514,francia,frankreich,0.5714285714285714
1515,abierto,offen,0.0
1516,viviendo,leben,0.25
1517,envió,versand,0.0
1518,puntos,punkte,0.5
1519,ministro,minister,1.0
1520,conducir,reiten,0.0
1521,aceptar,akzeptieren,0.5
1522,borracho,betrunken,0.3333333333333333
1523,animal,tier,0.0
1524,caballos,pferde,0.0
1525,trajo,er brachte,0.14285714285714285
1526,contrato,vertrag,0.4
1527,viernes,freitag,0.25
1528,bobby,bobby,1.0
1529,martin,martin,1.0
1530,amy,amy,1.0
1531,bienvenidos,herzlich willkommen,0.0
1532,ex,ex,1.0
1533,hechos,fakten,0.0
1534,sociedad,gesellschaft,0.2222222222222222
1535,dra.,dr.,1.0
1536,quede,bleibe,0.0
1537,inglaterra,england,0.5
1538,carga,last,0.0
1539,diste,du gabst,0.5
1540,puto,ficken,0.0
1541,lleve,ich trug,0.0
1542,presente,gegenwärtig,0.125
1543,conocía,wusste,0.0
1544,uso,verwenden,0.0
1545,dedos,finger,0.0
1546,oferta,angebot,0.25
1547,sentía,fühlte,0.0
1548,proteger,beschützen,0.125
1549,daniel,daniel,1.0
1550,date,datum,0.6666666666666666
1551,hiciera,würdest du,0.125
1552,hablé,ich sprach,0.125
1553,recibir,bekommen,0.0
1554,agradezco,ich schätze,0.1111111111111111
1555,robar,stehlen,0.0
1556,enamorado,geliebt,0.0
1557,sepas,du weißt,0.0
1558,oeste,westen,0.5
1559,herida,wunde,0.3333333333333333
1560,despacio,langsam,0.0
1561,ayude,hilfe,0.0
1562,supe,ich wusste,0.14285714285714285
1563,directamente,direkt,0.42857142857142855
1564,inmediato,sofort,0.25
1565,profesional,fachmann,0.16666666666666666
1566,oscuro,dunkel,0.0
1567,mercado,markt,0.5
1568,cerdo,schweinefleisch,0.1
1569,tardes,nachmittag,0.0
1570,líder,führer,0.2
1571,grave,ernst,0.0
1572,llegué,ich kam an,0.0
1573,jurado,jury,0.6666666666666666
1574,casos,fälle,0.0
1575,acuerdas,erinnerst du dich,0.16666666666666666
1576,ahi,da drüben,0.0
1577,desaparecido,fehlen,0.0
1578,debió,sollte,0.0
1579,últimamente,in letzter zeit,0.3
1580,piedra,stein,0.0
1581,habló,sprechen,0.0
1582,charles,karl,0.4
1583,paga,zahlen,0.0
1584,secretos,geheimnisse,0.16666666666666666
1585,digamos,sagen wir,0.16666666666666666
1586,intención,absicht,0.16666666666666666
1587,humor,humor,1.0
1588,dura,schwer,0.2
1589,dará,geben,0.0
1590,seguros,versicherung,0.25
1591,leo,löwe,0.3333333333333333
1592,adam,adam,1.0
1593,and,und,1.0
1594,ángeles,engel,0.6
1595,querría,ich würde wollen,0.08333333333333333
1596,cerrar,schließen,0.16666666666666666
1597,conseguido,erreicht,0.0
1598,peso,gewicht,0.0
1599,víctimas,die opfer,0.0
1600,asesinado,ermordet,0.2
1601,humana,mensch,0.2
1602,directo,gerade,0.25
1603,central,zentral,0.8
1604,termina,endet,0.0
1605,compañeros,gefährten,0.14285714285714285
1606,escuchado,zugehört,0.0
1607,contento,froh,0.0
1608,llevan,sie tragen,0.16666666666666666
1609,podré,ich werde in der lage sein,0.11764705882352941
1610,oscuridad,dunkelheit,0.0
1611,actuar,gesetz,0.25
1612,siga,folgen,0.25
1613,llevado,led,0.5
1614,comenzó,gestartet,0.0
1615,regresa,kam zurück,0.125
1616,privado,privatgelände,0.4444444444444444
1617,mirada,sehen,0.0
1618,demonio,teuflisch,0.0
1619,abierta,offen,0.0
1620,kevin,kevin,1.0
1621,m,m,1.0
1622,llámame,ruf mich an,0.125
1623,siguen,folgen,0.5
1624,romper,unterbrechung,0.1111111111111111
1625,cambia,rückgeld,0.14285714285714285
1626,fiscal,steuerlich,0.16666666666666666
1627,jardín,hof,0.0
1628,natural,natürlich,0.5714285714285714
1629,gratis,frei,0.25
1630,cuesta,kosten,0.5
1631,amenaza,drohung,0.2
1632,pon,stellen,0.2
1633,marca,marke,0.6666666666666666
1634,comenzar,start,0.0
1635,ponte,stellen,0.0
1636,medicina,medizin,0.75
1637,podremos,wir werden können,0.07692307692307693
1638,tomé,nehmen,0.25
1639,preciosa,kostbar,0.0
1640,sexual,sexuell,0.75
1641,acceso,zugang,0.0
1642,necesidad,brauchen,0.0
1643,dueño,eigentümer,0.0
1644,merece,verdient,0.2
1645,rayos,strahl,0.2
1646,d,d,1.0
1647,mintiendo,lügnerisch,0.125
1648,tantas,viele,0.0
1649,imagino,ich stelle mir vor,0.07692307692307693
1650,fantasma,geist,0.2
1651,creerlo,glaube es,0.0
1652,llamé,ich rief,0.0
1653,ponga,stellen,0.0
1654,brian,brian,1.0
1655,dé,von,0.0
1656,pollo,hähnchen,0.0
1657,varios,mehrere,0.25
1658,efecto,wirkung,0.0
1659,felicidad,glück,0.2
1660,espada,schwert,0.16666666666666666
1661,relaciones,beziehungen,0.16666666666666666
1662,entró,ich betrete,0.2857142857142857
1663,resultado,ergebnis,0.2
1664,sombrero,hut,0.0
1665,menor,unerheblich,0.14285714285714285
1666,recibido,erhalten,0.2
1667,negra,schwarz,0.16666666666666666
1668,to,zu,0.0
1669,limpio,gereinigt,0.0
1670,china,china,1.0
1671,juegos,spiele,0.0
1672,correo,post,0.0
1673,confía,vertrauen,0.0
1674,video,video,1.0
1675,perfectamente,perfekt,0.5
1676,harán,sie werden es tun,0.18181818181818182
1677,teatro,theater,0.75
1678,dormido,schlafend,0.14285714285714285
1679,local,lokal,0.6666666666666666
1680,quedado,links,0.0
1681,lástima,mitleid,0.0
1682,calles,straßen,0.0
1683,créeme,vertrau mir,0.2857142857142857
1684,responsabilidad,verantwortung,0.0
1685,búsqueda,suche,0.2
1686,dedo,finger,0.0
1687,tonta,dumm,0.0
1688,recuerdos,grüße,0.2
1689,razones,gründe dafür,0.2
1690,escuchando,hören,0.16666666666666666
1691,eric,erich,0.6666666666666666
1692,elegir,wählen,0.0
1693,amas,du liebst,0.16666666666666666
1694,huele,riecht,0.25
1695,almuerzo,mittagessen,0.0
1696,cien,einhundert,0.16666666666666666
1697,adn,dna,1.0
1698,tantos,so viele,0.0
1699,pago,zahlung,0.2
1700,normalmente,normalerweise,0.5714285714285714
1701,mr,herr,0.3333333333333333
1702,pastel,kuchen,0.0
1703,bastardo,bastard,1.0
1704,cinta,stirnband,0.14285714285714285
1705,pasé,das passiert,0.25
1706,dígame,sag mir,0.2
1707,anna,anna,1.0
1708,costa,küste,0.5
1709,levántate,steh auf,0.0
1710,llamando,berufung,0.2
1711,cerrado,abgeschlossen,0.1111111111111111
1712,interés,interesse,0.8
1713,enfermera,krankenschwester,0.16666666666666666
1714,comienzo,anfang,0.25
1715,olvidé,vergessen,0.0
1716,militar,militär-,0.6666666666666666
1717,polvo,staub,0.0
1718,bella,schön,0.0
1719,quedo,ich bleibe,0.0
1720,kate,kate,1.0
1721,encontraste,im gegensatz,0.25
1722,voluntad,werden,0.0
1723,varias,mehrere,0.25
1724,teoría,theorie,0.3333333333333333
1725,roja,rot,0.5
1726,cuento,geschichte,0.2857142857142857
1727,escenario,landschaft,0.25
1728,diario,täglich,0.0
1729,propiedad,eigentum,0.0
1730,agujero,loch,0.0
1731,aspecto,aussehen,0.25
1732,campamento,lager,0.0
1733,descansar,sich ausruhen,0.375
1734,matarme,töte mich,0.2857142857142857
1735,metido,gesteckt,0.16666666666666666
1736,quiso,gesucht,0.2
1737,ángel,engel,0.75
1738,enviar,senden,0.25
1739,impresionante,genial,0.14285714285714285
1740,proceso,prozess,0.6
1741,intentado,versucht,0.0
1742,mio,mine,0.5
1743,fuente,schriftart,0.25
1744,alcalde,bürgermeister,0.0
1745,ocurrido,passiert,0.2
1746,malos,schlecht,0.14285714285714285
1747,carretera,autobahn,0.0
1748,desapareció,er verschwand,0.2
1749,desayuno,frühstück,0.1111111111111111
1750,débil,schwach,0.0
1751,roma,rom,1.0
1752,sabido,bekannt,0.0
1753,comienza,beginnt,0.2
1754,tambien,auch,0.0
1755,intentarlo,versuch es,0.0
1756,miembro,mitglied,0.2
1757,perdiendo,verlieren,0.2
1758,resultados,ergebnisse,0.3333333333333333
1759,jerry,jerry,1.0
1760,mata,busch,0.0
1761,sr,herr,0.3333333333333333
1762,valiente,tapfer,0.0
1763,deber,"müssen, zu ... haben",0.0625
1764,pecho,truhe,0.3333333333333333
1765,gustó,geschmack,0.2857142857142857
