,french,german,Distances
948,cacher,verstecken,0.14285714285714285
949,combat,kampf,0.25
950,peau,haut,0.0
951,pute,hure,0.0
952,dingue,verrückt,0.0
953,sent,fühlt sich,0.1111111111111111
954,faisons,tun,0.25
955,blessé,verletzt,0.16666666666666666
956,robe,kleid,0.0
957,tient,hält,0.25
958,paul,paul,1.0
959,promets,versprechen,0.25
960,fiche,form,0.3333333333333333
961,bière,bier,0.6666666666666666
962,présente,geschenk,0.16666666666666666
963,preuves,beweis,0.25
964,max,max,1.0
965,colonel,oberst,0.0
966,lequel,welche,0.25
967,don,anziehen,0.25
968,journal,protokoll,0.3333333333333333
969,société,gesellschaft,0.2222222222222222
970,quitté,quitt,0.75
971,assis,saß,0.3333333333333333
972,menti,gelogen,0.0
973,sept,sieben,0.3333333333333333
974,contact,kontakt,0.6
975,base,base,1.0
976,vin,wein,0.5
977,servir,dienen,0.0
978,exemple,beispiel,0.5
979,jeter,werfen,0.0
980,contente,zufrieden,0.0
981,félicitations,herzliche glückwünsche,0.2222222222222222
982,mer,meer,1.0
983,savent,wissen,0.25
984,tort,falsch,0.0
985,ouvert,offen,0.0
986,récupérer,abrufen,0.0
987,dommage,scham,0.0
988,gouvernement,regierung,0.2857142857142857
989,pourriez,könnten,0.0
990,vol,flug,0.3333333333333333
991,nez,nase,0.5
992,devient,wird,0.0
993,sauvé,sicher,0.25
994,héros,held,0.25
995,tenez,halt,0.0
996,livres,bücher,0.0
997,horrible,entsetzlich,0.125
998,prévu,vorgesehen,0.16666666666666666
999,enceinte,schwanger,0.2857142857142857
