,english,german,Distances
981,everywhere,"überall, überallhin, allerorts",0.13636363636363635
982,listening,hören,0.16666666666666666
983,knock,klopfen,0.2
984,escape,flucht,0.2
985,cheers,prost,0.25
986,aah,äh,0.5
987,bother,sich kümmern,0.2
988,er,äh,0.0
989,address,die anschrift,0.2222222222222222
990,foot,fuß,0.5
991,yo,ja,0.0
992,moon,mond,0.6666666666666666
993,turns,wendet sich,0.125
994,mate,kamerad,0.25
995,drinking,trinken,0.6666666666666666
996,grand,großartig,0.3333333333333333
997,worst,schlechteste,0.2222222222222222
998,match,passen,0.0
999,nervous,nervös,0.8
1000,final,finale,1.0
1001,choose,wählen,0.2
1002,smoke,rauch,0.0
1003,orders,aufträge,0.2
1004,otherwise,andernfalls,0.25
1005,books,bücher,0.2
1006,blame,schuld,0.2
1007,press,drücken sie,0.25
1008,ls,ls,1.0
1009,decide,sich entscheiden,0.18181818181818182
1010,drugs,drogen,0.75
1011,max,max,1.0
1012,smile,lächeln,0.16666666666666666
1013,type,typ,1.0
1014,ow,au,0.0
1015,gay,fröhlich,0.0
1016,picked,abgeholt,0.0
1017,mission,mission,1.0
1018,favor,favorisieren,0.5
1019,nick,nick,1.0
1020,named,genannt,0.2
1021,arrived,angekommen,0.0
1022,allowed,erlaubt,0.25
1023,action,aktion,0.6666666666666666
1024,c,c,1.0
1025,duty,pflicht,0.0
1026,price,preis,0.6666666666666666
1027,guard,bewachen,0.0
1028,pictures,bilder,0.2
1029,risk,risiko,1.0
1030,innocent,unschuldig,0.2857142857142857
1031,danny,danni,0.75
1032,legs,beine,0.0
1033,notice,notiz,0.6666666666666666
1034,learned,gelernt,0.6
1035,begin,start,0.0
1036,enemy,feind,0.0
1037,played,gespielt,0.2
1038,kick,trete,0.0
1039,race,rennen,0.25
1040,suit,passen,0.25
1041,jimmy,jimmy,1.0
1042,allow,ermöglichen,0.125
1043,fit,fit,1.0
1044,yep,ja,0.0
1045,director,direktor,0.8
1046,shh,sch,0.6666666666666666
1047,surprised,überrascht,0.25
1048,pregnant,schwanger,0.14285714285714285
1049,nine,neun,1.0
1050,dollars,dollar,0.8
1051,mrs,frau,0.3333333333333333
1052,spot,stelle,0.25
1053,cross,kreuz,0.25
1054,arm,arm,1.0
1055,upstairs,nach oben,0.0
1056,steal,stehlen,0.6
1057,feelings,gefühle,0.0
1058,brothers,brüder,0.5
1059,rings,ringe,0.75
1060,chicken,hähnchen,0.42857142857142855
1061,names,namen,0.6666666666666666
1062,grunts,grunzt,0.6
1063,apart,ein teil,0.25
1064,twice,zweimal,0.25
1065,department,abteilung,0.2857142857142857
1066,according,gemäß,0.0
1067,silly,dumm,0.0
1068,bob,bob,1.0
1069,hero,held,0.3333333333333333
1070,gas,gas,1.0
1071,closed,abgeschlossen,0.3333333333333333
1072,admit,zugeben,0.0
1073,destroy,zerstören,0.42857142857142855
1074,sergeant,sergeant,1.0
1075,alex,alex,1.0
1076,guilty,schuldig,0.16666666666666666
1077,low,niedrig,0.0
1078,leg,bein,0.0
1079,taste,geschmack,0.14285714285714285
1080,waste,abfall,0.0
1081,tony,toni,0.6666666666666666
1082,earlier,vorhin,0.25
1083,awesome,fantastisch,0.125
1084,fired,gefeuert,0.5
1085,london,london,1.0
1086,west,westen,0.75
1087,bunch,bündel,0.4
1088,battle,schlacht,0.14285714285714285
1089,study,lernen,0.0
1090,bigger,größer,0.2
1091,mention,nennen,0.5
1092,writing,schreiben,0.16666666666666666
1093,helping,portion,0.2
1094,bell,glocke,0.25
1095,ray,strahl,0.2
1096,sold,verkauft,0.0
1097,ways,wege,0.3333333333333333
1098,stage,bühne,0.0
1099,written,geschrieben,0.14285714285714285
1100,keeping,halten,0.0
1101,hole,loch,0.0
1102,locked,gesperrt,0.0
1103,lock,sperren,0.0
1104,weapon,waffe,0.3333333333333333
1105,jim,jim,1.0
1106,places,setzt,0.0
1107,helped,geholfen,0.4
1108,indeed,in der tat,0.2857142857142857
1109,energy,energie,0.75
1110,treat,behandeln,0.0
1111,burn,brennen,0.6
1112,stole,stahl,0.75
1113,hiding,versteckt,0.0
1114,form,bilden,0.0
1115,sky,himmel,0.0
1116,gasps,keucht,0.0
1117,breakfast,frühstück,0.3333333333333333
1118,band,band,1.0
1119,figured,dachte,0.0
1120,seemed,schien,0.25
1121,empty,leer,0.0
1122,fresh,frisch,0.8
1123,prince,prinz,0.75
1124,track,spur,0.0
1125,spirit,geist,0.25
1126,complete,komplett,0.6666666666666666
1127,reading,lesen,0.25
1128,nose,nase,1.0
1129,favorite,favorit,1.0
1130,memory,erinnerung,0.16666666666666666
1131,sarah,sarah,1.0
1132,laughter,lachen,0.4
1133,roll,rollen,0.75
1134,witness,zeuge,0.0
1135,starts,beginnt,0.0
1136,double,doppelt,0.4
1137,however,jedoch,0.0
1138,bathroom,bad,0.2
1139,e,e,
1140,build,bauen,0.3333333333333333
1141,bomb,bombe,1.0
1142,pressure,druck,0.2
1143,flight,flug,0.6
1144,interest,interesse,0.8
1145,flowers,blumen,0.2
1146,goddamn,gottverdammt,0.3333333333333333
1147,following,folgende,0.5
1148,dogs,hunde,0.0
1149,steve,steve,1.0
1150,throat,kehle,0.25
1151,cost,kosten,0.5
1152,danger,achtung,0.2
1153,closer,näher,0.25
1154,asshole,arschloch,0.42857142857142855
1155,neck,nacken,0.75
1156,van,lieferwagen,0.16666666666666666
1157,raise,heben,0.0
1158,acting,schauspielkunst,0.2
1159,mommy,mama,0.5
1160,plans,pläne,0.5
1161,adam,adam,1.0
1162,shooting,schießen,0.4
1163,beg,bitten,0.25
1164,narrator,erzähler,0.16666666666666666
1165,losing,verlieren,0.2
1166,ridiculous,lächerlich,0.25
1167,suspect,vermuten,0.0
1168,bottle,flasche,0.0
1169,warm,warm,1.0
1170,beauty,schönheit,0.0
1171,nature,natur,1.0
1172,medical,medizinisch,0.42857142857142855
1173,apparently,offenbar,0.14285714285714285
1174,asleep,schlafend,0.2857142857142857
1175,guns,waffen,0.0
1176,video,video,1.0
1177,rain,regen,0.6666666666666666
1178,camp,lager,0.0
1179,shame,schande,0.4
1180,driver,treiber,0.5
1181,keys,schlüssel,0.125
1182,bird,vogel,0.0
1183,built,gebaut,0.3333333333333333
1184,crowd,menge,0.0
1185,extra,extra,1.0
1186,heavy,schwer,0.2
1187,simply,einfach,0.0
1188,famous,berühmt,0.16666666666666666
1189,pants,hose,0.25
1190,majesty,majestät,0.6666666666666666
1191,keeps,hält,0.0
1192,level,eben,0.0
1193,tommy,tommy,1.0
1194,faith,glaube,0.0
1195,animals,tiere,0.0
1196,commander,kommandant,0.5714285714285714
1197,wild,wild,1.0
1198,richard,richard,1.0
1199,showed,zeigte,0.0
1200,awful,furchtbar,0.0
1201,lay,legen,0.3333333333333333
1202,deserve,verdienen,0.0
1203,excellent,ausgezeichnet,0.2857142857142857
1204,client,klient,0.75
1205,plenty,eine menge,0.0
1206,consider,erwägen,0.0
1207,excited,aufgeregt,0.0
1208,engine,motor,0.0
1209,billy,billy,1.0
1210,pop,pop,1.0
1211,ringing,klingeln,0.3333333333333333
1212,animal,tier,0.0
1213,hoping,hoffend,0.4
1214,responsible,verantwortlich,0.2
1215,jane,jane,1.0
1216,wondering,wundern,0.8333333333333334
1217,devil,teufel,0.3333333333333333
1218,weekend,wochenende,0.5
1219,stone,stein,1.0
1220,sweetheart,schatz,0.3333333333333333
1221,large,groß,0.3333333333333333
1222,military,militär-,0.6666666666666666
1223,cook,koch,0.3333333333333333
1224,skin,haut,0.0
1225,knife,messer,0.0
1226,common,gemeinsames,0.3333333333333333
1227,grace,anmut,0.0
1228,papers,papiere,0.75
1229,drug,arzneimittel,0.0
1230,willing,bereit,0.0
1231,necessary,notwendig,0.16666666666666666
1232,whoever,wer auch immer,0.3333333333333333
1233,blind,blind,1.0
1234,flying,fliegend,0.6
1235,german,deutsch,0.0
1236,beach,strand,0.0
1237,hat,hut,1.0
1238,walked,ging,0.0
1239,lights,beleuchtung,0.42857142857142855
1240,local,lokal,0.6666666666666666
1241,stars,sterne,0.75
1242,although,obwohl,0.2
1243,code,code,1.0
1244,main,hauptsächlich,0.0
1245,grunting,grunzen,0.6666666666666666
1246,faster,schneller,0.14285714285714285
1247,hall,halle,1.0
1248,opportunity,gelegenheit,0.14285714285714285
1249,bullshit,quatsch,0.16666666666666666
1250,corner,ecke,0.25
1251,fuckin,verdammt,0.0
1252,cars,autos,0.3333333333333333
1253,johnny,johnny,1.0
1254,agreed,einverstanden,0.25
1255,cup,tasse,0.0
1256,lies,lügen,0.25
1257,knowing,wissen,0.2
1258,justice,gerechtigkeit,0.125
1259,due,fällig,0.0
1260,rose,rose,1.0
1261,leaves,laub,0.3333333333333333
1262,princess,prinzessin,0.7142857142857143
1263,folks,leute,0.25
1264,bottom,unterseite,0.2
1265,apologize,entschuldigen,0.2222222222222222
1266,ghost,geist,0.75
1267,tight,fest,0.25
1268,lee,lee,1.0
1269,dick,schwanz,0.16666666666666666
1270,grandma,oma,0.2
1271,restaurant,restaurant,1.0
1272,language,sprache,0.0
1273,weapons,waffen,0.25
1274,east,ost,1.0
1275,fellow,gefährte,0.16666666666666666
1276,note,hinweis,0.25
1277,leader,führer,0.2
1278,several,mehrere,0.25
1279,tells,erzählt,0.16666666666666666
1280,clearly,deutlich,0.0
1281,health,die gesundheit,0.125
1282,shows,zeigt an,0.0
1283,correct,korrekt,0.6
1284,angel,engel,1.0
1285,hanging,hängend,0.6666666666666666
1286,stories,geschichten,0.125
1287,jake,jake,1.0
1288,pulled,gezogen,0.0
1289,rule,regel,0.6666666666666666
1290,cousin,cousin,1.0
1291,advice,rat,0.0
1292,beyond,darüber hinaus,0.2222222222222222
1293,held,gehaltenen,0.3333333333333333
1294,hardly,kaum,0.0
1295,pardon,begnadigung,0.2857142857142857
1296,milk,milch,0.5
1297,dancing,tanzen,0.4
1298,groans,stöhnt,0.16666666666666666
1299,gotten,bekommen,0.2
1300,spoke,gesprochen,0.2857142857142857
1301,speed,geschwindigkeit,0.2
1302,understood,verstanden,0.42857142857142855
1303,file,datei,0.0
1304,tape,band,0.0
1305,practice,trainieren,0.2
1306,taught,gelehrt,0.4
1307,among,unter,0.0
1308,murdered,ermordet,0.4
1309,emergency,notfall,0.0
1310,ought,sollen,0.0
1311,somehow,irgendwie,0.2
1312,bridge,brücke,0.4
1313,coach,coach,1.0
1314,martin,martin,1.0
1315,inspector,inspektor,0.8333333333333334
1316,minister,minister,1.0
1317,states,zustände,0.3333333333333333
1318,applause,beifall,0.25
1319,possibly,möglicherweise,0.0
1320,conversation,gespräch,0.14285714285714285
1321,hearing,hören,0.5
1322,national,national,1.0
1323,account,konto,0.5
1324,breath,atem,0.25
1325,shouting,schreien,0.4
1326,crew,besatzung,0.0
1327,lied,gelogen,0.25
1328,meat,fleisch,0.0
1329,cake,kuchen,0.25
1330,strength,stärke,0.2857142857142857
1331,natural,natürlich,0.5714285714285714
1332,career,werdegang,0.16666666666666666
1333,plus,plus,1.0
1334,dressed,gekleidet,0.0
1335,sight,sicht,0.75
1336,vote,abstimmung,0.14285714285714285
1337,powerful,mächtig,0.0
1338,copy,kopieren,0.25
1339,nonsense,unsinn,0.6
1340,student,schüler,0.16666666666666666
1341,dropped,fallen gelassen,0.0
1342,trial,studie,0.0
1343,freedom,freiheit,0.5
1344,breathe,atmen,0.0
1345,market,markt,1.0
1346,doc,dok,0.5
1347,soldiers,soldaten,0.6
1348,serve,dienen,0.0
1349,photo,foto,0.3333333333333333
1350,manager,manager,1.0
1351,robert,robert,1.0
1352,eddie,eddie,1.0
1353,towards,gegenüber,0.0
1354,biggest,größte,0.2
1355,horrible,entsetzlich,0.125
1356,arrested,verhaftet,0.3333333333333333
1357,size,größe,0.0
1358,bringing,bringen,0.8333333333333334
1359,noticed,bemerkte,0.0
1360,fantastic,fantastisch,0.75
1361,papa,papa,1.0
1362,operation,betrieb,0.0
1363,greatest,größte,0.6
1364,nearly,fast,0.0
1365,chinese,chinesisch,0.5714285714285714
1366,cheering,jubel,0.0
1367,checked,überprüft,0.0
1368,trick,trick,1.0
1369,breaking,brechen,0.4
1370,older,älter,0.5
1371,sweetie,schätzchen,0.2222222222222222
1372,teeth,zähne,0.25
1373,pack,pack,1.0
1374,monster,monster-,0.8333333333333334
1375,ideas,ideen,0.5
1376,center,center,1.0
1377,forgotten,vergessene,0.5
1378,travel,reisen,0.25
1379,hurts,tut weh,0.0
1380,belong,gehören,0.0
1381,grandpa,opa,0.2
1382,target,ziel,0.0
1383,games,spiele,0.0
1384,science,wissenschaft,0.3333333333333333
1385,planning,planung,0.8333333333333334
1386,project,projekt,0.8
1387,remain,bleiben übrig,0.1111111111111111
1388,united,vereinigt,0.2
1389,paying,bezahlen,0.0
1390,feed,einspeisung,0.0
1391,numbers,zahlen,0.0
1392,fake,gefälscht,0.125
1393,chris,chris,1.0
1394,prepared,bereit,0.2
1395,aw,ach,0.0
1396,credit,anerkennung,0.14285714285714285
1397,suicide,selbstmord,0.25
1398,records,aufzeichnungen,0.125
1399,investigation,ermittlung,0.14285714285714285
1400,nurse,krankenschwester,0.16666666666666666
1401,oil,öl,0.5
1402,criminal,kriminell,0.6666666666666666
1403,soldier,soldat,0.75
1404,recognize,erkenne,0.4
1405,loud,laut,0.5
1406,plays,theaterstücke,0.1111111111111111
1407,original,original,1.0
1408,heads,köpfe,0.0
1409,shirt,shirt,1.0
1410,example,beispiel,0.5
1411,strike,schlagen,0.16666666666666666
1412,pray,beten,0.0
1413,chair,stuhl,0.25
1414,invited,eingeladen,0.4
1415,fill,füllen,0.6
1416,survive,überleben,0.16666666666666666
1417,jealous,neidisch,0.2
1418,universe,universum,0.8
1419,discuss,diskutieren,0.3333333333333333
1420,command,befehl,0.0
1421,easier,einfacher,0.2
1422,super,super,1.0
1423,training,ausbildung,0.3333333333333333
1424,incredible,unglaublich,0.2857142857142857
1425,pretend,so tun als ob,0.2222222222222222
1426,condition,bedingung,0.16666666666666666
1427,challenge,herausforderung,0.2222222222222222
1428,bobby,bobby,1.0
1429,prepare,vorbereiten,0.3333333333333333
1430,truly,wirklich,0.3333333333333333
1431,balls,bälle,0.5
1432,roger,roger,1.0
1433,perfectly,perfekt,0.5714285714285714
1434,ticket,fahrkarte,0.3333333333333333
1435,nowhere,nirgends,0.16666666666666666
1436,honestly,ehrlich,0.16666666666666666
1437,comfortable,gemütlich,0.14285714285714285
1438,meaning,bedeutung,0.4
1439,view,aussicht,0.0
1440,program,programm,0.8333333333333334
1441,brown,braun,0.75
1442,dry,trocken,0.2
1443,wash,waschen,0.6
1444,turning,drehen,0.4
1445,concerned,betroffen,0.0
1446,society,gesellschaft,0.2222222222222222
1447,cards,karten,0.25
1448,prefer,vorziehen,0.2
1449,nuts,nüsse,0.5
1450,stolen,gestohlen,0.6666666666666666
1451,release,veröffentlichung,0.16666666666666666
1452,birth,geburt,0.5
1453,onto,auf zu,0.0
1454,sunday,sonntag,0.4
1455,research,forschung,0.42857142857142855
1456,usual,üblich,0.2
1457,guest,gast,1.0
1458,amy,amy,1.0
1459,ln,ln,1.0
1460,ugly,hässlich,0.14285714285714285
1461,lift,aufzug,0.0
1462,opinion,meinung,0.5
1463,began,begann,0.75
1464,destroyed,zerstört,0.2857142857142857
1465,character,charakter,0.8333333333333334
1466,mountain,berg,0.0
1467,heat,wärme,0.0
1468,surely,sicherlich,0.42857142857142855
1469,movies,filme,0.0
1470,ho,ho,1.0
1471,tie,binden,0.0
1472,finding,finden,0.8
1473,sheriff,sheriff,1.0
1474,whoo,wow,0.5
1475,pieces,stücke,0.2
1476,bro,bruder,0.5
1477,color,farbe,0.0
1478,dumb,dumm,0.6666666666666666
1479,unfortunately,unglücklicherweise,0.16666666666666666
1480,mister,herr,0.25
1481,letting,vermieten,0.2
1482,charles,karl,0.4
1483,daniel,daniel,1.0
1484,n,n,1.0
1485,bodies,körper,0.0
1486,believed,geglaubt,0.2
1487,matters,angelegenheiten,0.0
1488,sword,schwert,0.5
1489,threw,warf,0.25
1490,ended,beendet,0.5
1491,screams,geschrei,0.2
1492,france,frankreich,0.5714285714285714
1493,exist,existieren,0.6
1494,ryan,ryan,1.0
1495,lab,labor,0.6666666666666666
1496,bullet,patrone,0.0
1497,proof,nachweisen,0.0
1498,base,base,1.0
1499,aware,bewusst,0.2
1500,bucks,dollar,0.0
1501,cream,creme,1.0
1502,noise,lärm,0.0
1503,total,gesamt,0.0
1504,selling,verkauf,0.0
1505,kim,kim,1.0
1506,gang,gang,1.0
1507,happiness,glück,0.0
1508,afford,sich leisten,0.0
1509,brilliant,brillant,1.0
1510,joy,freude,0.0
1511,letters,briefe,0.2
1512,students,studenten,0.8333333333333334
1513,breathing,atmung,0.5
1514,anna,anna,1.0
1515,female,weiblich,0.2
1516,realized,erkannte,0.2
1517,opened,geöffnet,0.16666666666666666
1518,draw,zeichnen,0.0
1519,aye,ja,0.0
1520,created,erstellt,0.16666666666666666
1521,whenever,wann immer,0.42857142857142855
1522,male,männlich,0.2857142857142857
1523,bite,beissen,0.25
1524,slept,habe geschlafen,0.2
1525,shower,dusche,0.0
1526,stayed,blieb,0.0
1527,social,sozial,0.6666666666666666
1528,create,schaffen,0.16666666666666666
1529,followed,gefolgt,0.2
1530,ends,endet,0.6666666666666666
1531,audience,publikum,0.0
1532,purpose,zweck,0.0
1533,kevin,kevin,1.0
1534,fate,das schicksal,0.0
1535,handsome,gutaussehend,0.14285714285714285
1536,england,england,1.0
1537,eric,erich,0.6666666666666666
1538,disappeared,verschwunden,0.2222222222222222
1539,lately,in letzter zeit,0.2
1540,weak,schwach,0.16666666666666666
1541,falling,fallen,0.8
1542,friday,freitag,0.5
1543,suggest,empfehlen,0.0
1544,lonely,einsam,0.25
1545,saturday,samstag,0.2
1546,screw,schrauben,0.5
1547,dan,dan,1.0
1548,introduce,einführen,0.16666666666666666
1549,gentleman,gentleman,1.0
1550,b,b,1.0
1551,medicine,medizin,0.75
1552,ancient,alt,0.25
1553,settle,siedeln,0.25
1554,responsibility,verantwortung,0.1111111111111111
1555,thousands,tausende,0.6666666666666666
1556,fucked,gefickt,0.6
1557,birds,vögel,0.0
1558,enter,eintreten,0.6
1559,opening,öffnung,0.5
1560,forced,gezwungen,0.0
1561,ugh,pfui,0.0
1562,brave,tapfer,0.0
1563,split,teilt,0.5
1564,weight,gewicht,0.6
1565,ordered,bestellt,0.0
1566,unit,einheit,0.6666666666666666
1567,pig,schwein,0.0
1568,horses,pferde,0.0
1569,desk,schreibtisch,0.1111111111111111
1570,finger,finger,1.0
1571,tiny,sehr klein,0.0
1572,expecting,erwarten,0.3333333333333333
1573,pool,schwimmbad,0.0
1574,focus,fokus,0.6666666666666666
1575,garden,garten,0.75
1576,received,erhalten,0.2
1577,property,eigentum,0.16666666666666666
1578,slowly,langsam,0.0
1579,naked,nackt,0.5
1580,mayor,bürgermeister,0.2222222222222222
1581,flat,eben,0.0
1582,issue,ausgabe,0.3333333333333333
1583,brings,bringt,0.8
1584,british,britisch,0.8333333333333334
1585,pal,kumpel,0.5
1586,interview,interview,1.0
1587,fan,fan,1.0
1588,signal,signal,1.0
1589,lines,linien,0.6666666666666666
1590,brian,brian,1.0
1591,silence,schweigen,0.16666666666666666
1592,surgery,chirurgie,0.2
1593,harm,schaden,0.2
1594,sees,sieht,0.3333333333333333
1595,staff,mitarbeiter,0.16666666666666666
1596,al,al,1.0
1597,chef,koch,0.3333333333333333
1598,jeff,jeff,1.0
1599,insane,wahnsinnig,0.42857142857142855
1600,easily,leicht,0.0
1601,signed,unterzeichnet,0.125
1602,weather,wetter,0.75
1603,distance,distanz,0.8
1604,failed,gescheitert,0.0
1605,san,san,1.0
1606,add,hinzufügen,0.0
1607,cares,kümmert,0.16666666666666666
1608,process,prozess,0.8
1609,season,jahreszeit,0.16666666666666666
1610,access,zugang,0.0
1611,spanish,spanisch,0.8333333333333334
1612,model,modell,0.75
1613,spare,ersatzteil,0.16666666666666666
1614,recently,in letzter zeit,0.1
1615,discovered,entdeckt,0.0
1616,wet,nass,0.0
1617,ohh,ohh,1.0
1618,fingers,finger,0.8
1619,loose,lose,1.0
1620,path,weg,0.0
1621,russian,russisch,0.5
1622,expected,erwartet,0.2
1623,member,mitglied,0.2
1624,babe,baby,0.6666666666666666
1625,returned,ist zurückgekommen,0.15384615384615385
1626,style,stil,0.75
1627,pete,pete,1.0
1628,kinda,irgendwie,0.4
1629,alarm,alarm,1.0
1630,sending,senden,0.8
1631,based,basierend,0.6
1632,covered,bedeckt,0.0
1633,fbi,fbi,1.0
1634,japanese,japanisch,0.6666666666666666
1635,sugar,zucker,0.25
1636,roof,dach,0.0
1637,streets,straßen,0.6
1638,funeral,beerdigung,0.0
1639,bright,hell,0.0
1640,damage,schaden,0.0
1641,jerry,jerry,1.0
1642,stomach,magen,0.2
1643,bread,brot,0.6666666666666666
1644,remind,erinnern,0.4
1645,lake,see,0.0
1646,snow,schnee,0.25
1647,castle,schloss,0.16666666666666666
1648,speech,rede,0.0
1649,manage,verwalten,0.0
1650,heading,überschrift,0.1111111111111111
1651,ed,ed,1.0
1652,block,block,1.0
1653,shake,shake,1.0
1654,opens,öffnet,0.2
1655,buried,begraben,0.4
1656,dr,dr,1.0
1657,doors,türen,0.25
1658,thoughts,gedanken,0.0
1659,thomas,thomas,1.0
1660,simon,simon,1.0
1661,dig,graben,0.0
1662,kate,kate,1.0
1663,post,post,1.0
1664,showing,zeigt,0.0
1665,drinks,getränke,0.3333333333333333
1666,reality,wirklichkeit,0.25
1667,soft,sanft,0.75
1668,harder,schwerer,0.3333333333333333
1669,football,fußball,0.8
1670,spread,verbreitung,0.14285714285714285
1671,ill,krank,0.0
1672,coat,mantel,0.25
1673,ruined,ruiniert,0.5
1674,scott,schott,0.8
1675,ears,ohren,0.3333333333333333
1676,chest,truhe,0.0
1677,andy,andy,1.0
1678,success,erfolg,0.0
1679,sooner,früher,0.2
1680,madame,frau,0.0
1681,safety,sicherheit,0.16666666666666666
1682,maria,maria,1.0
1683,permission,genehmigung,0.14285714285714285
1684,fancy,schick,0.2
1685,spring,frühling,0.2857142857142857
1686,cos,cos,1.0
1687,outta,aus,0.0
1688,theory,theorie,0.75
1689,gate,tor,0.0
1690,journey,reise,0.25
1691,tickets,eintrittskarten,0.3
1692,expensive,teuer,0.0
1693,paint,farbe,0.0
1694,lover,liebhaber,0.4
1695,nope,nö,0.5
1696,dave,dave,1.0
1697,mood,stimmung,0.16666666666666666
1698,members,mitglieder,0.16666666666666666
1699,storm,sturm,1.0
1700,page,seite,0.0
1701,hidden,versteckt,0.0
1702,cheese,käse,0.3333333333333333
1703,priest,priester,0.8
1704,regret,reue,0.25
1705,contract,vertrag,0.3333333333333333
1706,thief,dieb,0.0
1707,divorce,scheidung,0.0
1708,lesson,lektion,0.5
1709,personally,persönlich,0.625
1710,eggs,eier,0.0
1711,community,gemeinschaft,0.125
1712,subject,thema,0.0
1713,rent,miete,0.3333333333333333
1714,revenge,rache,0.25
1715,trade,handeln,0.2
1716,nights,nächte,0.4
1717,sudden,plötzlich,0.0
1718,forest,wald,0.0
1719,bless,segnen,0.0
1720,changes,änderungen,0.2857142857142857
1721,rush,sich beeilen,0.14285714285714285
1722,ate,gegessen,0.0
1723,trees,bäume,0.0
1724,santa,weihnachtsmann,0.2
1725,basically,grundsätzlich,0.18181818181818182
1726,da,da,1.0
1727,details,einzelheiten,0.16666666666666666
1728,owner,eigentümer,0.3333333333333333
1729,doctors,ärzte,0.0
1730,william,wilhelm,0.8
1731,amount,menge,0.6666666666666666
1732,barely,kaum,0.0
1733,artist,künstler,0.2857142857142857
1734,pocket,tasche,0.0
1735,cancer,krebs,0.0
1736,pair,paar,1.0
1737,caused,verursacht,0.14285714285714285
1738,alan,alan,1.0
1739,ruin,zugrunde richten,0.18181818181818182
1740,dating,datierung,0.8
1741,grandfather,großvater,0.5
1742,painting,malerei,0.0
1743,bike,fahrrad,0.0
1744,loss,verlust,0.4
1745,liar,lügner,0.4
1746,goin,hineingehen,0.3333333333333333
1747,hill,hügel,0.5
1748,winter,winter,1.0
1749,points,punkte,0.5
1750,assistant,assistent,1.0
1751,murderer,mörder,0.6
1752,legal,legal,1.0
1753,nah,nein,0.5
1754,larry,larry,1.0
1755,growing,wachsend,0.16666666666666666
1756,tears,tränen,0.4
1757,runs,läuft,0.0
1758,lisa,lisa,1.0
1759,buying,kauf,0.0
1760,exciting,aufregend,0.2
1761,farm,bauernhof,0.2
1762,cheap,billig,0.0
1763,tongue,zunge,0.6666666666666666
1764,toilet,toilette,0.75
1765,reasons,gründe dafür,0.2
1766,genius,genius,1.0
1767,square,quadrat,0.25
1768,secretary,sekretär,0.5
1769,europe,europa,1.0
1770,connection,verbindung,0.14285714285714285
1771,scare,schrecken,0.42857142857142855
1772,victims,die opfer,0.0
1773,bones,knochen,0.2
1774,rough,rau,0.3333333333333333
1775,downstairs,unten,0.2857142857142857
1776,bedroom,schlafzimmer,0.1111111111111111
1777,obvious,offensichtlich,0.1
1778,cases,fälle,0.0
1779,professional,fachmann,0.14285714285714285
1780,university,universität,0.7142857142857143
1781,walter,walter,1.0
1782,tour,tour,1.0
1783,player,spieler,0.5
1784,silver,silber-,0.6
1785,pity,mitleid,0.25
1786,pleased,zufrieden,0.2
1787,clock,uhr,0.0
1788,memories,erinnerungen,0.14285714285714285
1789,parts,teile,0.25
1790,rachel,rachel,1.0
1791,grew,wuchs,0.0
1792,ocean,ozean,0.5
1793,burning,verbrennung,0.625
1794,dna,dna,1.0
1795,invite,einladen,0.25
1796,foreign,ausländisch,0.125
1797,planned,geplant,0.4
1798,ashamed,beschämt,0.42857142857142855
1799,avoid,vermeiden,0.4
1800,boring,langweilig,0.16666666666666666
1801,crash,absturz,0.0
1802,lower,niedriger,0.2
1803,bath,bad,0.3333333333333333
1804,romantic,romantisch,0.7142857142857143
1805,repeat,wiederholen,0.16666666666666666
1806,fortune,reichtum,0.2
1807,secrets,geheimnisse,0.16666666666666666
1808,century,jahrhundert,0.25
1809,warning,warnung,1.0
1810,jason,jason,1.0
1811,insurance,versicherung,0.375
1812,airport,flughafen,0.0
1813,complicated,kompliziert,0.42857142857142855
1814,grown,gewachsen,0.3333333333333333
1815,suck,saugen,0.3333333333333333
1816,familiar,vertraut,0.2
1817,reached,erreicht,0.6
1818,rome,rom,1.0
1819,higher,höher,0.75
1820,mentioned,genannt,0.4
1821,gosh,meine güte,0.16666666666666666
1822,results,ergebnisse,0.3333333333333333
1823,filled,gefüllt,0.5
1824,woods,wald,0.3333333333333333
1825,temple,tempel,1.0
1826,likely,wahrscheinlich,0.1
1827,rights,rechte,0.6
1828,younger,jünger,0.6
1829,belongs,gehört,0.0
1830,knowledge,wissen,0.16666666666666666
1831,map,karte,0.0
1832,competition,wettbewerb,0.0
1833,finds,findet,0.75
1834,photos,fotos,0.5
1835,indistinct,undeutlich,0.5714285714285714
1836,yelling,geschrei,0.0
1837,defense,verteidigung,0.2857142857142857
1838,carefully,sorgfältig,0.375
1839,useless,nicht zu gebrauchen,0.0
1840,guests,gäste,0.5
1841,goodness,güte,0.2
1842,per,pro,1.0
1843,bleep,piep,0.3333333333333333
1844,including,einschließlich,0.3333333333333333
1845,jobs,arbeitsplätze,0.2222222222222222
1846,china,china,1.0
1847,event,veranstaltung,0.3333333333333333
1848,humans,menschen,0.3333333333333333
1849,glasses,brille,0.0
1850,annie,annie,1.0
1851,attacked,angegriffen,0.0
1852,waited,gewartet,0.4
1853,stops,stoppt,0.6
1854,period,zeitraum,0.25
1855,shape,form,0.0
1856,beeping,piepen,0.5
1857,proper,richtig,0.0
1858,depends,beruht,0.0
1859,telephone,telefon,0.6
1860,celebrate,zelebrieren,0.5
1861,request,anfrage,0.0
1862,fixed,fest,0.3333333333333333
