,german,french,Distances
939,geist,fantôme,0.2
940,sowieso,en tous cas,0.2857142857142857
941,professor,professeur,1.0
942,gold,or,0.0
943,zumindest,au moins,0.5
944,gelesen,avait lu,0.0
945,beweisen,prouver,0.0
946,gearbeitet,travaillé,0.16666666666666666
947,erwischt,attrapé,0.0
948,geboren,née,0.0
949,bisher,jusqu'à présent,0.16666666666666666
950,öffnen,ouvrir,0.0
951,versteckt,caché,0.14285714285714285
952,unbedingt,absolument,0.16666666666666666
953,dauert,prendre,0.2
954,computer,ordinateur,0.4
955,sonne,soleil,0.3333333333333333
956,reich,riche,1.0
957,damen,dames,0.6666666666666666
958,hunger,faim,0.0
959,lady,la demoiselle,0.2857142857142857
960,preis,le prix,0.4
961,lügen,couché,0.0
962,firma,la société,0.0
963,normal,ordinaire,0.0
964,neben,suivant,0.25
965,wette,pari,0.0
966,gekauft,acheté,0.0
967,wunder,se demander,0.42857142857142855
968,pferd,cheval,0.0
969,beschützen,protéger,0.0
970,frieden,paix,0.0
971,schwöre,jurer,0.16666666666666666
972,erreichen,atteindre,0.0
973,aussehen,apparence,0.2
974,fehlt,est manquant,0.125
975,verkauft,vendu,0.2
976,erwarten,attendre,0.0
977,haut,la peau,0.0
978,holt,obtenir,0.0
979,herrn,m,0.0
980,wussten,connaissait,0.3333333333333333
981,traurig,triste,0.5
982,seltsam,étrange,0.0
983,henry,henri,0.75
984,gesucht,cherché,0.3333333333333333
985,kriegt,obtient,0.25
986,zieht,tire,0.0
987,süße,douceur,0.0
988,jung,jeune,0.6666666666666666
989,liste,liste,1.0
990,de,fr,0.0
991,tolle,génial,0.25
992,nächstes,suivant,0.14285714285714285
993,sekunde,seconde,0.75
994,tschüss,au revoir,0.0
995,großes,gros,0.75
996,karte,carte,0.6666666666666666
997,stirbt,meurt,0.4
998,redet,pourparlers,0.14285714285714285
999,ans,pour,0.0
