,english,french,Distances
1012,smile,le sourire,0.2
1013,type,taper,0.3333333333333333
1014,ow,aïe,0.0
1015,gay,homosexuel,0.0
1016,picked,choisi,0.25
1017,mission,mission,1.0
1018,favor,favoriser,0.6
1019,nick,pseudo,0.0
1020,named,nommé,0.5
1021,arrived,arrivé,0.75
1022,allowed,autorisé,0.0
1023,action,action,1.0
1024,c,c,1.0
1025,duty,devoir,0.3333333333333333
1026,price,le prix,0.4
1027,guard,gardien,0.75
1028,pictures,des photos,0.2857142857142857
1029,risk,risque,0.6666666666666666
1030,innocent,innocent,1.0
1031,danny,danny,1.0
1032,legs,les jambes,0.2857142857142857
1033,notice,remarquer,0.0
1034,learned,appris,0.0
1035,begin,commencer,0.16666666666666666
1036,enemy,ennemi,0.3333333333333333
1037,played,joué,0.0
1038,kick,donner un coup,0.1111111111111111
1039,race,course,0.3333333333333333
1040,suit,costume,0.5
1041,jimmy,jimmy,1.0
1042,allow,autoriser,0.0
1043,fit,adapter,0.25
1044,yep,ouais,0.0
1045,director,directeur,1.0
1046,shh,chut,0.3333333333333333
1047,surprised,surpris,0.8333333333333334
1048,pregnant,enceinte,0.3333333333333333
1049,nine,neuf,0.5
1050,dollars,dollars,1.0
1051,mrs,madame,0.3333333333333333
1052,spot,endroit,0.25
1053,cross,traverser,0.3333333333333333
1054,arm,bras,0.3333333333333333
1055,upstairs,en haut,0.0
1056,steal,voler,0.0
1057,feelings,sentiments,0.2857142857142857
1058,brothers,frères,0.5
1059,rings,anneaux,0.25
1060,chicken,poulet,0.0
1061,names,des noms,0.5
1062,grunts,grognements,0.625
1063,apart,une part,0.6
1064,twice,deux fois,0.0
1065,department,département,0.875
1066,according,selon,0.16666666666666666
1067,silly,idiot,0.0
1068,bob,bob,1.0
1069,hero,héros,0.5
1070,gas,gaz,0.5
1071,closed,fermé,0.0
1072,admit,admettre,0.6
1073,destroy,détruire,0.6
1074,sergeant,sergent,1.0
1075,alex,alex,1.0
1076,guilty,coupable,0.0
1077,low,bas,0.0
1078,leg,jambe,0.0
1079,taste,goûter,0.25
1080,waste,déchets,0.16666666666666666
1081,tony,tony,1.0
1082,earlier,plus tôt,0.14285714285714285
1083,awesome,impressionnant,0.1111111111111111
1084,fired,licencié,0.0
1085,london,londres,0.6
1086,west,ouest,0.6666666666666666
1087,bunch,groupe,0.0
1088,battle,bataille,0.75
1089,study,étude,0.5
1090,bigger,plus gros,0.2857142857142857
1091,mention,mention,1.0
1092,writing,l'écriture,0.14285714285714285
1093,helping,portion,0.2
1094,bell,cloche,0.25
1095,ray,rayon,0.6666666666666666
1096,sold,vendu,0.3333333333333333
1097,ways,façons,0.25
1098,stage,organiser,0.0
1099,written,écrit,0.2
1100,keeping,en gardant,0.14285714285714285
1101,hole,trou,0.0
1102,locked,fermé à clé,0.1
1103,lock,bloquer,0.25
1104,weapon,arme,0.0
1105,jim,jim,1.0
1106,places,des endroits,0.125
1107,helped,aidé,0.0
1108,indeed,en effet,0.2
1109,energy,énergie,0.5
1110,treat,traiter,0.75
1111,burn,brûler,0.4
1112,stole,a volé,0.25
1113,hiding,cache,0.0
1114,form,formulaire,0.6
1115,sky,ciel,0.0
1116,gasps,halète,0.0
1117,breakfast,petit-déjeuner,0.0
1118,band,bande,1.0
1119,figured,figuré,0.75
1120,seemed,semblait,0.4
1121,empty,vide,0.0
1122,fresh,frais,0.75
1123,prince,prince,1.0
1124,track,piste,0.0
1125,spirit,esprit,1.0
1126,complete,achevée,0.2
1127,reading,en train de lire,0.2
1128,nose,nez,0.5
1129,favorite,favori,0.75
1130,memory,mémoire,0.5
1131,sarah,sarah,1.0
1132,laughter,rire,0.2
1133,roll,rouleau,0.6666666666666666
1134,witness,témoin,0.2
1135,starts,départs,0.5
1136,double,double,1.0
1137,however,toutefois,0.0
1138,bathroom,salle de bains,0.0
1139,e,e,
1140,build,construire,0.0
1141,bomb,bombe,1.0
1142,pressure,pression,0.8
1143,flight,voyage en avion,0.125
1144,interest,intérêt,0.6666666666666666
1145,flowers,fleurs,0.8
1146,goddamn,putain,0.2
1147,following,suivant,0.16666666666666666
1148,dogs,chiens,0.25
1149,steve,steve,1.0
1150,throat,gorge,0.25
1151,cost,coût,0.6666666666666666
1152,danger,danger,1.0
1153,closer,plus proche,0.375
1154,asshole,connard,0.0
1155,neck,cou,0.3333333333333333
1156,van,van,1.0
1157,raise,soulever,0.0
1158,acting,agissant,0.2
1159,mommy,maman,0.5
1160,plans,des plans,0.5714285714285714
1161,adam,adam,1.0
1162,shooting,tournage,0.4
1163,beg,mendier,0.0
1164,narrator,narrateur,1.0
1165,losing,perdant,0.2
1166,ridiculous,ridicule,0.8
1167,suspect,suspect,1.0
1168,bottle,bouteille,0.75
1169,warm,chaleureuse,0.2
1170,beauty,beauté,0.6666666666666666
1171,nature,la nature,0.6
1172,medical,médical,0.8
1173,apparently,apparemment,0.42857142857142855
1174,asleep,endormi,0.0
1175,guns,pistolets,0.16666666666666666
1176,video,vidéo,0.6666666666666666
1177,rain,pluie,0.0
1178,camp,camp,1.0
1179,shame,la honte,0.2
1180,driver,chauffeur,0.2
1181,keys,clés,0.25
1182,bird,oiseau,0.0
1183,built,construit,0.16666666666666666
1184,crowd,foule,0.0
1185,extra,en plus,0.0
1186,heavy,lourd,0.0
1187,simply,simplement,0.5714285714285714
1188,famous,célèbre,0.0
1189,pants,les pantalons,0.4444444444444444
1190,majesty,majesté,0.8
1191,keeps,conserve,0.2
1192,level,niveau,0.3333333333333333
1193,tommy,tommy,1.0
1194,faith,foi,0.3333333333333333
1195,animals,animaux,0.5
1196,commander,le commandant,0.5555555555555556
1197,wild,sauvage,0.0
1198,richard,richard,1.0
1199,showed,montré,0.0
1200,awful,terrible,0.2
1201,lay,allonger,0.2
1202,deserve,mériter,0.2
1203,excellent,excellent,1.0
1204,client,client,1.0
1205,plenty,abondance,0.0
1206,consider,envisager,0.4
1207,excited,excité,0.75
1208,engine,moteur,0.0
1209,billy,gamelle,0.25
1210,pop,populaire,0.5
1211,ringing,sonnerie,0.4
1212,animal,animal,1.0
1213,hoping,en espérant,0.25
1214,responsible,responsable,1.0
1215,jane,jeanne,0.6666666666666666
1216,wondering,se demandant,0.25
1217,devil,diable,0.6666666666666666
1218,weekend,fin de semaine,0.125
1219,stone,pierre,0.0
1220,sweetheart,amoureux,0.16666666666666666
1221,large,grand,0.25
1222,military,militaire,0.8
1223,cook,cuisinier,0.25
1224,skin,peau,0.0
1225,knife,couteau,0.0
1226,common,commun,1.0
1227,grace,la grâce,0.5
1228,papers,papiers,1.0
1229,drug,médicament,0.14285714285714285
1230,willing,prêt,0.0
1231,necessary,nécessaire,0.6666666666666666
1232,whoever,quiconque,0.0
1233,blind,aveugle,0.0
1234,flying,en volant,0.16666666666666666
1235,german,allemand,0.4
1236,beach,plage,0.0
1237,hat,chapeau,0.3333333333333333
1238,walked,marché,0.0
1239,lights,lumières,0.4
1240,local,local,1.0
1241,stars,étoiles,0.5
1242,although,même si,0.0
1243,code,code,1.0
1244,main,principale,0.16666666666666666
1245,grunting,grognement,0.5714285714285714
1246,faster,plus rapide,0.2857142857142857
1247,hall,salle,0.6666666666666666
1248,opportunity,occasion,0.14285714285714285
1249,bullshit,connerie,0.0
1250,corner,coin,0.5
1251,fuckin,putain,0.25
1252,cars,voitures,0.5
1253,johnny,johnny,1.0
1254,agreed,convenu,0.0
1255,cup,coupe,1.0
1256,lies,mensonges,0.16666666666666666
1257,knowing,connaissance,0.2857142857142857
1258,justice,justice,1.0
1259,due,exigible,0.0
1260,rose,rose,1.0
1261,leaves,feuilles,0.5
1262,princess,princesse,1.0
1263,folks,gens,0.25
1264,bottom,fond,0.0
1265,apologize,s'excuser,0.0
1266,ghost,fantôme,0.0
1267,tight,serré,0.0
1268,lee,lee,1.0
1269,dick,queue,0.0
1270,grandma,grand-mère,0.625
1271,restaurant,restaurant,1.0
1272,language,langue,0.75
1273,weapons,armes,0.25
1274,east,est,1.0
1275,fellow,compagnon,0.0
1276,note,remarque,0.0
1277,leader,chef,0.0
1278,several,plusieurs,0.2
1279,tells,raconte,0.0
1280,clearly,clairement,0.5
1281,health,santé,0.25
1282,shows,spectacles,0.2857142857142857
1283,correct,corriger,0.6
1284,angel,ange,0.6666666666666666
1285,hanging,suspendu,0.2
1286,stories,histoires,0.8
1287,jake,jacques,0.25
1288,pulled,tiré,0.0
1289,rule,régner,0.2
1290,cousin,cousine,1.0
1291,advice,conseils,0.0
1292,beyond,au-delà,0.0
1293,held,tenu,0.0
1294,hardly,à peine,0.0
1295,pardon,pardon,1.0
1296,milk,le lait,0.25
1297,dancing,dansant,0.6
1298,groans,gémit,0.25
1299,gotten,obtenu,0.5
1300,spoke,parlait,0.0
1301,speed,la rapidité,0.2857142857142857
1302,understood,entendu,0.3333333333333333
1303,file,dossier,0.0
1304,tape,ruban,0.0
1305,practice,pratique,0.6
1306,taught,a enseigné,0.16666666666666666
1307,among,parmi,0.0
1308,murdered,assassiné,0.0
1309,emergency,urgence,0.6666666666666666
1310,ought,devrait,0.25
1311,somehow,en quelque sorte,0.0
1312,bridge,pont,0.0
1313,coach,entraîneur,0.0
1314,martin,martin,1.0
1315,inspector,inspecteur,1.0
1316,minister,ministre,1.0
1317,states,états,0.75
1318,applause,applaudissements,0.4
1319,possibly,peut-être,0.16666666666666666
1320,conversation,conversation,1.0
1321,hearing,audience,0.25
1322,national,nationale,1.0
1323,account,compte,0.5
1324,breath,haleine,0.0
1325,shouting,en criant,0.16666666666666666
1326,crew,équipage,0.0
1327,lied,menti,0.0
1328,meat,viande,0.0
1329,cake,gâteau,0.0
1330,strength,force,0.14285714285714285
1331,natural,naturel,1.0
1332,career,carrière,0.6
1333,plus,plus,1.0
1334,dressed,habillé,0.0
1335,sight,vue,0.0
1336,vote,voter,0.6666666666666666
1337,powerful,puissant,0.2
1338,copy,copie,0.6666666666666666
1339,nonsense,absurdité,0.0
1340,student,étudiant,0.8
1341,dropped,chuté,0.0
1342,trial,essai,0.0
1343,freedom,liberté,0.2
1344,breathe,respirer,0.0
1345,market,marché,0.4
1346,doc,doc,1.0
1347,soldiers,soldats,0.8
1348,serve,servez,0.75
1349,photo,photo,1.0
1350,manager,gestionnaire,0.3333333333333333
1351,robert,robert,1.0
1352,eddie,eddie,1.0
1353,towards,envers,0.4
1354,biggest,le plus grand,0.1
1355,horrible,horrible,1.0
1356,arrested,arrêté,0.6
1357,size,taille,0.0
1358,bringing,apportant,0.16666666666666666
1359,noticed,remarqué,0.0
1360,fantastic,fantastique,0.8333333333333334
1361,papa,papa,1.0
1362,operation,opération,0.8
1363,greatest,le plus grand,0.1
1364,nearly,presque,0.25
1365,chinese,chinois,1.0
1366,cheering,applaudissement,0.1111111111111111
1367,checked,vérifié,0.0
1368,trick,tour,0.5
1369,breaking,rupture,0.2
1370,older,plus âgée,0.14285714285714285
1371,sweetie,ma chérie,0.0
1372,teeth,les dents,0.14285714285714285
1373,pack,paquet,0.3333333333333333
1374,monster,monstre,1.0
1375,ideas,des idées,0.3333333333333333
1376,center,centre,1.0
1377,forgotten,oublié,0.0
1378,travel,voyager,0.0
1379,hurts,fait mal,0.0
1380,belong,appartenir,0.16666666666666666
1381,grandpa,grand-père,0.625
1382,target,cible,0.0
1383,games,jeux,0.0
1384,science,la science,0.6666666666666666
1385,planning,planification,0.42857142857142855
1386,project,projet,0.8
1387,remain,rester,0.25
1388,united,uni,0.3333333333333333
1389,paying,payant,0.75
1390,feed,nourrir,0.0
1391,numbers,nombres,1.0
1392,fake,faux,0.5
1393,chris,chris,1.0
1394,prepared,préparé,0.6666666666666666
1395,aw,oh,0.0
1396,credit,le crédit,0.5714285714285714
1397,suicide,suicide,1.0
1398,records,enregistrements,0.3
1399,investigation,enquête,0.2857142857142857
1400,nurse,infirmière,0.3333333333333333
1401,oil,pétrole,0.2
1402,criminal,criminel,1.0
1403,soldier,soldat,0.75
1404,recognize,reconnaître,0.42857142857142855
1405,loud,fort,0.0
1406,plays,pièces,0.5
1407,original,original,1.0
1408,heads,têtes,0.25
1409,shirt,chemise,0.25
1410,example,exemple,1.0
1411,strike,la grève,0.16666666666666666
1412,pray,prier,0.6666666666666666
1413,chair,chaise,0.6666666666666666
1414,invited,invité,0.75
1415,fill,remplir,0.2
1416,survive,survivre,0.8
1417,jealous,jaloux,0.6666666666666666
1418,universe,univers,1.0
1419,discuss,discuter,0.6
1420,command,commande,1.0
1421,easier,plus facile,0.14285714285714285
1422,super,super,1.0
1423,training,entraînement,0.5
1424,incredible,incroyable,0.8333333333333334
1425,pretend,faire semblant,0.2222222222222222
1426,condition,condition,1.0
1427,challenge,défi,0.0
1428,bobby,policier,0.0
1429,prepare,préparer,0.6666666666666666
1430,truly,vraiment,0.2
1431,balls,des balles,0.5714285714285714
1432,roger,roger,1.0
1433,perfectly,à la perfection,0.4
1434,ticket,billet,0.25
1435,nowhere,nulle part,0.2857142857142857
1436,honestly,franchement,0.125
1437,comfortable,à l'aise,0.0
1438,meaning,sens,0.25
1439,view,voir,0.5
1440,program,programme,0.8333333333333334
1441,brown,brun,0.75
1442,dry,sec,0.0
1443,wash,lavage,0.0
1444,turning,tournant,0.8
1445,concerned,concerné,0.8333333333333334
1446,society,société,0.6
1447,cards,cartes,0.75
1448,prefer,préfère,0.6666666666666666
1449,nuts,des noisettes,0.375
1450,stolen,volé,0.25
1451,release,libération,0.16666666666666666
1452,birth,naissance,0.0
1453,onto,sur,0.0
1454,sunday,dimanche,0.2
1455,research,rechercher,0.5714285714285714
1456,usual,habituel,0.25
1457,guest,invité,0.25
1458,amy,amy,1.0
1459,ln,dans,0.3333333333333333
1460,ugly,moche,0.0
1461,lift,lever,0.3333333333333333
1462,opinion,opinion,1.0
1463,began,a commencé,0.14285714285714285
1464,destroyed,détruit,0.5
1465,character,personnage,0.0
1466,mountain,montagne,0.8
1467,heat,chauffer,0.2
1468,surely,sûrement,0.3333333333333333
1469,movies,films,0.25
1470,ho,ho,1.0
1471,tie,cravate,0.25
1472,finding,découverte,0.0
1473,sheriff,shérif,0.6
1474,whoo,whoo,1.0
1475,pieces,pièces,0.75
1476,bro,frère,0.25
1477,color,couleur,1.0
1478,dumb,stupide,0.0
1479,unfortunately,malheureusement,0.125
1480,mister,monsieur,0.5
1481,letting,location,0.6
1482,charles,charles,1.0
1483,daniel,daniel,1.0
1484,n,n,1.0
1485,bodies,corps,0.25
1486,believed,a cru,0.0
1487,matters,questions,0.4
1488,sword,épée,0.0
1489,threw,jeta,0.0
1490,ended,terminé,0.0
1491,screams,cris,0.6
1492,france,la france,0.6666666666666666
1493,exist,exister,0.75
1494,ryan,ryan,1.0
1495,lab,laboratoire,0.4
1496,bullet,balle,0.75
1497,proof,preuve,0.6666666666666666
1498,base,base,1.0
1499,aware,au courant,0.2
1500,bucks,chevreuils,0.16666666666666666
1501,cream,crème,0.75
1502,noise,bruit,0.0
1503,total,total,1.0
1504,selling,vente,0.2
1505,kim,kim,1.0
1506,gang,gang,1.0
1507,happiness,bonheur,0.16666666666666666
1508,afford,s'offrir,0.5
1509,brilliant,génial,0.16666666666666666
1510,joy,joie,0.5
1511,letters,des lettres,0.625
1512,students,étudiants,0.8333333333333334
1513,breathing,respiration,0.16666666666666666
1514,anna,anna,1.0
1515,female,femelle,0.75
1516,realized,réalisé,0.4
1517,opened,ouvert,0.0
1518,draw,dessiner,0.2
1519,aye,toujours,0.0
1520,created,établi,0.0
1521,whenever,chaque fois que,0.125
1522,male,masculin,0.4
1523,bite,morsure,0.0
1524,slept,dormi,0.0
1525,shower,douche,0.0
1526,stayed,séjourné,0.16666666666666666
1527,social,social,1.0
1528,create,créer,0.5
1529,followed,suivi,0.0
1530,ends,prend fin,0.2857142857142857
1531,audience,spectateurs,0.14285714285714285
1532,purpose,objectif,0.0
1533,kevin,kévin,0.75
1534,fate,sort,0.3333333333333333
1535,handsome,beau,0.0
1536,england,angleterre,0.5
1537,eric,éric,0.6666666666666666
1538,disappeared,disparu,0.6666666666666666
1539,lately,dernièrement,0.0
1540,weak,faible,0.0
1541,falling,chute,0.0
1542,friday,vendredi,0.2
1543,suggest,suggérer,0.5
1544,lonely,solitaire,0.0
1545,saturday,samedi,0.4
1546,screw,vis,0.0
1547,dan,dan,1.0
1548,introduce,introduire,0.8
1549,gentleman,gentleman,1.0
1550,b,b,1.0
1551,medicine,médicament,0.5714285714285714
1552,ancient,ancien,0.75
1553,settle,régler,0.2
1554,responsibility,responsabilité,0.8888888888888888
1555,thousands,milliers,0.16666666666666666
1556,fucked,baisée,0.0
1557,birds,des oiseaux,0.2
1558,enter,entrer,0.75
1559,opening,ouverture,0.0
1560,forced,forcé,0.75
1561,ugh,pouah,0.5
1562,brave,braver,0.75
1563,split,diviser,0.0
1564,weight,lester,0.0
1565,ordered,commandé,0.16666666666666666
1566,unit,unité,0.6666666666666666
1567,pig,cochon,0.0
1568,horses,les chevaux,0.0
1569,desk,bureau,0.0
1570,finger,doigt,0.25
1571,tiny,minuscule,0.2
1572,expecting,attendant,0.16666666666666666
1573,pool,bassin,0.0
1574,focus,se concentrer,0.1111111111111111
1575,garden,jardin,0.75
1576,received,reçu,0.25
1577,property,propriété,0.7142857142857143
1578,slowly,tout doucement,0.0
1579,naked,nu,0.3333333333333333
1580,mayor,maire,0.6666666666666666
1581,flat,appartement,0.14285714285714285
1582,issue,publier,0.0
1583,brings,apporte,0.0
1584,british,britanique,0.6
1585,pal,copain,0.3333333333333333
1586,interview,interview,1.0
1587,fan,ventilateur,0.16666666666666666
1588,signal,signal,1.0
1589,lines,lignes,0.75
1590,brian,brian,1.0
1591,silence,le silence,0.6666666666666666
1592,surgery,opération,0.0
1593,harm,préjudice,0.16666666666666666
1594,sees,voit,0.0
1595,staff,personnel,0.16666666666666666
1596,al,al,1.0
1597,chef,chef,1.0
1598,jeff,jeff,1.0
1599,insane,fou,0.0
1600,easily,facilement,0.16666666666666666
1601,signed,signé,0.75
1602,weather,météo,0.0
1603,distance,distance,1.0
1604,failed,manqué,0.0
1605,san,san,1.0
1606,add,ajouter,0.0
1607,cares,se soucie,0.25
1608,process,traiter,0.2
1609,season,saison,1.0
1610,access,accéder,0.4
1611,spanish,espagnol,0.4
1612,model,maquette,0.25
1613,spare,de rechange,0.14285714285714285
1614,recently,récemment,0.2857142857142857
1615,discovered,découvert,0.6666666666666666
1616,wet,humide,0.0
1617,ohh,ohh,1.0
1618,fingers,des doigts,0.2857142857142857
1619,loose,ample,0.0
1620,path,chemin,0.0
1621,russian,russe,0.75
1622,expected,attendu,0.2
1623,member,membre,1.0
1624,babe,bébé,0.5
1625,returned,revenu,0.4
1626,style,style,1.0
1627,pete,peter,0.6666666666666666
1628,kinda,en quelque sorte,0.0
1629,alarm,alarme,1.0
1630,sending,envoi en cours,0.125
1631,based,basé,0.6666666666666666
1632,covered,couvert,0.75
1633,fbi,fbi,1.0
1634,japanese,japonais,1.0
1635,sugar,du sucre,0.4
1636,roof,toit,0.0
1637,streets,des rues,0.4
1638,funeral,funéraire,0.6
1639,bright,brillant,0.5
1640,damage,dégâts,0.3333333333333333
1641,jerry,jerry,1.0
1642,stomach,estomac,0.8
1643,bread,pain,0.0
1644,remind,rappeler,0.2
1645,lake,lac,0.5
1646,snow,neiger,0.0
1647,castle,château,0.25
1648,speech,parole,0.25
1649,manage,faire en sorte,0.125
1650,heading,titre,0.0
1651,ed,éd,0.5
1652,block,bloquer,0.5
1653,shake,secouer,0.3333333333333333
1654,opens,s'ouvre,0.0
1655,buried,enterré,0.2
1656,dr,docteur,0.5
1657,doors,des portes,0.42857142857142855
1658,thoughts,les pensées,0.125
1659,thomas,thomas,1.0
1660,simon,simon,1.0
1661,dig,creuser,0.0
1662,kate,kate,1.0
1663,post,publier,0.25
1664,showing,montrant,0.16666666666666666
1665,drinks,boissons,0.2
1666,reality,réalité,0.6
1667,soft,"mou, tendre",0.14285714285714285
1668,harder,plus fort,0.14285714285714285
1669,football,football,1.0
1670,spread,se propager,0.42857142857142855
1671,ill,malade,0.3333333333333333
1672,coat,manteau,0.3333333333333333
1673,ruined,ruiné,0.6666666666666666
1674,scott,scott,1.0
1675,ears,oreilles,0.5
1676,chest,poitrine,0.0
1677,andy,andy,1.0
1678,success,succès,0.8
1679,sooner,plus tôt,0.14285714285714285
1680,madame,madame,1.0
1681,safety,sécurité,0.3333333333333333
1682,maria,maria,1.0
1683,permission,autorisation,0.5
1684,fancy,fantaisie,0.5
1685,spring,le printemps,0.3333333333333333
1686,cos,parce que,0.2
1687,outta,hors de,0.0
1688,theory,la théorie,0.3333333333333333
1689,gate,portail,0.25
1690,journey,périple,0.2
1691,tickets,des billets,0.25
1692,expensive,chere,0.0
1693,paint,peinture,0.75
1694,lover,amoureux,0.0
1695,nope,nan,0.5
1696,dave,dave,1.0
1697,mood,ambiance,0.25
1698,members,membres,1.0
1699,storm,tempête,0.0
1700,page,page,1.0
1701,hidden,caché,0.0
1702,cheese,fromage,0.0
1703,priest,prêtre,0.6
1704,regret,regret,1.0
1705,contract,contrat,0.8333333333333334
1706,thief,voleur,0.0
1707,divorce,divorcer,0.8
1708,lesson,leçon,0.5
1709,personally,personnellement,0.6
1710,eggs,des œufs,0.16666666666666666
1711,community,communauté,0.8333333333333334
1712,subject,matière,0.0
1713,rent,location,0.25
1714,revenge,vengeance,0.4
1715,trade,commerce,0.2
1716,nights,nuits,0.6
1717,sudden,soudain,0.75
1718,forest,forêt,0.75
1719,bless,bénir,0.25
1720,changes,changements,0.625
1721,rush,se ruer,0.0
1722,ate,a mangé,0.0
1723,trees,des arbres,0.2857142857142857
1724,santa,père noël,0.14285714285714285
1725,basically,fondamentalement,0.1
1726,da,un,0.0
1727,details,détails,0.8
1728,owner,propriétaire,0.14285714285714285
1729,doctors,médecins,0.3333333333333333
1730,william,william,1.0
1731,amount,montant,0.6
1732,barely,à peine,0.0
1733,artist,artiste,1.0
1734,pocket,poche,0.5
1735,cancer,cancer,1.0
1736,pair,paire,1.0
1737,caused,causé,0.6666666666666666
1738,alan,alain,1.0
1739,ruin,ruine,1.0
1740,dating,sortir ensemble,0.2
1741,grandfather,grand-père,0.625
1742,painting,la peinture,0.3333333333333333
1743,bike,bicyclette,0.14285714285714285
1744,loss,perte,0.0
1745,liar,menteur,0.25
1746,goin,va dans,0.2
1747,hill,colline,0.5
1748,winter,l'hiver,0.2
1749,points,points,1.0
1750,assistant,assistant,1.0
1751,murderer,meurtrier,0.8
1752,legal,juridique,0.0
1753,nah,non,0.5
1754,larry,larry,1.0
1755,growing,croissance,0.3333333333333333
1756,tears,larmes,0.5
1757,runs,court,0.0
1758,lisa,lisa,1.0
1759,buying,achat,0.0
1760,exciting,passionnant,0.14285714285714285
1761,farm,cultiver,0.0
1762,cheap,bon marché,0.25
1763,tongue,langue,0.6666666666666666
1764,toilet,toilette,0.75
1765,reasons,les raisons,0.5714285714285714
1766,genius,génie,0.3333333333333333
1767,square,carré,0.25
1768,secretary,secrétaire,0.6666666666666666
1769,europe,l'europe ,0.3333333333333333
1770,connection,lien,0.16666666666666666
1771,scare,effrayer,0.2
1772,victims,victimes,1.0
1773,bones,des os,0.25
1774,rough,rugueux,0.6666666666666666
1775,downstairs,en bas,0.2857142857142857
1776,bedroom,chambre,0.0
1777,obvious,évident,0.2
1778,cases,cas,0.6666666666666666
1779,professional,professionnelle,0.7777777777777778
1780,university,université,0.8333333333333334
1781,walter,walter,1.0
1782,tour,tour,1.0
1783,player,joueur,0.25
1784,silver,argent,0.0
1785,pity,pitié,0.6666666666666666
1786,pleased,heureux,0.0
1787,clock,l'horloge,0.0
1788,memories,souvenirs,0.4
1789,parts,les pièces,0.2857142857142857
1790,rachel,rachel,1.0
1791,grew,grandi,0.5
1792,ocean,océan,0.6666666666666666
1793,burning,brûlant,0.5
1794,dna,adn,1.0
1795,invite,inviter,0.75
1796,foreign,étranger,0.3333333333333333
1797,planned,prévu,0.2
1798,ashamed,honteux,0.0
1799,avoid,éviter de,0.3333333333333333
1800,boring,ennuyeuse,0.0
1801,crash,crash,1.0
1802,lower,plus bas,0.16666666666666666
1803,bath,bain,0.3333333333333333
1804,romantic,romantique,0.8
1805,repeat,répéter,0.5
1806,fortune,fortune,1.0
1807,secrets,secrets,1.0
1808,century,siècle,0.0
1809,warning,attention,0.2
1810,jason,jason,1.0
1811,insurance,assurance,0.8
1812,airport,aéroport,0.8
1813,complicated,compliqué,0.5714285714285714
1814,grown,grandi,0.5
1815,suck,sucer,0.6666666666666666
1816,familiar,familier,1.0
1817,reached,atteint,0.0
1818,rome,rome,1.0
1819,higher,plus haut,0.16666666666666666
1820,mentioned,mentionné,0.6666666666666666
1821,gosh,ça alors,0.0
1822,results,résultats,0.7142857142857143
1823,filled,rempli,0.0
1824,woods,les bois,0.2
1825,temple,temple,1.0
1826,likely,probable,0.0
1827,rights,droits,0.4
1828,younger,plus jeune,0.0
1829,belongs,fait parti,0.0
1830,knowledge,connaissances,0.125
1831,map,carte,0.0
1832,competition,concurrence,0.2857142857142857
1833,finds,trouve,0.0
1834,photos,photos,1.0
1835,indistinct,indistinct,1.0
1836,yelling,cris,0.0
1837,defense,la défense,0.5714285714285714
1838,carefully,avec attention,0.125
1839,useless,inutile,0.0
1840,guests,invités,0.4
1841,goodness,bonté,0.2
1842,per,par,1.0
1843,bleep,bip,0.6666666666666666
1844,including,y compris,0.14285714285714285
1845,jobs,travaux,0.0
1846,china,chine,1.0
1847,event,un événement,0.3333333333333333
1848,humans,humains,1.0
1849,glasses,lunettes,0.2
1850,annie,annie,1.0
1851,attacked,attaqué,0.4
1852,waited,attendu,0.5
1853,stops,s'arrête,0.16666666666666666
1854,period,période,0.75
1855,shape,forme,0.0
1856,beeping,bip,0.5
1857,proper,correct,0.2
1858,depends,dépend,0.6
1859,telephone,téléphone,0.7142857142857143
1860,celebrate,célébrer,0.5714285714285714
1861,request,demande,0.0
1862,fixed,fixé,0.6666666666666666
1863,political,politique,0.6
1864,assume,présumer,0.3333333333333333
1865,grant,accorder,0.2
1866,affair,aventure,0.25
1867,sexy,sexy,1.0
1868,led,led,1.0
1869,matt,mat,0.6666666666666666
1870,grave,la tombe,0.0
1871,officers,officiers,1.0
1872,giant,géant,0.75
1873,plant,plante,1.0
1874,eventually,finalement,0.16666666666666666
1875,fought,combattu,0.2
1876,hired,embauché,0.0
1877,site,placer,0.0
1878,pounds,livres sterling,0.09090909090909091
1879,speaks,parle,0.25
1880,delicious,délicieuse,0.8
1881,statement,déclaration,0.14285714285714285
1882,millions,des millions,0.625
1883,rise,monter,0.0
1884,jacket,veste,0.25
1885,kelly,kelly,1.0
1886,badly,mal,0.25
1887,tall,haut,0.0
1888,alice,alice,1.0
1889,mercy,miséricorde,0.42857142857142855
1890,whore,putain,0.0
1891,saving,économie,0.25
1892,f,f,1.0
1893,suffer,souffrir,0.8
1894,switch,changer,0.0
1895,deliver,livrer,0.5
1896,royal,royal,1.0
1897,meal,repas,0.0
1898,direction,direction,1.0
1899,families,familles,0.8
1900,odd,étrange,0.0
1901,walls,des murs,0.16666666666666666
1902,sexual,sexuel,1.0
1903,forces,les forces,0.5714285714285714
1904,particular,particulier,1.0
1905,data,les données,0.125
1906,horn,klaxon,0.25
1907,golden,d'or,0.0
1908,chase,chasse,0.75
1909,powers,pouvoirs,0.75
1910,attorney,avocat,0.0
1911,official,officiel,1.0
1912,rat,rat,1.0
1913,pizza,pizza,1.0
1914,confused,confus,0.8
1915,faces,visages,0.25
1916,positive,positif,0.75
1917,becomes,devient,0.0
1918,shock,choc,0.5
1919,soup,le potage,0.2
1920,emily,emilie,0.6666666666666666
1921,offered,offert,0.75
1922,wherever,partout où,0.0
1923,courage,courage,1.0
1924,doin,faire,0.0
1925,answers,réponses,0.16666666666666666
