,french,german,Distances
946,monter,aufsteigen,0.2
947,là-dedans,da drin,0.2857142857142857
948,capable,fähig,0.0
949,emmener,nehmen,0.25
950,écrire,schreiben,0.3333333333333333
951,honte,schande,0.4
952,bouche,stickig,0.2
953,préfère,favorit,0.16666666666666666
954,coupable,schuldig,0.16666666666666666
955,rire,lachen,0.0
956,payé,bezahlt,0.0
957,soin,pflege,0.0
958,milieu,umgebung,0.2
959,appartement,wohnung,0.14285714285714285
960,prochain,nächste,0.3333333333333333
961,cerveau,gehirn,0.25
962,paris,paris,1.0
963,blague,scherzen,0.0
964,choisi,ausgewählt,0.14285714285714285
965,époque,epoche,0.0
966,voie,weg,0.0
967,réunion,treffen,0.4
968,connu,bekannt,0.4
969,allée,gang,0.0
970,intérêt,interesse,0.5
971,cheval,pferd,0.0
972,combat,kampf,0.25
973,silence,schweigen,0.16666666666666666
974,coups,schläge,0.16666666666666666
975,existe,existieren,0.6
976,ia,ai,
977,retourne,rückkehr,0.14285714285714285
978,tel,telefon,0.5
979,trou,loch,0.0
980,public,publikum,0.6
981,peter,furzen,0.0
982,oeil,auge,0.0
983,pleine,voll,0.3333333333333333
984,cacher,verstecken,0.14285714285714285
985,amoureux,liebhaber,0.0
986,drogue,dope,0.3333333333333333
987,commandant,kommandierender offizier,0.35714285714285715
988,garçons,jungs,0.2
989,faisons,tun,0.25
990,paul,paul,1.0
991,tient,hält,0.25
992,est-elle,ist sie,0.4
993,prise,steckdose,0.16666666666666666
994,gouvernement,regierung,0.2857142857142857
995,dirai,werde sagen,0.14285714285714285
996,client,kunde,0.25
997,adresse,die anschrift,0.2222222222222222
998,journal,protokoll,0.3333333333333333
999,contact,kontakt,0.6
1000,dingue,verrückt,0.0
1001,sent,fühlt sich,0.1111111111111111
1002,récupérer,abrufen,0.0
1003,base,base,1.0
1004,preuves,beweis,0.25
1005,présente,gegenwärtig,0.125
1006,peau,haut,0.0
1007,servir,dienen,0.0
1008,peuple,personen,0.2
1009,exemple,beispiel,0.5
1010,fiche,bilden,0.0
1011,max,max,1.0
1012,promets,versprechen,0.25
1013,lequel,die,0.0
1014,blessé,schmerz,0.0
1015,société,gesellschaft,0.2222222222222222
1016,tort,falsch,0.0
1017,sept,sieben,0.3333333333333333
1018,pourriez,könnte,0.0
1019,savent,kennt,0.5
1020,ouvert,offen,0.0
1021,héros,held,0.25
1022,menti,gelogen,0.0
1023,mer,meer,1.0
1024,contente,befriedigt,0.16666666666666666
1025,quitté,quitt,0.75
1026,jeter,werfen,0.0
1027,sauvé,sicher,0.25
1028,bière,bier,0.6666666666666666
1029,assis,saß,0.3333333333333333
1030,robe,kleid,0.0
1031,ecoutez,hör mal zu,0.125
1032,devient,wird,0.0
1033,félicitations,herzliche glückwünsche,0.2222222222222222
1034,opération,betrieb,0.2
1035,prévu,beabsichtigt,0.0
1036,tenez,halt,0.0
1037,livres,bücher,0.0
1038,répondre,antworten,0.0
1039,seuls,allein,0.3333333333333333
1040,pute,hure,0.0
1041,entrée,halle,0.0
1042,vol,flug,0.3333333333333333
1043,horrible,entsetzlich,0.125
1044,vin,wein,0.5
1045,dommage,schande,0.0
1046,dites-moi,sag mir,0.0
1047,colonel,oberst,0.0
1048,ramener,zurückbringen,0.2
1049,règles,regeln,0.6
1050,nez,nase,0.5
1051,justice,gerechtigkeit,0.125
1052,fbi,fbi,1.0
1053,découvert,entdeckt,0.16666666666666666
1054,départ,abfahrt,0.4
1055,bruit,lärm,0.25
1056,secours,hilfe,0.0
1057,vérifier,überprüfen,0.25
1058,enceinte,schwanger,0.2857142857142857
1059,mise,wette,0.0
1060,témoin,zeuge,0.0
1061,dirais,würde sagen,0.25
1062,directeur,direktor,0.8
1063,intéressant,interessant,0.875
1064,excuse,entschuldigung,0.1
1065,environ,um,0.0
1066,inutile,nicht zu gebrauchen,0.15384615384615385
1067,terrible,abscheulich,0.14285714285714285
1068,danse,tanzen,0.25
1069,position,position,1.0
1070,humain,mensch,0.2
1071,apparemment,offenbar,0.0
1072,avenir,kommen,0.0
1073,rêves,träume,0.0
1074,œil,auge,0.0
1075,bête,dumm,0.0
1076,sérieusement,ernsthaft,0.14285714285714285
1077,bravo,gut erledigt,0.125
1078,approche,sich nähern,0.1111111111111111
1079,nourriture,lebensmittel,0.25
1080,fric,geld,0.0
1081,plupart,meist,0.2
1082,lycée,weiterführende schule,0.07142857142857142
1083,tas,haufen,0.0
1084,empêcher,verhindern,0.14285714285714285
1085,longue,lang,1.0
1086,sexe,sex,1.0
1087,niveau,eben,0.0
1088,banque,bank,0.6666666666666666
1089,éviter,vermeiden,0.0
1090,lune,mond,0.3333333333333333
1091,pitié,mitleid,0.25
1092,liberté,freiheit,0.2
1093,expérience,erfahrung,0.3333333333333333
1094,procès,prozess,0.6
1095,radio,radio,1.0
1096,hum,äh,0.0
1097,verra,werden sehen,0.125
1098,thé,tee,0.3333333333333333
1099,partez,verlassen,0.16666666666666666
1100,utilisé,gebraucht,0.0
1101,mur,mauer,1.0
1102,pose,gelegt,0.0
1103,revenu,einnahmen,0.2
1104,deuxième,zweite,0.0
1105,bande,bandagiert,0.5
1106,asseyez-vous,hinsetzen,0.14285714285714285
1107,certaines,etwas,0.4
1108,ridicule,lächerlich,0.25
1109,nord,norden,0.75
1110,appelez,anruf,0.0
1111,copine,freund,0.25
1112,baiser,kuss,0.3333333333333333
1113,anglais,englisch,0.6666666666666666
1114,henry,henry,1.0
1115,toilettes,bad,0.0
1116,portes,türen,0.0
1117,faudra,wird müssen,0.1111111111111111
1118,occupé,belebt,0.0
1119,grands,groß,0.4
1120,and,und,1.0
1121,dérange,stört,0.0
1122,rôle,rolle,0.6666666666666666
1123,censé,soll,0.0
1124,savez-vous,wissen sie,0.16666666666666666
1125,james,james,1.0
1126,reine,königin,0.2
1127,croit,glaubt,0.25
1128,cour,gericht,0.2
1129,église,kirche,0.0
1130,vide,leer,0.0
1131,obtenir,erhalten,0.2
1132,conneries,quatsch,0.0
1133,ennuis,problem,0.0
1134,personnel,persönlich,0.625
1135,conduire,verhalten,0.0
1136,tombé,stürze,0.2
1137,sol,boden,0.0
1138,code,codiert,0.5
1139,huit,acht,0.6666666666666666
1140,espoir,hoffnung,0.0
1141,comprenez,verstehe,0.0
1142,spécial,besondere,0.0
1143,vidéo,video,0.6666666666666666
1144,vêtements,kleidung,0.14285714285714285
1145,défense,verteidigung,0.14285714285714285
1146,alex,alex,1.0
1147,sud,süden,0.5
1148,grand-mère,oma,0.125
1149,match,passen,0.0
1150,bombe,bombe,1.0
1151,intéresse,interessiert,0.5714285714285714
1152,zone,bereich,0.0
1153,tante,tante,1.0
1154,paraît,scheint,0.2
1155,excuser,entschuldigung,0.1
1156,magasin,laden,0.25
1157,marier,heiraten,0.25
1158,chère,liebling,0.0
1159,souvenir,erinnerung,0.3333333333333333
1160,proche,nah dran,0.0
1161,revient,komm zurück,0.1111111111111111
1162,danny,danni,0.75
1163,douleur,schmerzen,0.14285714285714285
1164,arrivera,ankommen in,0.0
1165,presse,sich beeilen,0.0
1166,merveilleux,wunderbar,0.0
1167,asseoir,mach sitz,0.14285714285714285
1168,ravi,erfreut,0.25
1169,aimais,geliebt,0.0
1170,h.,h.,1.0
1171,amérique,amerika,0.5
1172,fenêtre,fenster,0.8
1173,mien,mine,1.0
1174,terrain,boden,0.25
1175,sergent,sergeant,1.0
1176,peux-tu,können sie,0.0
1177,projet,projekt,0.8
1178,quartier,stück,0.0
1179,planète,planet,0.8
1180,certainement,bestimmt,0.42857142857142855
1181,rapide,schnell,0.0
1182,lorsque,wenn,0.0
1183,assurer,versichern,0.2857142857142857
1184,rendu,gerendert,0.5
1185,mignon,niedlich,0.0
1186,tourne,gedreht,0.2
1187,danser,tanzen,0.25
1188,bob,bob,1.0
1189,clients,kunden,0.2
1190,petites,klein,0.0
1191,aimez,liebe,0.0
1192,présenter,präsentieren,0.75
1193,importance,bedeutung,0.3333333333333333
1194,venus,venus,1.0
1195,jimmy,jimmy,1.0
1196,sache,kennt,0.0
1197,mérite,verdient,0.2
1198,machine,maschine,0.8
1199,derniers,letzte,0.0
1200,programme,programm,1.0
1201,mesdames,damen,0.4
1202,meilleurs,beste,0.0
1203,honnête,ehrlich,0.2
1204,essayez,versuchen,0.16666666666666666
1205,irai,werde gehen,0.14285714285714285
1206,connard,arschloch,0.14285714285714285
1207,occasion,gelegenheit,0.16666666666666666
1208,prouver,beweisen,0.0
1209,travaillé,arbeit,0.16666666666666666
1210,glace,eis,0.0
1211,parie,wette,0.0
1212,camion,lkw,0.0
1213,fier,stolz,0.0
1214,discuter,diskutieren,0.6666666666666666
1215,village,"stadt, dorf",0.0
1216,spectacle,schauspiel,0.3333333333333333
1217,nul,schlecht,0.14285714285714285
1218,rose,rosa,1.0
1219,touché,schlag,0.4
1220,mangé,essen,0.0
1221,vis,schrauben,0.0
1222,parole,rede,0.3333333333333333
1223,rencontre,treffen,0.16666666666666666
1224,apprécie,im wert steigen,0.1
1225,jane,jane,1.0
1226,réalité,wirklichkeit,0.25
1227,savons,seifen,0.5
1228,respect,respekt,0.8
1229,remettre,zurücklegen,0.125
1230,vacances,feiertage,0.0
1231,détruire,zerstören,0.2857142857142857
1232,choisir,wählen,0.2
1233,ha,ha,1.0
1234,découvrir,entdecken,0.0
1235,idées,ideen,0.3333333333333333
1236,officier,offizier,0.75
1237,frères,brüder,0.2
1238,sert,dient,0.3333333333333333
1239,bill,rechnung,0.0
1240,solution,lösung,0.2
1241,informations,information,0.8571428571428571
1242,attendais,wartete,0.0
1243,monstre,freak,0.0
1244,sexy,sexy,1.0
1245,ordinateur,computer,0.4
1246,retrouvé,gefunden,0.0
1247,nature,natur,1.0
1248,rappeler,abrufen,0.0
1249,énergie,energie,0.75
1250,pierre,pierre,1.0
1251,utilise,gebraucht,0.0
1252,pression,druck,0.2
1253,chaussures,schuhe,0.16666666666666666
1254,faite,erledigt,0.2
1255,histoires,geschichten,0.125
1256,sarah,sarah,1.0
1257,marié,verheiratet,0.16666666666666666
1258,espace,platz,0.0
1259,nick,nick,1.0
1260,portable,tragbar,0.4
1261,préparer,vorbereiten,0.16666666666666666
1262,nécessaire,notwendig,0.16666666666666666
1263,court,kurz,0.3333333333333333
1264,offrir,anbieten,0.0
1265,will,wille,1.0
1266,ai-je,habe ich bekommen,0.0
1267,tony,toni,0.6666666666666666
1268,envers,gegenüber,0.16666666666666666
1269,bain,bad,0.5
1270,charge,aufladen,0.0
1271,mary,maria,0.6666666666666666
1272,harry,harry,1.0
1273,jim,jim,1.0
1274,ennemi,feind,0.3333333333333333
1275,arrivent,ankommen,0.0
1276,immédiatement,sofort,0.125
1277,finalement,letzten endes,0.1111111111111111
1278,énorme,riesig,0.0
1279,grand-père,großvater,0.375
1280,test,prüfung,0.0
1281,gagne,gewonnen,0.4
1282,réfléchir,reflektieren,0.375
1283,victimes,die opfer,0.0
1284,chanter,singen,0.2
1285,futur,zukunft,0.2
1286,lâche,feige,0.0
1287,mademoiselle,fehlschlagen,0.2222222222222222
1288,copain,kumpel,0.25
1289,enlever,zu entfernen,0.25
1290,pensez-vous,denkst du,0.14285714285714285
1291,retrouve,finden,0.0
1292,épouser,heiraten,0.0
1293,fleurs,blumen,0.25
1294,salope,schlampe,0.5
1295,gosse,kind,0.0
1296,arranger,arrangieren,0.8333333333333334
1297,riche,reich,1.0
1298,faits,fakten,0.5
1299,ancien,alt,0.0
1300,stop,pause,0.0
1301,accepter,annehmen,0.0
1302,restes,überreste,0.3333333333333333
1303,nouveaux,neu,0.3333333333333333
1304,sauter,überspringen,0.2222222222222222
1305,suspect,verdächtig,0.25
1306,vies,lebt,0.0
1307,durant,während,0.3333333333333333
1308,invité,gast,0.25
1309,politique,politik,0.75
1310,dents,zähne,0.0
1311,patient,geduldig,0.0
1312,repas,mahlzeit,0.0
1313,urgence,notfall,0.0
1314,cartes,karten,0.5
1315,jambes,beine,0.25
1316,conversation,gespräch,0.14285714285714285
1317,telle,eine solche,0.16666666666666666
1318,bus,bus,1.0
1319,to,zu,0.0
1320,tourner,drehen,0.25
1321,toucher,berühren,0.3333333333333333
1322,mémoire,erinnerung,0.16666666666666666
1323,série,serie,0.6666666666666666
1324,mariée,braut,0.3333333333333333
1325,contraire,gegenteil,0.2
1326,vent,wind,0.3333333333333333
1327,taille,schneiden,0.0
1328,donnez-moi,gib mir,0.0
1329,trouves,gefunden,0.0
1330,celui-là,das hier,0.0
1331,chat,katze,0.0
1332,continuez,fortsetzen,0.2857142857142857
1333,contrat,vertrag,0.4
1334,couteau,messer,0.0
1335,double,doppelt,0.4
1336,dure,schwer,0.2
1337,carrière,werdegang,0.16666666666666666
1338,excuse-moi,verzeihung,0.0
1339,ray,strahl,0.2
1340,regardé,ansehen,0.0
1341,descendre,herunterkommen,0.1111111111111111
1342,université,universität,0.7142857142857143
1343,sentiments,gefühle,0.0
1344,papier,papier,1.0
1345,remarqué,bemerkte,0.4
1346,noms,substantive,0.14285714285714285
1347,vécu,lebte,0.0
1348,courage,mut,0.0
1349,beauté,schönheit,0.0
1350,bu,getrunken,0.0
1351,tais-toi,den mund halten,0.09090909090909091
1352,après-midi,nachmittag,0.0
1353,excellent,ausgezeichnet,0.2857142857142857
1354,assieds-toi,hinsetzen,0.0
1355,richard,richard,1.0
1356,propres,sauber,0.2
1357,parmi,unter,0.0
1358,forte,stark,0.25
1359,couple,paar,0.3333333333333333
1360,aiment,liebe,0.0
1361,permis,erlauben,0.0
1362,différence,unterschied,0.0
1363,faudrait,sollte,0.25
1364,course,rennen,0.0
1365,humains,menschen,0.3333333333333333
1366,dégage,klar,0.0
1367,mille,tausend,0.0
1368,accès,zugang,0.0
1369,cible,ziel,0.3333333333333333
1370,joyeux,froh,0.0
1371,bonheur,glück,0.0
1372,aimait,geliebt,0.25
1373,manqué,mangel,0.5
1374,action,lager,0.0
1375,steve,steve,1.0
1376,aidé,hilfe,0.0
1377,vouliez,gesucht,0.0
1378,trouvez,finden,0.0
1379,films,filme,0.75
1380,emmène,nehmen,0.25
1381,marie,verheiratet,0.16666666666666666
1382,taxi,taxi,1.0
1383,restaurant,restaurant,1.0
1384,crise,krise,0.6666666666666666
1385,piste,spur,0.0
1386,dernières,neueste,0.16666666666666666
1387,puisque,seit,0.3333333333333333
1388,blanche,weiß,0.0
1389,coupe,abgehackt,0.16666666666666666
1390,secrets,geheimnisse,0.16666666666666666
1391,prince,prinz,0.75
1392,marrant,komisch,0.0
1393,raisons,gründe dafür,0.2
1394,refuse,bestritten,0.14285714285714285
1395,apporté,gebracht,0.16666666666666666
1396,cassé,gebrochen,0.0
1397,lors,während,0.16666666666666666
1398,mettez,stellen,0.2
1399,dis-lui,sag ihm,0.0
1400,tuée,getötet,0.2
1401,maladie,krankheit,0.0
1402,mienne,mine,0.6666666666666666
1403,rentré,nach hause gehen,0.0
1404,week-end,wochenende,0.5
1405,excuses,ausreden,0.0
1406,km,meilen,0.0
1407,alcool,alkohol,0.5
1408,voudrait,möchte,0.2
1409,fil,faden,0.3333333333333333
1410,rends,zurück geben,0.1111111111111111
1411,quitte,quitt,1.0
1412,couché,lügnerisch,0.125
1413,disons,sagen wir,0.16666666666666666
1414,totalement,total,0.5
1415,claire,klar,0.6666666666666666
1416,it,es,0.0
1417,londres,london,0.6
1418,remercier,danken,0.0
1419,mêmes,gleich,0.0
1420,partis,weg,0.0
1421,pensait,gedanke,0.0
1422,île,insel,0.3333333333333333
1423,tommy,tommy,1.0
1424,remercie,danke,0.0
1425,caméra,kamera,0.5
1426,pensent,denken,0.4
1427,suis-je,bin ich,0.0
1428,pleurer,schrei,0.25
1429,régler,anpassen,0.0
1430,ouvrez,offen,0.0
1431,entier,gesamte,0.0
1432,foutu,verdammt,0.16666666666666666
1433,types,leute,0.0
1434,fermer,nah dran,0.16666666666666666
1435,animaux,tiere,0.0
1436,dise,sagen,0.0
1437,image,bild,0.0
1438,étage,bühne,0.0
1439,rejoindre,wieder beitreten,0.2222222222222222
1440,soldats,soldaten,0.8
1441,amuser,amüsieren,0.6
1442,points,punkte,0.5
1443,suivi,gefolgt,0.0
1444,oubliez,vergessen,0.0
1445,langue,sprache,0.0
1446,direction,richtung,0.5
1447,frais,kosten,0.0
1448,veuillez,bitte,0.0
1449,miss,fehlschlagen,0.1111111111111111
1450,soldat,soldat,1.0
1451,couleur,farbe,0.0
1452,bouger,bewegen,0.5
1453,frappé,getroffen,0.16666666666666666
1454,frapper,schlagen,0.0
1455,venait,kam,0.0
1456,raté,verpasst,0.16666666666666666
1457,évidemment,offensichtlich,0.1
1458,sacré,heilig,0.0
1459,clés,schlüssel,0.375
1460,mentir,lüge,0.0
1461,épouse,ehepartner,0.16666666666666666
1462,troisième,dritte,0.2
1463,johnny,johnny,1.0
1464,amy,amy,1.0
1465,jésus,jesus,0.75
1466,faible,schwach,0.0
1467,ryan,ryan,1.0
1468,afin,um zu,0.0
1469,bleu,blau,1.0
1470,failli,pleite,0.3333333333333333
1471,courir,laufen,0.0
1472,américain,amerikanisch,0.2857142857142857
1473,détails,einzelheiten,0.0
1474,pont,brücke,0.0
1475,gay,fröhlich,0.0
1476,regarde-moi,schau mich an,0.0
1477,jake,jake,1.0
1478,billy,billy,1.0
1479,attraper,fangen,0.0
1480,papiers,papiere,0.75
1481,poisson,fische,0.25
1482,lui-même,selbst,0.0
1483,wow,beeindruckend,0.0
1484,chiens,hunde,0.5
1485,date,datum,0.6666666666666666
1486,intention,absicht,0.0
1487,procureur,staatsanwalt,0.0
1488,goût,geschmack,0.14285714285714285
1489,pourras,kann,0.0
1490,shérif,sheriff,0.6
1491,sais-tu,wissen sie,0.3333333333333333
1492,arrêt,pause,0.0
1493,sourire,lächeln,0.0
1494,lait,milch,0.25
1495,chasse,jagd,0.0
1496,signal,signal,1.0
1497,parlait,gesprochen,0.2857142857142857
1498,destin,das schicksal,0.2
1499,marre,satt,0.0
1500,français,französisch,0.4444444444444444
1501,princesse,prinzessin,0.7142857142857143
1502,paie,zahlen,0.0
1503,foi,glaube,0.0
1504,chier,nimm eine müllkippe,0.0
1505,dois-je,sollte ich,0.0
1506,présence,gegenwart,0.0
1507,doigts,finger,0.0
1508,partenaire,partner,1.0
1509,quelles,was,0.25
1510,daniel,daniel,1.0
1511,préféré,vorziehen,0.14285714285714285
1512,adieu,auf wiedersehen,0.125
1513,costume,passen,0.25
1514,entreprise,gesellschaft,0.0
1515,utile,nützlich,0.2857142857142857
1516,calme-toi,sich beruhigen,0.1111111111111111
1517,lien,verknüpfung,0.1111111111111111
1518,unique,einzigartig,0.16666666666666666
1519,appartient,gehört,0.16666666666666666
1520,attendant,warten,0.16666666666666666
1521,amené,bringen,0.2
1522,moindre,kleiner,0.25
1523,quels,was,0.3333333333333333
1524,amener,bringen,0.2
1525,amène,bringen,0.2
1526,enfoiré,mutterficker,0.125
1527,recherches,forschung,0.14285714285714285
1528,discours,rede,0.2
1529,données,daten,0.4
1530,robert,robert,1.0
1531,art,kunst,0.25
1532,appelles,anruf,0.0
1533,salaud,bastard,0.4
1534,penses-tu,denkst du,0.2857142857142857
1535,magie,magie,1.0
1536,bouteille,flasche,0.0
1537,justement,exakt,0.16666666666666666
1538,raconter,erzählen von,0.2222222222222222
1539,rapidement,schnell,0.0
1540,bref,kurz,0.3333333333333333
1541,tribunal,gericht,0.2
1542,viendra,wird kommen,0.125
1543,passée,vorbei an,0.0
1544,superbe,atemberaubend,0.2857142857142857
1545,pourrai,könnte,0.0
1546,pièces,räume,0.0
1547,certaine,sicher,0.0
1548,obligé,obligatorisch,0.375
1549,formidable,enorm,0.3333333333333333
1550,pause,pause,1.0
1551,identité,identifizieren,0.42857142857142855
1552,campagne,land,0.0
1553,lee,lee,1.0
1554,couper,schneiden,0.16666666666666666
1555,mark,kennzeichen,0.0
1556,morceau,stück,0.2
1557,os,knochen,0.0
1558,lettres,briefe,0.2
1559,nombre,nummer,0.75
1560,intelligent,clever,0.14285714285714285
1561,gâteau,kuchen,0.0
1562,dépend,beruht,0.0
1563,job,arbeit,0.3333333333333333
1564,jeux,spiele,0.0
1565,compter,zählen,0.0
1566,cou,nacken,0.25
1567,of,von,0.0
1568,reprendre,wieder aufzunehmen,0.2
1569,joie,freude,0.0
1570,agents,offiziere,0.0
1571,gardes,wachen,0.0
1572,star,stern,0.75
1573,regard,blick,0.0
1574,demandez,fragen,0.0
1575,balles,bälle,0.5
1576,vendu,verkauft,0.2
1577,majesté,majestät,0.6666666666666666
1578,menace,droht,0.0
1579,malgré,trotz,0.0
1580,appareil,gerät,0.0
1581,demandais,hat gefragt,0.0
1582,là-haut,da oben,0.0
1583,privé,privatgelände,0.3333333333333333
1584,adam,adam,1.0
1585,forces,stärken,0.16666666666666666
1586,fonctionne,funktioniert,0.5714285714285714
1587,méchant,böse,0.0
1588,jambe,bein,0.0
1589,empreintes,fingerabdrücke,0.1
1590,ange,engel,0.6666666666666666
1591,agir,handeln,0.0
1592,noire,schwarz,0.16666666666666666
1593,imbécile,schwachsinnig,0.1
1594,gentille,sanft,0.2
1595,labo,labor,0.6666666666666666
1596,résultats,ergebnisse,0.2857142857142857
1597,toi-même,dich selbst,0.0
1598,cinéma,kino,0.25
1599,nouvel,neu,0.3333333333333333
1600,malheureusement,leider,0.25
1601,décider,sich entscheiden,0.18181818181818182
1602,né,geboren,0.0
1603,importante,wichtig,0.16666666666666666
1604,voulons,möchte,0.0
1605,détruit,zerstören,0.2857142857142857
1606,parfaitement,perfekt,0.5714285714285714
1607,martin,martin,1.0
1608,produit,produkt,0.8
1609,réparer,reparieren,0.6
1610,chapeau,hut,0.3333333333333333
1611,gérer,managen,0.0
1612,écoute-moi,hör mir zu,0.125
1613,adn,dna,1.0
1614,échange,austausch,0.0
1615,mince,dünn,0.25
1616,bougez,bewegung,0.4
1617,parfaite,perfekt,0.8
1618,meurt,stirbt,0.4
1619,fout,fickt,0.5
1620,vitesse,geschwindigkeit,0.0
1621,fermé,feste,0.25
1622,succès,schlag,0.4
1623,au-dessus,oben,0.0
1624,etre,sein=,0.0
1625,souvenirs,erinnerungen,0.2857142857142857
1626,comprend,verstehe,0.0
1627,odeur,geruch,0.25
1628,pain,brot,0.0
1629,falloir,brauchen,0.0
1630,aise,einfach,0.0
1631,caché,versteckt,0.14285714285714285
1632,règle,regel,0.75
1633,imaginer,vorstellen,0.0
1634,raconte,erzählen,0.16666666666666666
1635,vus,gesehen,0.25
1636,accepté,akzeptiert,0.3333333333333333
1637,trouvée,gefunden,0.0
1638,dors,schlafen,0.0
1639,celui-ci,dieses hier,0.0
1640,ministre,minister,1.0
1641,infos,die info,0.25
1642,vendredi,freitag,0.0
1643,voitures,autos,0.5
1644,lever,steh auf,0.0
1645,arbre,baum,0.3333333333333333
1646,maire,bürgermeister,0.2222222222222222
1647,faveur,favorisieren,0.5
1648,pourraient,könnte,0.4
1649,prendra,werde nehmen,0.25
1650,surpris,überrascht,0.25
1651,jeté,geworfen,0.0
1652,également,auch,0.0
1653,fac,uni,0.0
1654,apporter,bringen,0.0
1655,washington,washington,1.0
1656,champ,aufstellen,0.0
1657,peut-on,können wir,0.125
1658,comptes,konten,0.2
1659,échapper,flucht,0.16666666666666666
1660,valeur,wert,0.0
1661,in,in,1.0
1662,réel,real,0.6666666666666666
1663,couverture,startseite,0.3333333333333333
1664,million,million,1.0
1665,article,artikel,0.75
1666,doux,sanft,0.0
1667,parc,park,0.6666666666666666
1668,toit,dach,0.0
1669,unité,einheit,0.3333333333333333
1670,resté,sich ausruhen,0.125
1671,plage,strand,0.0
1672,partager,teilen,0.2
1673,malin,clever,0.25
1674,recevoir,erhalten,0.2
1675,inquiétez,sorge,0.0
1676,attendu,erwartet,0.0
1677,charles,karl,0.4
1678,coffre,truhe,0.0
1679,uh,äh,0.5
1680,eddie,eddie,1.0
1681,chris,chris,1.0
1682,celle-là,das hier,0.0
1683,ramène,bringt zurück,0.09090909090909091
1684,mode,mode,1.0
1685,folie,wahnsinn,0.0
1686,extérieur,außen,0.0
1687,van,lieferwagen,0.16666666666666666
1688,membre,mitglied,0.2
1689,prévenir,verhindern,0.2857142857142857
1690,cache,versteckt,0.14285714285714285
1691,inquiéter,sorge,0.0
1692,hasard,chance,0.0
1693,concerne,betroffen,0.16666666666666666
1694,réponds,antworten,0.0
1695,génie,genius,0.3333333333333333
1696,parlais,hat geredet,0.14285714285714285
1697,parlons,lass uns reden,0.2
1698,jardin,garten,0.5
1699,saison,jahreszeit,0.16666666666666666
1700,montré,show,0.0
1701,frappe,getroffen,0.16666666666666666
1702,enchanté,"freut mich, sie kennenzulernen",0.15
1703,gosses,kinder,0.0
1704,abandonner,aufgeben,0.16666666666666666
1705,assure,stellt sicher,0.3
1706,apporte,gebracht,0.3333333333333333
1707,prépare,bereit,0.2
1708,mètres,meter,0.6
1709,suivant,nächste,0.16666666666666666
1710,souhaite,wunsch,0.2
1711,services,dienstleistungen,0.1
1712,ouest,westen,0.5
1713,va-t',wie gehts,0.16666666666666666
1714,poids,gewicht,0.0
1715,poche,pochiert,0.6
1716,faisant,tun,0.25
1717,répondu,antwortete,0.0
1718,directement,direkt,0.42857142857142855
1719,source,quelle,0.0
1720,france,frankreich,0.5714285714285714
1721,créer,schaffen,0.16666666666666666
1722,samedi,samstag,0.4
1723,aidez-moi,hilf mir,0.16666666666666666
1724,univers,universum,0.8
1725,saura,wirst wissen,0.1111111111111111
1726,réalisé,erkannte,0.2
1727,américains,amerikanisch,0.42857142857142855
1728,perds,verlieren,0.2
1729,membres,mitglieder,0.16666666666666666
1730,viande,fleisch,0.0
1731,o',oh,0.0
1732,bobby,bobby,1.0
1733,sont-ils,sind sie,0.5
1734,crois-moi,glaub mir,0.16666666666666666
1735,amoureuse,verliebt,0.2
1736,grandes,groß,0.4
1737,changement,rückgeld,0.0
1738,compliqué,kompliziert,0.42857142857142855
1739,bal,ball,0.6666666666666666
1740,page,seite,0.0
1741,conduit,führt,0.2
1742,passage,passage,1.0
1743,piège,fangen,0.25
1744,kevin,kevin,1.0
1745,ressens,gefühl,0.0
1746,accepte,akzeptiert,0.3333333333333333
1747,grace,anmut,0.0
1748,fais-le,tu es,0.0
1749,amusant,spaß,0.25
1750,dan,dan,1.0
1751,donnez,geben,0.25
1752,traces,spuren,0.0
1753,trésor,schatz,0.0
1754,explique,erklären,0.16666666666666666
1755,fesses,gesäß,0.25
1756,perte,verlust,0.4
1757,fantôme,phantom,0.4
1758,naissance,geburt,0.0
1759,retraite,ruhestand,0.3333333333333333
1760,regardes,sehen,0.0
1761,franchement,geradeheraus,0.25
1762,côtés,seiten,0.2
1763,larry,larry,1.0
1764,étranger,ausländisch,0.125
1765,poulet,hähnchen,0.0
1766,vienne,kommen sie,0.16666666666666666
1767,débarrasser,loswerden,0.125
1768,enlève,nimmt weg,0.14285714285714285
1769,marque,markieren,0.4
1770,mens,lüge,0.0
1771,fantastique,fantastisch,0.625
1772,cent,hundert,0.4
1773,beaux,schön,0.0
1774,entendez,hören,0.0
1775,ouverte,geöffnet,0.16666666666666666
1776,bâtiment,gebäude,0.0
1777,a-t-elle,hat sie,0.2
1778,devrions,sollte,0.0
1779,embrasser,umarmung,0.3333333333333333
1780,tombée,gefallen,0.0
1781,manquer,fehlen,0.0
1782,entré,zwischen,0.0
1783,san,ohne,0.5
1784,chevaux,pferde,0.0
1785,habite,wohnen,0.25
1786,animal,tier,0.0
1787,fatigué,müdigkeit,0.16666666666666666
1788,heureusement,glücklicherweise,0.0
1789,billets,eintrittskarten,0.2
1790,convaincre,überzeugen,0.0
1791,appelait,hat gerufen,0.0
1792,rachel,rachel,1.0
1793,paradis,himmel,0.0
1794,émission,emission,0.8
1795,lance,speer,0.0
1796,nettoyer,reinigen,0.0
1797,file,warteschlange,0.1111111111111111
